PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
82618,20010102,SNDK,-0.07207200,-0.02800000,-0.04407200,,,,0.13203900
82618,20010103,SNDK,0.18203899,0.05000000,0.13203900,0.10774336,,,0.02948000
82618,20010104,SNDK,0.01848000,-0.01100000,0.02948000,0.10748079,,,-0.04456500
82618,20010105,SNDK,-0.07056500,-0.02600000,-0.04456500,-0.05992268,0.00757487,,-0.04572200
82618,20010108,SNDK,-0.04772200,-0.00200000,-0.04572200,-0.05658582,0.09333006,,0.03472400
82618,20010109,SNDK,0.03872400,0.00400000,0.03472400,0.12681697,0.10317095,,0.14131600
82618,20010110,SNDK,0.15131600,0.01000000,0.14131600,0.27194753,0.15162099,,0.07381000
82618,20010111,SNDK,0.08381000,0.01000000,0.07381000,0.22505631,0.20959788,,-0.00103000
82618,20010112,SNDK,-0.00703000,-0.00600000,-0.00103000,0.12717936,0.33576533,0.33974179,0.05063700
82618,20010116,SNDK,0.05663700,0.00600000,0.05063700,0.12457369,0.38359906,0.51995854,0.07170200
82618,20010117,SNDK,0.07370200,0.00200000,0.07170200,0.14247744,0.22718216,0.35077771,0.01252100
82618,20010118,SNDK,0.02652100,0.01400000,0.01252100,0.11366466,0.16909195,0.34740795,0.02527700
82618,20010119,SNDK,0.02127700,-0.00400000,0.02527700,0.01969753,0.15010632,0.39734801,-0.01785700
82618,20010122,SNDK,-0.01785700,0.00000000,-0.01785700,0.08223808,0.17756140,0.58566690,0.07487901
82618,20010123,SNDK,0.08787900,0.01300000,0.07487901,0.08366374,0.12674425,0.57179203,0.02624800
82618,20010124,SNDK,0.02924800,0.00300000,0.02624800,-0.25641276,-0.25007510,-0.08467439,-0.32111600
82618,20010125,SNDK,-0.32611600,-0.00500000,-0.32111600,-0.26479073,-0.22768611,-0.09829862,0.05621700
82618,20010126,SNDK,0.05421700,-0.00200000,0.05621700,-0.30577916,-0.23872591,-0.12635784,-0.02985700
82618,20010129,SNDK,-0.02285700,0.00700000,-0.02985700,0.00805925,-0.30246043,-0.18442961,-0.01674700
82618,20010130,SNDK,-0.00974700,0.00700000,-0.01674700,-0.03463117,-0.30944345,-0.22989255,0.01190600
82618,20010131,SNDK,0.00590600,-0.00600000,0.01190600,-0.03910092,-0.01499406,-0.26416865,-0.03435400
82618,20010201,SNDK,-0.02935400,0.00500000,-0.03435400,-0.05088450,-0.09483066,-0.30081258,-0.02937100
82618,20010202,SNDK,-0.04637100,-0.01700000,-0.02937100,-0.11515395,-0.11952210,-0.32991247,-0.05685400
82618,20010205,SNDK,-0.05285400,0.00400000,-0.05685400,-0.04342550,-0.06465128,-0.34334616,0.04441100
82618,20010206,SNDK,0.04241100,-0.00200000,0.04441100,-0.03625936,-0.09546658,-0.36987507,-0.02197900
82618,20010207,SNDK,-0.02997900,-0.00800000,-0.02197900,-0.00193370,-0.08411965,-0.09834433,-0.02269800
82618,20010208,SNDK,-0.02869800,-0.00600000,-0.02269800,-0.11027519,-0.12316009,-0.20343724,-0.07109100
82618,20010209,SNDK,-0.08409100,-0.01300000,-0.07109100,-0.11647141,-0.09677793,-0.20199850,-0.02688800
82618,20010212,SNDK,-0.01488800,0.01200000,-0.02688800,-0.08758140,-0.12593738,-0.17887576,0.00900000
82618,20010213,SNDK,0.00000000,-0.00900000,0.00900000,0.02640934,-0.06804045,-0.15406083,0.04482100
82618,20010214,SNDK,0.04282100,-0.00200000,0.04482100,0.11138207,0.00422248,-0.08001873,0.05480200
82618,20010215,SNDK,0.06280200,0.00800000,0.05480200,0.04587496,0.02764547,-0.09834037,-0.04918200
82618,20010216,SNDK,-0.06818200,-0.01900000,-0.04918200,-0.01551568,0.03611849,-0.06103191,-0.01714600
82618,20010220,SNDK,-0.03414600,-0.01700000,-0.01714600,-0.10736452,-0.02219084,-0.13871437,-0.04918200
82618,20010221,SNDK,-0.06818200,-0.01900000,-0.04918200,-0.05995524,-0.05794200,-0.11770510,0.00471000
82618,20010222,SNDK,0.00271000,-0.00200000,0.00471000,-0.00851802,-0.07026288,-0.06630033,0.03843200
82618,20010223,SNDK,0.03243200,-0.00600000,0.03843200,0.02906381,-0.03873635,-0.01251340,-0.01438200
82618,20010226,SNDK,0.00261800,0.01700000,-0.01438200,-0.00281154,-0.04744738,-0.01186710,-0.02594300
