PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
86136,20010102,SRE,-0.03225800,-0.02800000,-0.00425800,,,,-0.07222200
86136,20010103,SRE,-0.02222200,0.05000000,-0.07222200,-0.17335135,,,-0.10547700
86136,20010104,SRE,-0.11647700,-0.01100000,-0.10547700,-0.14200524,,,0.03243100
86136,20010105,SRE,0.00643100,-0.02600000,0.03243100,-0.06647255,-0.13438842,,0.00839000
86136,20010108,SRE,0.00639000,-0.00200000,0.00839000,0.04656838,-0.13013079,,0.00552400
86136,20010109,SRE,0.00952400,0.00400000,0.00552400,-0.00242653,-0.07712863,,-0.01628900
86136,20010110,SRE,-0.00628900,0.01000000,-0.01628900,-0.10037046,-0.05986457,,-0.08911400
86136,20010111,SRE,-0.07911400,0.01000000,-0.08911400,-0.08945118,-0.07670183,,0.01630900
86136,20010112,SRE,0.01030900,-0.00600000,0.01630900,-0.07958431,-0.09081011,-0.21452876,-0.00600000
86136,20010116,SRE,0.00000000,0.00600000,-0.00600000,0.02896344,-0.07870740,-0.20253207,0.01840800
86136,20010117,SRE,0.02040800,0.00200000,0.01840800,0.01188885,-0.06412696,-0.13671424,-0.00066700
86136,20010118,SRE,0.01333300,0.01400000,-0.00066700,0.01864833,0.02930926,-0.03315417,0.00071100
86136,20010119,SRE,-0.00328900,-0.00400000,0.00071100,0.00672306,0.01937955,-0.05988204,0.00660100
86136,20010122,SRE,0.00660100,0.00000000,0.00660100,-0.01223628,0.00549352,-0.08796393,-0.01955700
86136,20010123,SRE,-0.00655700,0.01300000,-0.01955700,0.04006768,0.04052534,-0.04253357,0.05310600
86136,20010124,SRE,0.05610600,0.00300000,0.05310600,0.06117312,0.06874458,0.00156356,0.02687500
86136,20010125,SRE,0.02187500,-0.00500000,0.02687500,0.07331859,0.06037147,0.09243220,-0.00717400
86136,20010126,SRE,-0.00917400,-0.00200000,-0.00717400,0.03553929,0.07042792,0.09275262,0.01571600
86136,20010129,SRE,0.02271600,0.00700000,0.01571600,-0.00309117,0.07886365,0.08682625,-0.01134600
86136,20010130,SRE,-0.00434600,0.00700000,-0.01134600,-0.00203888,0.01758119,0.05931588,-0.00612400
86136,20010131,SRE,-0.01212400,-0.00600000,-0.00612400,-0.03396866,-0.02602415,0.04150617,-0.01678200
86136,20010201,SRE,-0.01178200,0.00500000,-0.01678200,0.02916742,0.03384666,0.09630943,0.05276800
86136,20010202,SRE,0.03576800,-0.01700000,0.05276800,0.05329835,0.03518934,0.10815269,0.01710300
86136,20010205,SRE,0.02110300,0.00400000,0.01710300,0.06770008,0.04370011,0.12518004,-0.00269700
86136,20010206,SRE,-0.00469700,-0.00200000,-0.00269700,0.05926139,0.09609275,0.11513458,0.04433800
86136,20010207,SRE,0.03633800,-0.00800000,0.04433800,0.03800074,0.10975877,0.08283232,-0.00310700
86136,20010208,SRE,-0.00910700,-0.00600000,-0.00310700,0.08859242,0.10396877,0.14005556,0.04700700
86136,20010209,SRE,0.03400700,-0.01300000,0.04700700,0.02263175,0.06450187,0.10089727,-0.02088900
86136,20010212,SRE,-0.00888900,0.01200000,-0.02088900,0.02531060,0.06642904,0.11091860,-0.00041700
86136,20010213,SRE,-0.00941700,-0.00900000,-0.00041700,-0.03599707,0.00666856,0.10154712,-0.01520200
86136,20010214,SRE,-0.01720200,-0.00200000,-0.01520200,-0.02249056,0.00284328,0.11236885,-0.00707900
86136,20010215,SRE,0.00092100,0.00800000,-0.00707900,0.00769778,-0.01327954,0.08856999,0.03004500
86136,20010216,SRE,0.01104500,-0.01900000,0.03004500,0.03210791,0.01621610,0.07899509,0.00926200
86136,20010220,SRE,-0.00773800,-0.01700000,0.00926200,0.06366339,0.04154814,0.10653078,0.02542200
86136,20010221,SRE,0.00642200,-0.01900000,0.02542200,0.03532922,0.05801072,0.06369655,0.00108800
86136,20010222,SRE,-0.00091200,-0.00200000,0.00108800,0.04059753,0.07858295,0.08114285,0.01421200
86136,20010223,SRE,0.00821200,-0.00600000,0.01421200,0.00388584,0.03849646,0.02467023,-0.01157000
86136,20010226,SRE,0.00543000,0.01700000,-0.01157000,0.01498121,0.04160421,0.05659220,0.01205000
86136,20010227,SRE,0.00405000,-0.00800000,0.01205000,0.01657221,0.03189311,0.07267600,0.01579300
86136,20010228,SRE,0.00179300,-0.01400000,0.01579300,0.01955929,0.02255724,0.08019214,-0.00815900
86136,20010301,SRE,-0.00715900,0.00100000,-0.00815900,0.03462411,0.03557907,0.11396317,0.02718100
86136,20010302,SRE,0.02118100,-0.00600000,0.02718100,0.01201106,0.03984639,0.07798995,-0.00688300
86136,20010305,SRE,-0.00088300,0.00600000,-0.00688300,0.01076660,0.01841991,0.06032274,-0.00955800
86136,20010306,SRE,0.00044200,0.01000000,-0.00955800,0.01932666,0.03888925,0.07205253,0.03594300
86136,20010307,SRE,0.04194300,0.00600000,0.03594300,0.03049491,0.05179611,0.07539863,0.00393200
86136,20010308,SRE,0.00593200,0.00200000,0.00393200,0.03926298,0.02302791,0.05914052,0.00014700
86136,20010309,SRE,-0.02485300,-0.02500000,0.00014700,0.04344779,0.06991974,0.10909365,0.04040800
