PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
72726,20010102,STT,-0.02624600,-0.02800000,0.00175400,,,,-0.01238100
72726,20010103,STT,0.03761900,0.05000000,-0.01238100,-0.01774658,,,-0.00756600
72726,20010104,STT,-0.01856600,-0.01100000,-0.00756600,-0.05485690,,,-0.03464800
72726,20010105,STT,-0.06064800,-0.02600000,-0.03464800,-0.05036386,-0.06070655,,-0.00984100
72726,20010108,STT,-0.01184100,-0.00200000,-0.00984100,-0.05997019,-0.08068285,,-0.01720700
72726,20010109,STT,-0.01320700,0.00400000,-0.01720700,-0.03569344,-0.07477723,,-0.00875900
72726,20010110,STT,0.00124100,0.01000000,-0.00875900,-0.01884474,-0.06237478,,0.00752800
72726,20010111,STT,0.01752800,0.01000000,0.00752800,-0.01229512,-0.03924850,,-0.01079100
72726,20010112,STT,-0.01679100,-0.00600000,-0.01079100,0.00614796,-0.02020737,-0.08077223,0.00966200
72726,20010116,STT,0.01566200,0.00600000,0.00966200,-0.04494299,-0.04709928,-0.12639959,-0.04364500
72726,20010117,STT,-0.04164500,0.00200000,-0.04364500,-0.11202823,-0.11565245,-0.18082918,-0.07900000
72726,20010118,STT,-0.06500000,0.01400000,-0.07900000,-0.15380090,-0.15495910,-0.20772376,-0.03829500
72726,20010119,STT,-0.04229500,-0.00400000,-0.03829500,-0.09876300,-0.13112425,-0.16803208,0.01756300
72726,20010122,STT,0.01756300,0.00000000,0.01756300,0.01574765,-0.10692869,-0.12806454,0.03848200
72726,20010123,STT,0.05148200,0.01300000,0.03848200,0.08040740,-0.04432502,-0.09154765,0.02176500
72726,20010124,STT,0.02476500,0.00300000,0.02176500,0.08013235,0.05638084,-0.06511749,0.01759300
72726,20010125,STT,0.01259300,-0.00500000,0.01759300,0.04395852,0.10375407,-0.06742999,0.00419500
72726,20010126,STT,0.00219500,-0.00200000,0.00419500,0.03263219,0.09664240,-0.04750892,0.01051800
72726,20010129,STT,0.01751800,0.00700000,0.01051800,0.02455555,0.06564249,-0.04772368,0.00949900
72726,20010130,STT,0.01649900,0.00700000,0.00949900,0.02241833,0.04472979,-0.00044926,0.00220700
72726,20010131,STT,-0.00379300,-0.00600000,0.00220700,-0.01206031,0.00255503,0.05971657,-0.02350700
72726,20010201,STT,-0.01850700,0.00500000,-0.02350700,-0.00509926,0.01461810,0.11958201,0.01609800
72726,20010202,STT,-0.00090200,-0.01700000,0.01609800,0.00494568,0.01659864,0.11441654,0.01252500
72726,20010205,STT,0.01652500,0.00400000,0.01252500,0.00304276,-0.01790581,0.04532859,-0.02518300
72726,20010206,STT,-0.02718300,-0.00200000,-0.02518300,-0.01591949,-0.02287404,0.02000482,-0.00295800
72726,20010207,STT,-0.01095800,-0.00800000,-0.00295800,-0.01836584,0.00956706,0.01217802,0.00969300
72726,20010208,STT,0.00369300,-0.00600000,0.00969300,0.01298185,0.00008919,0.01434522,0.00646900
72726,20010209,STT,-0.00653100,-0.01300000,0.00646900,0.00816479,-0.01980417,-0.00367520,-0.00811100
72726,20010212,STT,0.00388900,0.01200000,-0.00811100,-0.00742392,-0.00079062,-0.01824063,-0.00594200
72726,20010213,STT,-0.01494200,-0.00900000,-0.00594200,-0.02357132,-0.00742976,-0.02958692,-0.00970400
72726,20010214,STT,-0.01170400,-0.00200000,-0.00970400,-0.02478468,-0.02622532,-0.01619468,-0.00942100
72726,20010215,STT,-0.00142100,0.00800000,-0.00942100,-0.00466053,-0.01842799,-0.01788376,0.01425600
72726,20010216,STT,-0.00474400,-0.01900000,0.01425600,-0.02367203,-0.03810145,-0.05573580,-0.02875800
72726,20010220,STT,-0.04575800,-0.01700000,-0.02875800,-0.02569753,-0.04342212,-0.04309997,-0.01196900
72726,20010221,STT,-0.03096900,-0.01900000,-0.01196900,-0.02950606,-0.02451840,-0.03096423,0.01086600
72726,20010222,STT,0.00886600,-0.00200000,0.01086600,0.00186100,-0.01244847,-0.03668044,0.00334300
72726,20010223,STT,-0.00265700,-0.00600000,0.00334300,0.03287577,-0.00958483,-0.02723798,0.01834800
72726,20010226,STT,0.03534800,0.01700000,0.01834800,0.04562527,0.04318463,0.00246307,0.02333900
72726,20010227,STT,0.01533900,-0.00800000,0.02333900,0.03446077,0.04877273,0.00144865,-0.00695500
72726,20010228,STT,-0.02095500,-0.01400000,-0.00695500,0.03328007,0.05561022,0.02729131,0.01741700
72726,20010301,STT,0.01841700,0.00100000,0.01741700,0.02605052,0.06894806,0.05152460,0.01606800
72726,20010302,STT,0.01006800,-0.00600000,0.01606800,0.03328178,0.04905012,0.03786579,-0.00058000
72726,20010305,STT,0.00542000,0.00600000,-0.00058000,-0.01338535,-0.00315568,0.03981281,-0.02867400
72726,20010306,STT,-0.01867400,0.01000000,-0.02867400,-0.02157535,0.01222864,0.06226737,0.00812500
72726,20010307,STT,0.01412500,0.00600000,0.00812500,-0.02742903,-0.01199496,0.04407511,-0.00654600
72726,20010308,STT,-0.00454600,0.00200000,-0.00654600,-0.00193889,-0.03082269,0.03621900,-0.00337200
72726,20010309,STT,-0.02837200,-0.02500000,-0.00337200,-0.03214644,-0.05150659,-0.00635872,-0.02360000
72726,20010312,STT,-0.06660000,-0.04300000,-0.02360000,-0.01178161,-0.01047047,-0.01341673,0.01628400
72726,20010313,STT,0.03128400,0.01500000,0.01628400,-0.04289944,-0.05070687,-0.04088813,-0.03570800
72726,20010314,STT,-0.06170800,-0.02600000,-0.03570800,0.00031594,-0.02572817,-0.03701520,0.02212200
72726,20010315,STT,0.02812200,0.00600000,0.02212200,-0.02424068,-0.03174064,-0.05946732,-0.00972200
72726,20010316,STT,-0.02972200,-0.02000000,-0.00972200,-0.00617249,-0.02701323,-0.07537459,-0.01811100
72726,20010319,STT,-0.00011100,0.01800000,-0.01811100,-0.03787907,-0.05130762,-0.05843364,-0.01140900
72726,20010320,STT,-0.03540900,-0.02400000,-0.01140900,-0.07856899,-0.06697765,-0.10728599,-0.05185000
72726,20010321,STT,-0.06985000,-0.01800000,-0.05185000,-0.04428549,-0.06918699,-0.08692633,0.01859900
72726,20010322,STT,0.01459900,-0.00400000,0.01859900,0.01502585,-0.01452303,-0.04454710,0.05304000
72726,20010323,STT,0.07304000,0.02000000,0.05304000,0.08053834,0.00938383,-0.01753475,0.00638600
72726,20010326,STT,0.01738600,0.01100000,0.00638600,0.07536571,0.03478913,-0.02168838,0.01219900
72726,20010327,STT,0.03819900,0.02600000,0.01219900,0.04169883,0.11908494,0.03768556,0.02195600
72726,20010328,STT,-0.00204400,-0.02400000,0.02195600,0.03066064,0.09372834,0.01168902,-0.00373200
72726,20010329,STT,-0.00873200,-0.00500000,-0.00373200,0.02512020,0.04515108,0.02930838,0.00687300
72726,20010330,STT,0.01787300,0.01100000,0.00687300,-0.00066114,0.03380323,0.04293230,-0.00363200
72726,20010402,STT,-0.01563200,-0.01200000,-0.00363200,0.01613117,0.03344347,0.06837062,0.01311700
72726,20010403,STT,-0.02088300,-0.03400000,0.01311700,0.00648476,0.00943564,0.12481660,-0.00299900
72726,20010404,STT,-0.00599900,-0.00300000,-0.00299900,-0.01570284,-0.01262302,0.07998216,-0.02701300
72726,20010405,STT,0.01698700,0.04400000,-0.02701300,-0.02338374,-0.01294552,0.03018823,0.00593400
