PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
64899,20010102,STZ,0.00493700,-0.02800000,0.03293700,,,,-0.00178700
69796,20010102,STZ,-0.02978700,-0.02800000,-0.00178700,-0.02984928,,,-0.06315800
69796,20010103,STZ,-0.01315800,0.05000000,-0.06315800,-0.12672558,,,-0.06310000
64899,20010103,STZ,-0.01310000,0.05000000,-0.06310000,-0.10783899,-0.07219339,,0.01985000
64899,20010104,STZ,0.00885000,-0.01100000,0.01985000,-0.07675015,-0.13834408,,-0.03455600
69796,20010104,STZ,-0.04555600,-0.01100000,-0.03455600,0.01020093,-0.11256735,,0.02600000
64899,20010105,STZ,0.00000000,-0.02600000,0.02600000,0.01398152,-0.02625119,,0.02367200
69796,20010105,STZ,-0.00232800,-0.02600000,0.02367200,0.01588707,0.00087785,,-0.03308800
64899,20010108,STZ,-0.03508800,-0.00200000,-0.03308800,0.05321532,0.04221334,-0.02702485,0.06501000
69796,20010108,STZ,0.06301000,-0.00200000,0.06501000,0.02234542,0.07128888,-0.06638068,-0.00729300
69796,20010109,STZ,-0.00329300,0.00400000,-0.00729300,0.08962935,0.07684049,-0.03801889,0.03009100
64899,20010109,STZ,0.03409100,0.00400000,0.03009100,0.04664362,0.07808748,0.04741255,0.02304000
69796,20010110,STZ,0.03304000,0.01000000,0.02304000,0.05581611,0.11804603,0.11032268,0.00098900
64899,20010110,STZ,0.01098900,0.01000000,0.00098900,0.04304063,0.06771814,0.10998171,0.01771900
69796,20010111,STZ,0.02771900,0.01000000,0.01771900,0.06066218,0.12066314,0.19755101,0.04000000
64899,20010111,STZ,0.05000000,0.01000000,0.04000000,0.06400649,0.09147955,0.17596650,0.00496300
69796,20010112,STZ,-0.00103700,-0.00600000,0.00496300,0.04665120,0.06734437,0.15303888,0.00185900
64899,20010112,STZ,-0.00414100,-0.00600000,0.00185900,0.05044818,0.11308768,0.24909438,0.04384400
69796,20010116,STZ,0.04984400,0.00600000,0.04384400,0.07213661,0.12090419,0.20214403,0.02518500
64899,20010116,STZ,0.03118500,0.00600000,0.02518500,0.07494840,0.08144639,0.21581580,0.00393500
69796,20010117,STZ,0.00593500,0.00200000,0.00393500,0.05237361,0.10074563,0.20581704,0.02219400
64899,20010117,STZ,0.02419400,0.00200000,0.02219400,0.02740803,0.10149292,0.17953800,0.00074900
69796,20010118,STZ,0.01474900,0.01400000,0.00074900,0.01927723,0.05017560,0.17399178,-0.00415700
64899,20010118,STZ,0.00984300,0.01400000,-0.00415700,-0.01732407,0.00905272,0.13454882,-0.01354400
64899,20010119,STZ,-0.01754400,-0.00400000,-0.01354400,-0.03108259,-0.00889487,0.07360394,-0.01344200
69796,20010119,STZ,-0.01744200,-0.00400000,-0.01344200,-0.02286555,-0.02686247,0.07292209,0.00396800
64899,20010122,STZ,0.00396800,0.00000000,0.00396800,-0.01538007,-0.03300541,0.06473643,-0.00591700
69796,20010122,STZ,-0.00591700,0.00000000,-0.00591700,-0.01102732,-0.03768788,0.00939194,-0.00904700
64899,20010123,STZ,0.00395300,0.01300000,-0.00904700,-0.00538478,-0.01510478,-0.00641476,0.00981700
69796,20010123,STZ,0.02281700,0.01300000,0.00981700,0.00657608,0.00453293,-0.00456256,0.00572900
69796,20010124,STZ,0.00872900,0.00300000,0.00572900,0.02078197,0.00546716,-0.02230150,0.00487400
64899,20010124,STZ,0.00787400,0.00300000,0.00487400,0.03257155,0.03413827,-0.00068921,0.02160200
64899,20010125,STZ,0.01660200,-0.00500000,0.02160200,0.03949292,0.05634275,0.01647195,0.01269200
69796,20010125,STZ,0.00769200,-0.00500000,0.01269200,0.04916972,0.06052468,0.04593202,0.01448800
64899,20010126,STZ,0.01248800,-0.00200000,0.01448800,0.04580195,0.07331179,0.08027148,0.01822100
