PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
76149,20010102,SWY,-0.03300000,-0.02800000,-0.00500000,,,,-0.10274000
76149,20010103,SWY,-0.05274000,0.05000000,-0.10274000,-0.16237341,,,-0.06432800
76149,20010104,SWY,-0.07532800,-0.01100000,-0.06432800,-0.14381836,,,0.01655500
76149,20010105,SWY,-0.00944500,-0.02600000,0.01655500,-0.02577046,-0.12416348,,0.02345400
76149,20010108,SWY,0.02145400,-0.00200000,0.02345400,0.04413059,-0.11998014,,0.00416800
76149,20010109,SWY,0.00816800,0.00400000,0.00416800,-0.00128549,-0.04909369,,-0.02851900
76149,20010110,SWY,-0.01851900,0.01000000,-0.02851900,-0.04868495,-0.00854414,,-0.02415100
76149,20010111,SWY,-0.01415100,0.01000000,-0.02415100,-0.08342477,-0.05771668,,-0.03227800
76149,20010112,SWY,-0.03827800,-0.00600000,-0.03227800,-0.01821880,-0.04281420,-0.16385299,0.04002000
76149,20010116,SWY,0.04602000,0.00600000,0.04002000,0.01119316,-0.04178059,-0.15996245,0.00513400
76149,20010117,SWY,0.00713400,0.00200000,0.00513400,0.04255231,-0.01671805,-0.06585451,-0.00337400
76149,20010118,SWY,0.01062600,0.01400000,-0.00337400,0.00943932,0.01558418,0.00673573,0.00750500
76149,20010119,SWY,0.00350500,-0.00400000,0.00750500,0.02901748,0.07649184,0.01454315,0.02444700
76149,20010122,SWY,0.02444700,0.00000000,0.02444700,-0.02296634,-0.02155210,-0.06503938,-0.05390900
76149,20010123,SWY,-0.04090900,0.01300000,-0.05390900,-0.05096378,-0.04739395,-0.08933422,-0.02077300
76149,20010124,SWY,-0.01777300,0.00300000,-0.02077300,-0.08709519,-0.05714839,-0.07452114,-0.01430000
76149,20010125,SWY,-0.01930000,-0.00500000,-0.01430000,-0.03627349,-0.06598004,-0.05207180,-0.00169000
76149,20010126,SWY,-0.00369000,-0.00200000,-0.00169000,-0.01853769,-0.09145438,-0.02238368,-0.00255600
76149,20010129,SWY,0.00444400,0.00700000,-0.00255600,-0.02801160,-0.06211500,-0.08410381,-0.02371600
76149,20010130,SWY,-0.01671600,0.00700000,-0.02371600,-0.00707643,-0.02296992,-0.06991928,0.01940000
76149,20010131,SWY,0.01340000,-0.00600000,0.01940000,0.01999540,0.01573642,-0.04282986,0.02460300
76149,20010201,SWY,0.02960300,0.00500000,0.02460300,0.04261216,0.01616627,-0.05045773,-0.00101800
76149,20010202,SWY,-0.01801800,-0.01700000,-0.00101800,0.00280496,-0.00166641,-0.09233812,-0.02020100
76149,20010205,SWY,-0.01620100,0.00400000,-0.02020100,0.00411598,0.04805593,-0.01556704,0.02580900
76149,20010206,SWY,0.02380900,-0.00200000,0.02580900,0.06009411,0.08375551,0.05935300,0.05451200
76149,20010207,SWY,0.04651200,-0.00800000,0.05451200,0.07584423,0.05274417,0.06943668,-0.00474100
76149,20010208,SWY,-0.01074100,-0.00600000,-0.00474100,0.05991045,0.06543336,0.08198010,0.01094100
76149,20010209,SWY,-0.00205900,-0.01300000,0.01094100,-0.00229590,0.07837044,0.07603891,-0.00862400
76149,20010212,SWY,0.00337600,0.01200000,-0.00862400,-0.00146118,0.04721131,0.09562675,-0.00390000
76149,20010213,SWY,-0.01290000,-0.00900000,-0.00390000,-0.03071304,-0.02417102,0.05648399,-0.01845500
76149,20010214,SWY,-0.02045500,-0.00200000,-0.01845500,-0.00758715,-0.00513854,0.04725981,0.01520200
76149,20010215,SWY,0.02320200,0.00800000,0.01520200,0.02998503,0.01740223,0.08286977,0.03355000
76149,20010216,SWY,0.01455000,-0.01900000,0.03355000,0.08809363,0.06368759,0.14293461,0.03823300
76149,20010220,SWY,0.02123300,-0.01700000,0.03823300,0.07119476,0.06784527,0.11435223,0.00076200
76149,20010221,SWY,-0.01823800,-0.01900000,0.00076200,0.04114476,0.09010167,0.06329462,0.00292900
76149,20010222,SWY,0.00092900,-0.00200000,0.00292900,0.00987478,0.08007406,0.07450227,0.00637100
76149,20010223,SWY,0.00037100,-0.00600000,0.00637100,-0.01779317,0.02078497,0.03786343,-0.02720400
76149,20010226,SWY,-0.01020400,0.01700000,-0.02720400,0.03282366,0.03590119,0.09932836,0.05392300
76149,20010227,SWY,0.04592300,-0.00800000,0.05392300,0.01286729,0.02212344,0.08950430,-0.01270200
76149,20010228,SWY,-0.02670200,-0.01400000,-0.01270200,0.05090064,0.03009870,0.12053477,0.01078400
76149,20010301,SWY,0.01178400,0.00100000,0.01078400,0.01302197,0.03936779,0.11935093,0.01546300
76149,20010302,SWY,0.00946300,-0.00600000,0.01546300,0.01615982,0.05637185,0.07636450,-0.01014600
76149,20010305,SWY,-0.00414600,0.00600000,-0.01014600,-0.01178320,-0.01384455,0.02169755,-0.01706000
76149,20010306,SWY,-0.00706000,0.01000000,-0.01706000,-0.03513577,-0.00893772,0.01348300,-0.00782300
76149,20010307,SWY,-0.00182300,0.00600000,-0.00782300,-0.01247991,-0.00713596,0.02336448,0.01261200
76149,20010308,SWY,0.01461200,0.00200000,0.01261200,0.03177349,0.00464978,0.04409773,0.02680000
76149,20010309,SWY,0.00180000,-0.02500000,0.02680000,0.07729611,0.05330225,0.10874137,0.03886700
76149,20010312,SWY,-0.00413300,-0.04300000,0.03886700,0.03042665,0.03531383,0.02149581,-0.03520900
76149,20010313,SWY,-0.02020900,0.01500000,-0.03520900,0.00376608,0.04118777,0.03326040,-0.00051900
76149,20010314,SWY,-0.02651900,-0.02600000,-0.00051900,-0.06184535,0.00253135,-0.00406304,-0.02813400
76149,20010315,SWY,-0.02213400,0.00600000,-0.02813400,0.00144694,0.00562398,0.00997928,0.03025300
76149,20010316,SWY,0.01025300,-0.02000000,0.03025300,-0.01327507,-0.04759011,0.00514102,-0.01551100
76149,20010319,SWY,0.00248900,0.01800000,-0.01551100,0.03152566,0.00283443,0.03649790,0.01655000
76149,20010320,SWY,-0.00745000,-0.02400000,0.01655000,0.01723022,0.01898462,0.05794808,0.01588300
76149,20010321,SWY,-0.00211700,-0.01800000,0.01588300,0.01942295,0.03411154,0.03415197,-0.01258600
76149,20010322,SWY,-0.01658600,-0.00400000,-0.01258600,-0.01610896,-0.01457975,-0.00810654,-0.01980400
76149,20010323,SWY,0.00019600,0.02000000,-0.01980400,-0.02613067,0.00700321,-0.04023248,0.00664700
76149,20010326,SWY,0.01764700,0.01100000,0.00664700,-0.01410202,-0.01038943,-0.00700855,-0.00037400
76149,20010327,SWY,0.02562600,0.02600000,-0.00037400,0.04721630,0.01372862,0.03299213,0.03921700
76149,20010328,SWY,0.01521700,-0.02400000,0.03921700,0.06008546,0.04783277,0.08223375,0.01961900
76149,20010329,SWY,0.01461900,-0.00500000,0.01961900,0.05426746,0.06296227,0.04664311,-0.00516400
76149,20010330,SWY,0.00583600,0.01100000,-0.00516400,0.03462380,0.07566407,0.08198355,0.01979700
76149,20010402,SWY,0.00779700,-0.01200000,0.01979700,0.04840706,0.10673213,0.09960554,0.03364000
76149,20010403,SWY,-0.00036000,-0.03400000,0.03364000,0.04736757,0.06222858,0.07799799,-0.00545900
76149,20010404,SWY,-0.00845900,-0.00300000,-0.00545900,-0.02526983,-0.01072384,0.03650895,-0.05507300
76149,20010405,SWY,-0.01107300,0.04400000,-0.05507300,-0.06540715,-0.01180400,0.04853205,-0.00643200
