PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
10353,20150707,SXCL,,0.00600000,,,,,-0.02479100
10353,20150708,SXCL,-0.04179100,-0.01700000,-0.02479100,,,,0.03642200
10353,20150709,SXCL,0.03842200,0.00200000,0.03642200,0.03008052,,,0.02000000
10353,20150710,SXCL,0.03200000,0.01200000,0.02000000,0.05218404,,,-0.00567100
10353,20150713,SXCL,0.00532900,0.01100000,-0.00567100,-0.00372502,0.00662668,,-0.01749400
10353,20150714,SXCL,-0.01349400,0.00400000,-0.01749400,-0.00870058,0.04911197,,0.01467800
10353,20150715,SXCL,0.01367800,-0.00100000,0.01467800,0.04440134,0.06059218,,0.04742200
10353,20150716,SXCL,0.05542200,0.00800000,0.04742200,0.05501928,0.03109896,,-0.00739300
10353,20150717,SXCL,-0.00639300,0.00100000,-0.00739300,0.04058493,0.03755830,,0.00083800
10353,20150720,SXCL,0.00183800,0.00100000,0.00083800,-0.02082507,0.04045990,0.04786430,-0.01434900
10353,20150721,SXCL,-0.01834900,-0.00400000,-0.01434900,-0.01752133,0.02109413,0.07203270,-0.00407500
10353,20150722,SXCL,-0.00607500,-0.00200000,-0.00407500,-0.04079684,-0.04709990,0.00841320,-0.02314900
10353,20150723,SXCL,-0.02914900,-0.00600000,-0.02314900,0.00020817,-0.01308014,0.01662964,0.02794900
10353,20150724,SXCL,0.01694900,-0.01100000,0.02794900,-0.00866783,-0.02635935,0.00878767,-0.01304800
10353,20150727,SXCL,-0.01904800,-0.00600000,-0.01304800,-0.00103246,-0.02791625,0.01074600,-0.01575700
10353,20150728,SXCL,-0.00375700,0.01200000,-0.01575700,-0.02535062,-0.02073386,-0.00024756,0.00359300
10353,20150729,SXCL,0.01059300,0.00700000,0.00359300,-0.05587995,-0.04095547,-0.08580372,-0.04329800
10353,20150730,SXCL,-0.04329800,0.00000000,-0.04329800,0.01632194,-0.01285341,-0.02562776,0.05834000
