PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
52038,20010102,SYY,-0.03333300,-0.02800000,-0.00533300,,,,-0.09931000
52038,20010103,SYY,-0.04931000,0.05000000,-0.09931000,-0.15094314,,,-0.05490900
52038,20010104,SYY,-0.06590900,-0.01100000,-0.05490900,-0.11045494,,,0.04059900
52038,20010105,SYY,0.01459900,-0.02600000,0.04059900,-0.02272232,-0.11855525,,-0.00759200
52038,20010108,SYY,-0.00959200,-0.00200000,-0.00759200,0.03135958,-0.11895167,,-0.00157900
52038,20010109,SYY,0.00242100,0.00400000,-0.00157900,-0.01680851,-0.03167504,,-0.00758500
52038,20010110,SYY,0.00241500,0.01000000,-0.00758500,-0.03144486,0.00201051,,-0.02204800
52038,20010111,SYY,-0.01204800,0.01000000,-0.02204800,-0.04296503,-0.05197052,,-0.01351200
52038,20010112,SYY,-0.01951200,-0.00600000,-0.01351200,-0.02201201,-0.03140837,-0.14851071,0.01390000
52038,20010116,SYY,0.01990000,0.00600000,0.01390000,-0.02147627,-0.05108936,-0.16728102,-0.02151200
52038,20010117,SYY,-0.01951200,0.00200000,-0.02151200,-0.00719957,-0.04301918,-0.07307830,0.00092500
52038,20010118,SYY,0.01492500,0.01400000,0.00092500,-0.04854966,-0.04851360,-0.04636108,-0.02786300
52038,20010119,SYY,-0.03186300,-0.00400000,-0.02786300,-0.03482032,-0.04291232,-0.09427656,-0.00759500
52038,20010122,SYY,-0.00759500,0.00000000,-0.00759500,-0.05796784,-0.07877837,-0.11040339,-0.02320400
52038,20010123,SYY,-0.01020400,0.01300000,-0.02320400,0.00421438,-0.02365537,-0.07539466,0.03566000
52038,20010124,SYY,0.03866000,0.00300000,0.03566000,0.04006243,0.00288944,-0.04047595,0.02733300
52038,20010125,SYY,0.02233300,-0.00500000,0.02733300,0.08648551,0.05435454,0.00341876,0.02141700
52038,20010126,SYY,0.01941700,-0.00200000,0.02141700,0.04222264,0.05542952,0.01045172,-0.00700000
52038,20010129,SYY,0.00000000,0.00700000,-0.00700000,0.00623101,0.07125567,-0.01213254,-0.00814300
52038,20010130,SYY,-0.00114300,0.00700000,-0.00814300,0.01755888,0.06786492,0.04435660,0.03269700
52038,20010131,SYY,0.02669700,-0.00600000,0.03269700,0.03403711,0.04921512,0.05261881,0.00911600
52038,20010201,SYY,0.01411600,0.00500000,0.00911600,0.04890505,0.03393088,0.09020377,0.00711000
52038,20010202,SYY,-0.00989000,-0.01700000,0.00711000,0.01370587,0.03842145,0.09619721,-0.00252000
52038,20010205,SYY,0.00148000,0.00400000,-0.00252000,0.00478577,0.04656776,0.12046236,0.00015300
