PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
56354,20010102,SZ,0.00000000,-0.02800000,0.02800000,,,,0.11666700
56354,20010103,SZ,0.16666700,0.05000000,0.11666700,0.19895998,,,0.04671400
56354,20010104,SZ,0.03571400,-0.01100000,0.04671400,0.23855002,,,0.06048300
56354,20010105,SZ,0.03448300,-0.02600000,0.06048300,0.03864011,0.18550306,,-0.06466700
56354,20010108,SZ,-0.06666700,-0.00200000,-0.06466700,0.09302534,0.27820164,,0.10314300
56354,20010109,SZ,0.10714300,0.00400000,0.10314300,-0.04534530,0.06085727,,-0.07451600
56354,20010110,SZ,-0.06451600,0.01000000,-0.07451600,0.01153427,0.00444357,,-0.01000000
56354,20010111,SZ,0.00000000,0.01000000,-0.01000000,-0.11075372,-0.08266621,,-0.02848300
56354,20010112,SZ,-0.03448300,-0.00600000,-0.02848300,-0.04444671,-0.02414349,0.16181436,-0.00600000
56354,20010116,SZ,0.00000000,0.00600000,-0.00600000,0.06700145,-0.02210339,0.25580064,0.10514300
56354,20010117,SZ,0.10714300,0.00200000,0.10514300,0.12073306,0.07729672,0.14250607,0.01825800
56354,20010118,SZ,0.03225800,0.01400000,0.01825800,0.13089339,0.09152059,0.09601718,0.00400000
56354,20010119,SZ,0.00000000,-0.00400000,0.00400000,0.02231398,0.12482156,0.03234293,0.00000000
56354,20010122,SZ,0.00000000,0.00000000,0.00000000,-0.00894800,0.11773785,0.09298789,-0.01300000
56354,20010123,SZ,0.00000000,0.01300000,-0.01300000,0.01521097,0.03837352,0.01569230,0.02825000
56354,20010124,SZ,0.03125000,0.00300000,0.02825000,-0.13595869,-0.13191485,-0.06772997,-0.14651501
56354,20010125,SZ,-0.15151501,-0.00500000,-0.14651501,-0.05848853,-0.07143640,0.01351214,0.07342900
56354,20010126,SZ,0.07142900,-0.00200000,0.07342900,-0.09329419,-0.08099925,0.03424805,-0.00966700
56354,20010129,SZ,-0.00266700,0.00700000,-0.00966700,0.05655064,-0.07498145,0.03321997,-0.00700000
56354,20010130,SZ,0.00000000,0.00700000,-0.00700000,-0.01063167,-0.09425214,-0.06192413,0.00600000
56354,20010131,SZ,0.00000000,-0.00600000,0.00600000,-0.00596277,0.05759300,-0.08296919,-0.00500000
56354,20010201,SZ,0.00000000,0.00500000,-0.00500000,0.02336046,0.00688331,-0.06468208,0.02234800
56354,20010202,SZ,0.00534800,-0.01700000,0.02234800,-0.02395175,-0.02490195,-0.10370075,-0.04123400
56354,20010205,SZ,-0.03723400,0.00400000,-0.04123400,-0.02239098,-0.02137649,-0.09376453,-0.00352500
56354,20010206,SZ,-0.00552500,-0.00200000,-0.00352500,-0.00993332,0.00734153,-0.08589586,0.03577800
56354,20010207,SZ,0.02777800,-0.00800000,0.03577800,0.01039934,-0.00864860,0.04669360,-0.02102700
56354,20010208,SZ,-0.02702700,-0.00600000,-0.02102700,0.05454893,0.00887494,0.01561099,0.04077800
56354,20010209,SZ,0.02777800,-0.01300000,0.04077800,0.00714935,0.03916154,0.01342795,-0.01200000
56354,20010212,SZ,0.00000000,0.01200000,-0.01200000,0.03792367,0.05173439,0.02893343,0.00900000
56354,20010213,SZ,0.00000000,-0.00900000,0.00900000,-0.02791321,-0.00897420,-0.00166923,-0.02502700
56354,20010214,SZ,-0.02702700,-0.00200000,-0.02502700,-0.02395719,0.00422258,-0.00454756,-0.00800000
56354,20010215,SZ,0.00000000,0.00800000,-0.00800000,-0.03551875,-0.03837274,-0.02897668,-0.00322200
56354,20010216,SZ,-0.02222200,-0.01900000,-0.00322200,0.00574043,-0.01001109,0.02741611,0.01700000
56354,20010220,SZ,0.00000000,-0.01700000,0.01700000,0.08177683,0.04833817,0.09891456,0.07013600
56354,20010221,SZ,0.05113600,-0.01900000,0.07013600,0.00351446,-0.00721735,-0.01556269,-0.07908101
56354,20010222,SZ,-0.08108100,-0.00200000,-0.07908101,-0.00725500,0.00600017,0.00996283,0.00600000
56354,20010223,SZ,0.00000000,-0.00600000,0.00600000,-0.04671378,0.03848106,-0.00072315,0.03005900
56354,20010226,SZ,0.04705900,0.01700000,0.03005900,0.04424828,0.02957369,0.01830619,0.00800000
56354,20010227,SZ,0.00000000,-0.00800000,0.00800000,0.01702497,-0.05706403,-0.00936422,-0.01970800
56354,20010228,SZ,-0.03370800,-0.01400000,-0.01970800,-0.02403414,0.01023980,0.00252747,-0.01262800
56354,20010301,SZ,-0.01162800,0.00100000,-0.01262800,-0.02039048,0.01612182,0.02116490,0.01188200
56354,20010302,SZ,0.00588200,-0.00600000,0.01188200,-0.01259240,-0.02399929,0.01340306,-0.01184800
56354,20010305,SZ,-0.00584800,0.00600000,-0.01184800,-0.00996405,-0.04176441,-0.01275935,-0.01000000
56354,20010306,SZ,0.00000000,0.01000000,-0.01000000,0.02462694,0.02365743,-0.03604136,0.04694100
56354,20010307,SZ,0.05294100,0.00600000,0.04694100,0.01131980,0.01135601,0.02178070,-0.02434600
56354,20010308,SZ,-0.02234600,0.00200000,-0.02434600,0.02307091,0.00140453,0.01751197,0.00214300
56354,20010309,SZ,-0.02285700,-0.02500000,0.00214300,0.01477994,0.05004390,0.02499643,0.03715200
56354,20010312,SZ,-0.00584800,-0.04300000,0.03715200,-0.03278581,-0.01348286,-0.05274766,-0.07382400
56354,20010313,SZ,-0.05882400,0.01500000,-0.07382400,-0.06305927,-0.08071675,-0.06213530,-0.03025000
56354,20010314,SZ,-0.05625000,-0.02600000,-0.03025000,-0.03571874,0.00344608,0.01408561,0.07347000
56354,20010315,SZ,0.07947000,0.00600000,0.07347000,0.03975261,0.00293091,0.00424097,0.00159500
56354,20010316,SZ,-0.01840500,-0.02000000,0.00159500,-0.01024869,-0.10984228,-0.06018902,-0.08050000
56354,20010319,SZ,-0.06250000,0.01800000,-0.08050000,-0.04118179,-0.00407144,-0.01669555,0.03733300
56354,20010320,SZ,0.01333300,-0.02400000,0.03733300,-0.01943405,0.05133730,-0.03433514,0.02457900
56354,20010321,SZ,0.00657900,-0.01800000,0.02457900,0.01206771,-0.06277562,-0.05518912,-0.04828800
56354,20010322,SZ,-0.05228800,-0.00400000,-0.04828800,-0.10289690,-0.14121728,-0.12922786,-0.08206899
56354,20010323,SZ,-0.06206900,0.02000000,-0.08206899,-0.10552670,-0.04440130,-0.14730642,0.02576500
56354,20010326,SZ,0.03676500,0.01100000,0.02576500,-0.12010053,-0.14009450,-0.13730295,-0.06146100
56354,20010327,SZ,-0.03546100,0.02600000,-0.06146100,-0.09327299,-0.21151486,-0.16151542,-0.05688200
56354,20010328,SZ,-0.08088200,-0.02400000,-0.05688200,-0.00346100,-0.06195801,-0.11961641,0.12500000
56354,20010329,SZ,0.12000000,-0.00500000,0.12500000,0.04760978,0.01100249,-0.13446497,-0.01100000
56354,20010330,SZ,0.00000000,0.01100000,-0.01100000,0.10212585,-0.02361015,-0.06638354,-0.00942900
56354,20010402,SZ,-0.02142900,-0.01200000,-0.00942900,-0.06490693,-0.01056952,-0.14073110,-0.04629200
56354,20010403,SZ,-0.08029200,-0.03400000,-0.04629200,-0.05154516,0.05079782,-0.16096090,0.00300000
56354,20010404,SZ,0.00000000,-0.00300000,0.00300000,-0.09307024,-0.11148405,-0.16986677,-0.05193700
56354,20010405,SZ,-0.00793700,0.04400000,-0.05193700,-0.03592420,-0.08783110,-0.07970301,0.01200000
56354,20010406,SZ,-0.00800000,-0.02000000,0.01200000,-0.07098852,-0.11004115,-0.13037023,-0.03219400
56354,20010409,SZ,-0.02419400,0.00800000,-0.03219400,-0.03851264,-0.08772023,-0.09243133,-0.01873600
56354,20010410,SZ,0.00826400,0.02700000,-0.01873600,-0.04927556,-0.08877943,-0.03579471,0.00200000
56354,20010411,SZ,0.00000000,-0.00200000,0.00200000,-0.01552779,-0.03567137,-0.14641820,0.00139300
56354,20010412,SZ,0.01639300,0.01500000,0.00139300,-0.02632491,-0.07775617,-0.16069682,-0.02925800
56354,20010416,SZ,-0.03225800,-0.00300000,-0.02925800,-0.03027198,-0.04757242,-0.15729241,-0.00166700
56354,20010417,SZ,0.00833300,0.01000000,-0.00166700,-0.06237163,-0.05981287,-0.15088088,-0.03073600
56354,20010418,SZ,0.00826400,0.03900000,-0.03073600,-0.02136650,-0.05115190,-0.14503159,0.01159000
56354,20010419,SZ,0.02459000,0.01300000,0.01159000,-0.03477067,-0.06643433,-0.10336855,-0.01500000
56354,20010420,SZ,-0.02400000,-0.00900000,-0.01500000,0.00297808,-0.02933083,-0.10906933,0.00680300
56354,20010423,SZ,-0.00819700,-0.01500000,0.00680300,-0.02842176,-0.04811918,-0.09640799,-0.02105800
56354,20010424,SZ,-0.03305800,-0.01200000,-0.02105800,0.06862557,0.06478610,0.00541635,0.08656400
56354,20010425,SZ,0.10256400,0.01600000,0.08656400,0.02423028,0.01524781,-0.03474918,-0.03600800
56354,20010426,SZ,-0.03100800,0.00500000,-0.03600800,0.01488547,-0.00040412,-0.06740327,-0.03100000
56354,20010427,SZ,-0.01600000,0.01500000,-0.03100000,-0.00926263,0.05349254,0.02399475,0.05991100
56354,20010430,SZ,0.05691100,-0.00300000,0.05991100,0.01387805,0.06335809,0.01084652,-0.01400000
56354,20010501,SZ,0.00000000,0.01400000,-0.01400000,0.14250334,0.06849143,0.13929889,0.09130800
56354,20010502,SZ,0.09230800,0.00100000,0.09130800,0.09251914,0.12425950,0.13968624,0.01500000
56354,20010503,SZ,0.00000000,-0.01500000,0.01500000,0.13867349,0.19250879,0.19367812,0.02825400
56354,20010504,SZ,0.04225400,0.01400000,0.02825400,0.08067300,0.16516578,0.23157235,0.03578400
56354,20010507,SZ,0.03378400,-0.00200000,0.03578400,-0.03107401,0.07343832,0.14468972,-0.08950301
56354,20010508,SZ,-0.09150300,-0.00200000,-0.08950301,0.03500740,0.07960366,0.15548844,0.09752500
56354,20010509,SZ,0.09352500,-0.00400000,0.09752500,0.01906419,0.08564200,0.22228306,0.01973700
56354,20010510,SZ,0.01973700,-0.00000000,0.01973700,0.11268778,0.04970077,0.24924741,-0.00490300
56354,20010511,SZ,-0.01290300,-0.00800000,-0.00490300,0.01818237,0.01752245,0.18397389,0.00353600
56354,20010514,SZ,0.00653600,0.00300000,0.00353600,-0.00787940,0.10972319,0.19009665,-0.00649400
56354,20010515,SZ,-0.00649400,0.00000000,-0.00649400,-0.03108444,-0.01625639,0.06402022,-0.02800000
56354,20010516,SZ,0.00000000,0.02800000,-0.02800000,-0.07653932,-0.07751721,0.00324652,-0.04221600
56354,20010517,SZ,-0.03921600,0.00300000,-0.04221600,-0.11914483,-0.12224778,-0.07482427,-0.05061900
56354,20010518,SZ,-0.04761900,0.00300000,-0.05061900,-0.17243263,-0.20656933,-0.18950833,-0.08742900
56354,20010521,SZ,-0.07142900,0.01600000,-0.08742900,-0.10442685,-0.17175581,-0.07411199,0.03376900
56354,20010522,SZ,0.03076900,-0.00300000,0.03376900,-0.01817415,-0.10731037,-0.12431720,0.03838800
56354,20010523,SZ,0.02238800,-0.01600000,0.03838800,0.11600883,-0.02994557,-0.10612915,0.04079600
56354,20010524,SZ,0.04379600,0.00300000,0.04079600,0.09951857,0.04083277,-0.08338551,0.01899300
56354,20010525,SZ,0.00699300,-0.01200000,0.01899300,0.03886164,0.11251708,-0.10423482,-0.01977800
56354,20010529,SZ,-0.02777800,-0.00800000,-0.01977800,0.00062005,0.07801967,-0.09515158,0.00171400
56354,20010530,SZ,-0.01428600,-0.01600000,0.00171400,-0.04448520,0.01228981,-0.09342038,-0.02773900
56354,20010531,SZ,-0.02173900,0.00600000,-0.02773900,-0.05814985,-0.05799850,-0.08558972,-0.03363000
56354,20010601,SZ,-0.02963000,0.00400000,-0.03363000,-0.00782770,-0.02556497,0.01416345,0.05606900
56354,20010604,SZ,0.06106900,0.00500000,0.05606900,0.00749232,-0.01896088,0.09342737,-0.01300000
56354,20010605,SZ,0.00000000,0.01300000,-0.01300000,-0.00686608,-0.06768379,0.00963863,-0.04655400
56354,20010606,SZ,-0.05755400,-0.01100000,-0.04655400,0.00032759,0.02108839,0.03326635,0.06370199
56354,20010607,SZ,0.06870200,0.00500000,0.06370199,0.02219439,0.06590871,0.00221734,0.00900000
56354,20010608,SZ,0.00000000,-0.00900000,0.00900000,0.12651606,0.06053720,0.03313041,0.05085700
56354,20010611,SZ,0.04285700,-0.00800000,0.05085700,0.04451586,0.05787373,0.03891476,-0.01469900
56354,20010612,SZ,-0.01369900,0.00100000,-0.01469900,0.05364415,0.12877219,0.05603897,0.01794400
56354,20010613,SZ,0.00694400,-0.01100000,0.01794400,0.08262432,0.14428656,0.16978488,0.08006900
56354,20010614,SZ,0.06206900,-0.01800000,0.08006900,0.09615690,0.13328561,0.20568664,-0.00149400
56354,20010615,SZ,-0.00649400,-0.00500000,-0.00149400,0.06227749,0.06492378,0.12645865,-0.01460800
56354,20010618,SZ,-0.01960800,-0.00500000,-0.01460800,-0.04494411,0.04949246,0.10708586,-0.02966700
56354,20010619,SZ,-0.02666700,0.00300000,-0.02966700,-0.05925460,0.01610207,0.14452148,-0.01584900
56354,20010620,SZ,-0.00684900,0.00900000,-0.01584900,-0.03649235,-0.05191469,0.08904944,0.00969000
56354,20010621,SZ,0.02069000,0.01100000,0.00969000,0.01648036,-0.02848834,0.10333569,0.02251400
56354,20010622,SZ,0.01351400,-0.00900000,0.02251400,0.03169705,-0.01453339,0.05050301,-0.00066700
56354,20010625,SZ,-0.00666700,-0.00600000,-0.00066700,0.03042935,0.02455475,0.07452892,0.00871100
56354,20010626,SZ,0.00671100,-0.00200000,0.00871100,0.01294726,0.04555442,0.06147819,0.00500000
56354,20010627,SZ,0.00000000,-0.00500000,0.00500000,-0.01834931,0.00333653,-0.04818416,-0.03200000
56354,20010628,SZ,-0.02000000,0.01200000,-0.03200000,-0.01260012,-0.00456552,-0.03290446,0.01460500
56354,20010629,SZ,0.01360500,-0.00100000,0.01460500,-0.04776467,-0.03409518,-0.04860417,-0.03013400
56354,20010702,SZ,-0.02013400,0.01000000,-0.03013400,0.02023912,-0.00729344,0.01740428,0.03624700
56354,20010703,SZ,0.03424700,-0.00200000,0.03624700,0.03767402,0.01984045,0.06639003,0.03186800
56354,20010705,SZ,0.01986800,-0.01200000,0.03186800,0.09829992,0.08241718,0.08510341,0.02949400
56354,20010706,SZ,0.00649400,-0.02300000,0.02949400,0.06770300,0.07390309,0.06893707,0.00590300
56354,20010709,SZ,0.01290300,0.00700000,0.00590300,0.01045408,0.07773974,0.04356217,-0.02421700
56354,20010710,SZ,-0.03821700,-0.01400000,-0.02421700,-0.02416834,0.03591124,0.02916744,-0.00562300
56354,20010711,SZ,-0.00662300,-0.00100000,-0.00562300,-0.07871932,-0.04430254,-0.02579523,-0.05066700
56354,20010712,SZ,-0.02666700,0.02400000,-0.05066700,-0.05560512,-0.07342392,0.00679476,0.00084900
56354,20010713,SZ,0.00684900,0.00600000,0.00084900,-0.04548003,-0.07361003,-0.00339730,0.00419700
56354,20010716,SZ,-0.00680300,-0.01100000,0.00419700,0.04991001,-0.00810606,0.07153057,0.04479400
56354,20010717,SZ,0.05479400,0.01000000,0.04479400,0.02751072,-0.02282801,0.01405415,-0.01997400
56354,20010718,SZ,-0.02597400,-0.00600000,-0.01997400,0.03798099,0.04309685,-0.00365927,0.01400000
56354,20010719,SZ,0.02000000,0.00600000,0.01400000,-0.02293832,0.02454967,-0.04983722,-0.01660800
56354,20010720,SZ,-0.01960800,-0.00300000,-0.01660800,0.01306546,0.03657369,-0.03892336,0.01600000
56354,20010723,SZ,0.00000000,-0.01600000,0.01600000,-0.14835826,-0.15362869,-0.16450553,-0.15066700
56354,20010724,SZ,-0.16666700,-0.01600000,-0.15066700,-0.07708181,-0.08001555,-0.10253942,0.07200000
56354,20010725,SZ,0.08800000,0.01600000,0.07200000,-0.10307512,-0.10171644,-0.06390119,-0.01000000
56354,20010726,SZ,0.00000000,0.01000000,-0.01000000,0.11578819,-0.04223941,-0.01866041,0.04947100
56354,20010727,SZ,0.05147100,0.00200000,0.04947100,-0.00365456,-0.09741575,-0.06311777,-0.04095800
56354,20010730,SZ,-0.04195800,-0.00100000,-0.04095800,-0.12465107,-0.07334721,-0.21828683,-0.13008800
56354,20010731,SZ,-0.12408800,0.00600000,-0.13008800,-0.12789548,-0.09467174,-0.16754293,0.04600000
