PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89346,20020322,TAP,,-0.00400000,,,,,0.03493900
89346,20020325,TAP,0.01993900,-0.01500000,0.03493900,,,,-0.00349400
89346,20020326,TAP,0.00250600,0.00600000,-0.00349400,0.02100659,,,-0.01050000
89346,20020327,TAP,-0.00550000,0.00500000,-0.01050000,-0.01054649,,,0.00353000
89346,20020328,TAP,0.00553000,0.00200000,0.00353000,-0.00500336,0.02665857,,0.00200000
89346,20020401,TAP,0.00100000,-0.00100000,0.00200000,0.01203228,-0.00192928,,0.00650200
89346,20020402,TAP,-0.00249800,-0.00900000,0.00650200,-0.00460978,-0.01148074,,-0.01303500
89346,20020403,TAP,-0.02303500,-0.01000000,-0.01303500,0.02192405,0.02750564,,0.02924100
89346,20020404,TAP,0.03024100,0.00100000,0.02924100,0.01098080,0.01935315,,-0.00446300
89346,20020405,TAP,-0.00746300,-0.00300000,-0.00446300,0.03178482,0.02440971,0.05113802,0.00702200
89346,20020408,TAP,0.00902200,0.00200000,0.00702200,0.03187903,0.04748177,0.04563272,0.02935500
89346,20020409,TAP,0.02235500,-0.00700000,0.02935500,0.04519622,0.07091645,0.05765321,0.00795000
89346,20020410,TAP,0.01895000,0.01100000,0.00795000,0.02960927,0.03210079,0.05936338,-0.00699700
89346,20020411,TAP,-0.03099700,-0.02400000,-0.00699700,0.01899013,0.05594990,0.07494367,0.01859100
89346,20020412,TAP,0.02559100,0.00700000,0.01859100,-0.00072056,0.03610864,0.06019906,-0.01167400
89346,20020415,TAP,-0.01967400,-0.00800000,-0.01167400,-0.02487216,-0.02391455,0.02323393,-0.03132100
89346,20020416,TAP,-0.00832100,0.02300000,-0.03132100,-0.02910140,-0.01781194,0.05144531,0.01384600
89346,20020417,TAP,0.01184600,-0.00200000,0.01384600,-0.02874347,-0.02230054,0.01016149,-0.01119500
89346,20020418,TAP,-0.01219500,-0.00100000,-0.01119500,0.00150741,-0.04109648,0.01373541,-0.00100000
89346,20020419,TAP,0.00000000,0.00100000,-0.00100000,-0.01670617,-0.03402812,0.00177702,-0.00475300
89346,20020422,TAP,-0.01975300,-0.01500000,-0.00475300,-0.00969910,-0.00723978,-0.03049485,-0.00407600
89346,20020423,TAP,-0.01007600,-0.00600000,-0.00407600,-0.03001477,-0.04150424,-0.05789140,-0.02200800
89346,20020424,TAP,-0.02900800,-0.00700000,-0.02200800,-0.04804070,-0.05274411,-0.07422210,-0.02315700
89346,20020425,TAP,-0.02515700,-0.00200000,-0.02315700,-0.02039655,-0.02831283,-0.06682859,0.02475300
89346,20020426,TAP,0.01075300,-0.01400000,0.02475300,-0.00144088,-0.02655182,-0.05851826,-0.00276600
89346,20020429,TAP,-0.01276600,-0.01000000,-0.00276600,0.01258470,-0.03195368,-0.03807216,-0.00938400
89346,20020430,TAP,0.00161600,0.01100000,-0.00938400,-0.00032394,0.00099118,-0.04032306,0.01197900
89346,20020501,TAP,0.02097900,0.00900000,0.01197900,0.03258714,0.05461887,-0.00224698,0.02939700
89346,20020502,TAP,0.02739700,-0.00200000,0.02939700,0.05096249,0.03836977,0.00737178,0.00897400
