PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
83699,20010102,TIE,0.01851900,-0.02800000,0.04651900,,,,-0.05909100
83699,20010103,TIE,-0.00909100,0.05000000,-0.05909100,0.02766418,,,0.03852300
83699,20010104,TIE,0.02752300,-0.01100000,0.03852300,0.01582292,,,0.03492900
83699,20010105,TIE,0.00892900,-0.02600000,0.03492900,0.06616360,0.05587416,,-0.00685000
83699,20010108,TIE,-0.00885000,-0.00200000,-0.00685000,0.11334582,0.09562614,,0.08528600
83699,20010109,TIE,0.08928600,0.00400000,0.08528600,0.11188217,0.19028162,,0.03098400
83699,20010110,TIE,0.04098400,0.01000000,0.03098400,0.16332028,0.19194408,,0.03724400
83699,20010111,TIE,0.04724400,0.01000000,0.03724400,0.22372543,0.32028361,,0.14133799
83699,20010112,TIE,0.13533799,-0.00600000,0.14133799,0.21838267,0.36871441,0.43959386,0.02711300
83699,20010116,TIE,0.03311300,0.00600000,0.02711300,0.17848694,0.26478193,0.39140711,0.00441000
83699,20010117,TIE,0.00641000,0.00200000,0.00441000,0.08383591,0.28880844,0.53175960,0.04969400
83699,20010118,TIE,0.06369400,0.01400000,0.04969400,0.00085630,0.17604210,0.40328361,-0.04989200
83699,20010119,TIE,-0.05389200,-0.00400000,-0.04989200,0.00916396,0.04156679,0.38160516,0.01265800
83699,20010122,TIE,0.01265800,0.00000000,0.01265800,-0.03888809,0.01334160,0.39655927,-0.00050000
83699,20010123,TIE,0.01250000,0.01300000,-0.00050000,-0.04135594,-0.04525135,0.21347072,-0.05238300
83699,20010124,TIE,-0.04938300,0.00300000,-0.05238300,-0.02970867,-0.06679508,0.20297270,0.02448100
83699,20010125,TIE,0.01948100,-0.00500000,0.02448100,-0.05771722,-0.04691154,0.12188589,-0.02984700
83699,20010126,TIE,-0.03184700,-0.00200000,-0.02984700,-0.01294754,-0.06599918,-0.02770105,-0.00700000
83699,20010129,TIE,0.00000000,0.00700000,-0.00700000,-0.02042891,-0.04899427,-0.03740388,0.01721000
83699,20010130,TIE,0.02421000,0.00700000,0.01721000,0.05308722,0.04635355,0.00017485,0.04197100
83699,20010131,TIE,0.03597100,-0.00600000,0.04197100,0.07930016,0.03972206,-0.03018489,0.01781800
83699,20010201,TIE,0.02281800,0.00500000,0.01781800,0.09817772,0.11053261,0.05962144,0.03639900
83699,20010202,TIE,0.01939900,-0.01700000,0.03639900,0.01408624,0.07455135,0.00529872,-0.03920500
83699,20010205,TIE,-0.03520500,0.00400000,-0.03920500,-0.01017666,0.04894436,-0.00117269,-0.00687600
83699,20010206,TIE,-0.00887600,-0.00200000,-0.00687600,-0.06058035,-0.00874979,0.03635409,-0.01588100
