PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
15117,20141205,TRCO,,0.00200000,,,,,-0.02157100
15117,20141208,TRCO,-0.02857100,-0.00700000,-0.02157100,,,,-0.01588200
15117,20141209,TRCO,-0.01588200,-0.00000000,-0.01588200,-0.02353949,,,0.01346000
15117,20141210,TRCO,-0.00254000,-0.01600000,0.01346000,-0.07494893,,,-0.07391401
15117,20141211,TRCO,-0.06891400,0.00500000,-0.07391401,-0.07022818,-0.10314204,,-0.01183600
15117,20141212,TRCO,-0.02783600,-0.01600000,-0.01183600,-0.10028995,-0.10078762,,-0.01882600
15117,20141215,TRCO,-0.02482600,-0.00600000,-0.01882600,-0.05796206,-0.11223992,,-0.02967800
15117,20141216,TRCO,-0.03767800,-0.00800000,-0.02967800,-0.05972402,-0.13829520,,-0.01188700
15117,20141217,TRCO,0.00811300,0.02000000,-0.01188700,-0.04783502,-0.07650214,,-0.00528100
15117,20141218,TRCO,0.01871900,0.02400000,-0.00528100,0.01643523,-0.03455993,-0.13658807,0.03312500
15117,20141219,TRCO,0.03812500,0.00500000,0.03312500,0.02082172,-0.02289718,-0.12521018,-0.00730900
15117,20141222,TRCO,-0.00330900,0.00400000,-0.00730900,0.02760129,0.01065677,-0.10949708,0.00181700
15117,20141223,TRCO,0.00381700,0.00200000,0.00181700,-0.01477617,0.01298181,-0.13206072,-0.00925900
15117,20141224,TRCO,-0.00925900,-0.00000000,-0.00925900,-0.01015116,0.01529512,-0.06324820,-0.00266600
15117,20141226,TRCO,0.00033400,0.00300000,-0.00266600,-0.01607283,-0.02161546,-0.05653295,-0.00417000
15117,20141229,TRCO,-0.00317000,0.00100000,-0.00417000,-0.00799457,-0.01542051,-0.03868824,-0.00119200
15117,20141230,TRCO,-0.00619200,-0.00500000,-0.00119200,0.01112907,-0.00073179,0.00975890,0.01656800
15117,20141231,TRCO,0.00656800,-0.01000000,0.01656800,0.01913449,0.01234235,0.02577722,0.00384800
15117,20150102,TRCO,0.00384800,-0.00000000,0.00384800,0.02428376,0.01886792,0.03423206,0.00416700
15117,20150105,TRCO,-0.01383300,-0.01800000,0.00416700,-0.01699653,-0.00212721,-0.02282345,-0.02513900
15117,20150106,TRCO,-0.03413900,-0.00900000,-0.02513900,-0.02450625,-0.00463084,-0.01959884,-0.00377600
15117,20150107,TRCO,0.00822400,0.01200000,-0.00377600,-0.05626624,-0.04757293,-0.04774816,-0.02737200
15117,20150108,TRCO,-0.00937200,0.01800000,-0.02737200,-0.02512394,-0.04504630,-0.03283142,0.00607300
15117,20150109,TRCO,-0.00192700,-0.00800000,0.00607300,-0.01566135,-0.04439047,-0.02486414,0.00536700
15117,20150112,TRCO,-0.00263300,-0.00800000,0.00536700,0.00084304,-0.03000516,-0.03084960,-0.01055200
15117,20150113,TRCO,-0.01355200,-0.00300000,-0.01055200,-0.00590968,-0.02662252,-0.03043085,-0.00078000
15117,20150114,TRCO,-0.00678000,-0.00600000,-0.00078000,-0.00198720,0.00919923,-0.03719155,0.00935900
15117,20150115,TRCO,0.00035900,-0.00900000,0.00935900,-0.00160643,-0.00674268,-0.05085869,-0.01030600
15117,20150116,TRCO,0.00269400,0.01300000,-0.01030600,-0.02600925,-0.03680729,-0.07959635,-0.02510200
15117,20150120,TRCO,-0.02310200,0.00200000,-0.02510200,-0.04865145,-0.03964505,-0.06903277,-0.01324900
15117,20150121,TRCO,-0.00824900,0.00500000,-0.01324900,-0.02318914,-0.02410727,-0.05060834,0.01605400
15117,20150122,TRCO,0.03105400,0.01500000,0.01605400,0.04423781,0.00730451,0.01660391,0.04085500
15117,20150123,TRCO,0.03585500,-0.00500000,0.04085500,0.09665762,0.05498087,0.04701239,0.03594100
15117,20150126,TRCO,0.03894100,0.00300000,0.03594100,0.09064298,0.09512369,0.05433993,0.01250000
15117,20150127,TRCO,-0.00050000,-0.01300000,0.01250000,0.05198423,0.11228693,0.06925913,0.00400000
15117,20150128,TRCO,-0.00900000,-0.01300000,0.00400000,-0.00623322,0.07024084,0.04670808,-0.02295000
15117,20150129,TRCO,-0.01295000,0.01000000,-0.02295000,-0.00241057,0.04517764,0.05398800,0.01640800
15117,20150130,TRCO,0.00340800,-0.01300000,0.01640800,-0.02193809,-0.00523371,0.04846069,-0.01554700
15117,20150202,TRCO,-0.00254700,0.01300000,-0.01554700,-0.00990979,-0.02865551,0.06461882,-0.01093600
15117,20150203,TRCO,0.00306400,0.01400000,-0.01093600,-0.02120540,-0.02760725,0.08417572,0.00535800
15117,20150204,TRCO,0.00135800,-0.00400000,0.00535800,-0.02106528,-0.02004152,0.05054954,-0.01542400
15117,20150205,TRCO,-0.00542400,0.01000000,-0.01542400,-0.00582725,-0.03258156,0.01333472,0.00419300
15117,20150206,TRCO,0.00119300,-0.00300000,0.00419300,-0.01141649,-0.01700108,-0.02193705,-0.00025500
15117,20150209,TRCO,-0.00425500,-0.00400000,-0.00025500,-0.01569344,-0.02570234,-0.05417942,-0.01971800
15117,20150210,TRCO,-0.00871800,0.01100000,-0.01971800,-0.02040227,-0.03160119,-0.05934976,-0.00051700
15117,20150211,TRCO,-0.00051700,-0.00000000,-0.00051700,-0.02965693,-0.02556220,-0.04587943,-0.00931000
15117,20150212,TRCO,0.00069000,0.01000000,-0.00931000,-0.00541786,-0.02551900,-0.05872715,0.00444800
15117,20150213,TRCO,0.00844800,0.00400000,0.00444800,0.02085354,0.00010543,-0.01735927,0.02552600
15117,20150217,TRCO,0.02752600,0.00200000,0.02552600,0.04899131,0.03911335,0.01238067,0.01813600
15117,20150218,TRCO,0.01813600,-0.00000000,0.01813600,0.04875373,0.04429852,0.01144084,0.00443200
15117,20150219,TRCO,0.00343200,-0.00100000,0.00443200,0.03394059,0.06551892,0.03891551,0.01093800
15117,20150220,TRCO,0.01693800,0.00600000,0.01093800,0.03700591,0.08309598,0.05703051,0.02114000
15117,20150223,TRCO,0.02114000,-0.00000000,0.02114000,0.04896236,0.07285580,0.07495470,0.01582100
15117,20150224,TRCO,0.01882100,0.00300000,0.01582100,0.05005335,0.06654076,0.10959975,0.01223800
15117,20150225,TRCO,0.01123800,-0.00100000,0.01223800,0.04370432,0.07785240,0.12708163,0.01500500
15117,20150226,TRCO,0.01400500,-0.00100000,0.01500500,0.02054129,0.05854262,0.12841147,-0.00660800
15117,20150227,TRCO,-0.00960800,-0.00300000,-0.00660800,0.00867747,0.03726955,0.12405425,0.00036700
15117,20150302,TRCO,0.00636700,0.00600000,0.00036700,-0.00352085,0.02373331,0.09821485,0.00274100
15117,20150303,TRCO,-0.00225900,-0.00500000,0.00274100,0.01455475,0.02285115,0.09060539,0.01139700
15117,20150304,TRCO,0.00739700,-0.00400000,0.01139700,0.00090908,-0.00532792,0.07168073,-0.01313900
