PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
86339,20010102,TWRS,-0.05311800,-0.02800000,-0.02511800,,,,0.04512200
86339,20010103,TWRS,0.09512200,0.05000000,0.04512200,0.08069570,,,0.06222500
86339,20010104,TWRS,0.05122500,-0.01100000,0.06222500,0.00562344,,,-0.09052500
86339,20010105,TWRS,-0.11652500,-0.02600000,-0.09052500,-0.01035661,0.00498022,,0.02598100
86339,20010108,TWRS,0.02398100,-0.00200000,0.02598100,-0.03949875,0.06458462,,0.03112900
86339,20010109,TWRS,0.03512900,0.00400000,0.03112900,0.04314418,0.00509923,,-0.01452500
86339,20010110,TWRS,-0.00452500,0.01000000,-0.01452500,0.08589025,0.00868168,,0.06727300
86339,20010111,TWRS,0.07727300,0.01000000,0.06727300,-0.04565304,0.01038058,,-0.09104601
86339,20010112,TWRS,-0.09704600,-0.00600000,-0.09104601,-0.06450812,-0.04990357,-0.04411163,-0.03403700
86339,20010116,TWRS,-0.02803700,0.00600000,-0.03403700,-0.10744829,-0.06282629,-0.00171770,0.01723100
86339,20010117,TWRS,0.01923100,0.00200000,0.01723100,-0.03146947,-0.06251383,-0.05602823,-0.01400000
86339,20010118,TWRS,0.00000000,0.01400000,-0.01400000,0.01447806,-0.11108321,-0.10276878,0.01107500
86339,20010119,TWRS,0.00707500,-0.00400000,0.01107500,-0.01466193,-0.03205476,-0.02233256,-0.01171000
86339,20010122,TWRS,-0.01171000,0.00000000,-0.01171000,0.01935259,0.02295635,-0.02879213,0.02017500
86339,20010123,TWRS,0.03317500,0.01300000,0.02017500,-0.00432985,-0.00727560,-0.07144805,-0.01217400
86339,20010124,TWRS,-0.00917400,0.00300000,-0.01217400,0.01510772,0.01431070,-0.04915579,0.00731500
86339,20010125,TWRS,0.00231500,-0.00500000,0.00731500,0.06135079,0.07068797,-0.04839710,0.06666499
86339,20010126,TWRS,0.06466500,-0.00200000,0.06666499,0.09263147,0.10248385,0.06847951,0.01686100
86339,20010129,TWRS,0.02386100,0.00700000,0.01686100,0.07573826,0.07029347,0.09685838,-0.00911900
86339,20010130,TWRS,-0.00211900,0.00700000,-0.00911900,-0.03833347,0.03380323,0.02715871,-0.04495500
86339,20010131,TWRS,-0.05095500,-0.00600000,-0.04495500,-0.03562327,0.04675850,0.06221879,0.01960900
86339,20010201,TWRS,0.02460900,0.00500000,0.01960900,-0.03294159,-0.02615126,0.04215636,-0.00701700
86339,20010202,TWRS,-0.02401700,-0.01700000,-0.00701700,-0.04331968,-0.09451064,-0.00396089,-0.05545400
86339,20010205,TWRS,-0.05145400,0.00400000,-0.05545400,-0.04390980,-0.06886822,-0.00523182,0.01850900
86339,20010206,TWRS,0.01650900,-0.00200000,0.01850900,0.01720958,0.02922277,0.06343100,0.05672400
86339,20010207,TWRS,0.04872400,-0.00800000,0.05672400,0.05837656,-0.00615015,0.03890736,-0.01612400
86339,20010208,TWRS,-0.02212400,-0.00600000,-0.01612400,-0.02659352,-0.06241644,-0.08602286,-0.06392300
86339,20010209,TWRS,-0.07692300,-0.01300000,-0.06392300,-0.05479752,0.01706180,-0.07757141,0.02721600
86339,20010212,TWRS,0.03921600,0.01200000,0.02721600,-0.01474119,0.02395618,-0.04529670,0.02550900
86339,20010213,TWRS,0.01650900,-0.00900000,0.02550900,0.04078053,-0.04168192,-0.01345298,-0.01192100
86339,20010214,TWRS,-0.01392100,-0.00200000,-0.01192100,-0.03230776,-0.07043815,-0.07410163,-0.04564700
86339,20010215,TWRS,-0.03764700,0.00800000,-0.04564700,-0.01239208,0.03968772,-0.02555004,0.04589500
86339,20010216,TWRS,0.02689500,-0.01900000,0.04589500,-0.07086068,-0.05806062,-0.04165806,-0.07109500
86339,20010220,TWRS,-0.08809500,-0.01700000,-0.07109500,0.00509999,-0.04910886,-0.02631068,0.03466600
86339,20010221,TWRS,0.01566600,-0.01900000,0.03466600,-0.02191788,-0.02224950,-0.06058753,0.01742400
86339,20010222,TWRS,0.01542400,-0.00200000,0.01742400,0.04250190,0.01265634,-0.05439087,-0.00919000
86339,20010223,TWRS,-0.01519000,-0.00600000,-0.00919000,0.03739554,-0.00383515,0.03466354,0.02927200
86339,20010226,TWRS,0.04627200,0.01700000,0.02927200,0.00984691,0.06259604,-0.00046020,-0.00919900
86339,20010227,TWRS,-0.01719900,-0.00800000,-0.00919900,0.03867876,0.04662441,-0.00637933,0.01900000
86339,20010228,TWRS,0.00500000,-0.01400000,0.01900000,0.00125358,0.02036550,-0.00309373,-0.00846300
86339,20010301,TWRS,-0.00746300,0.00100000,-0.00846300,0.01893531,0.03851642,0.04915973,0.00850600
86339,20010302,TWRS,0.00250600,-0.00600000,0.00850600,-0.00593973,0.00374553,-0.00012523,-0.00600000
86339,20010305,TWRS,0.00000000,0.00600000,-0.00600000,0.00507370,0.01567942,0.07877236,0.00250000
86339,20010306,TWRS,0.01250000,0.01000000,0.00250000,-0.02715641,-0.02699035,0.01952654,-0.02328400
86339,20010307,TWRS,-0.01728400,0.00600000,-0.02328400,-0.06559254,-0.06316896,-0.04307539,-0.04471400
86339,20010308,TWRS,-0.04271400,0.00200000,-0.04471400,-0.06182416,-0.06609576,-0.02950240,0.00400300
86339,20010309,TWRS,-0.02099700,-0.02500000,0.00400300,-0.10579500,-0.12495590,-0.11924863,-0.07228100
86339,20010312,TWRS,-0.11528100,-0.04300000,-0.07228100,-0.15441903,-0.20897931,-0.19662294,-0.09984800
86339,20010313,TWRS,-0.08484800,0.01500000,-0.09984800,-0.21955735,-0.24338687,-0.26591196,-0.07664900
86339,20010314,TWRS,-0.10264900,-0.02600000,-0.07664900,-0.17029879,-0.21407015,-0.26303237,-0.00231000
86339,20010315,TWRS,0.00369000,0.00600000,-0.00231000,-0.07945263,-0.21960349,-0.26643046,-0.00205900
86339,20010316,TWRS,-0.02205900,-0.02000000,-0.00205900,0.02220429,-0.14976989,-0.24754079,0.02711300
86339,20010319,TWRS,0.04511300,0.01800000,0.02711300,0.00424498,-0.07327572,-0.25402129,-0.01916500
86339,20010320,TWRS,-0.04316500,-0.02400000,-0.01916500,-0.07342714,-0.07629756,-0.28606699,-0.07974400
86339,20010321,TWRS,-0.09774400,-0.01800000,-0.07974400,-0.11646827,-0.09572731,-0.27220959,-0.02516700
86339,20010322,TWRS,-0.02916700,-0.00400000,-0.02516700,-0.08785854,-0.08144114,-0.27575336,0.01862700
86339,20010323,TWRS,0.03862700,0.02000000,0.01862700,-0.01042892,-0.10670258,-0.23732249,-0.00273600
86339,20010326,TWRS,0.00826400,0.01100000,-0.00273600,0.13080945,0.00652224,-0.07008324,0.10924599
86339,20010327,TWRS,0.13524599,0.02600000,0.10924599,0.02893037,0.02149087,-0.05944016,-0.06625301
86339,20010328,TWRS,-0.09025300,-0.02400000,-0.06625301,0.02002409,0.03690154,-0.06674697,-0.01087300
86339,20010329,TWRS,-0.01587300,-0.00500000,-0.01087300,-0.12620710,-0.03907191,-0.11848713,-0.05535500
86339,20010330,TWRS,-0.04435500,0.01100000,-0.05535500,-0.09704889,-0.06901259,-0.16676704,-0.03441400
86339,20010402,TWRS,-0.04641400,-0.01200000,-0.03441400,-0.19474552,-0.24750982,-0.25163361,-0.12086699
86339,20010403,TWRS,-0.15486699,-0.03400000,-0.12086699,-0.12032098,-0.17545567,-0.16365723,0.03441400
86339,20010404,TWRS,0.03141400,-0.00300000,0.03441400,0.02549561,-0.06482422,-0.03193573,0.13874100
86339,20010405,TWRS,0.18274100,0.04400000,0.13874100,0.15272410,-0.02839714,-0.06584863,-0.01862700
86339,20010406,TWRS,-0.03862700,-0.02000000,-0.01862700,0.18778078,0.06940327,-0.00426358,0.06414300
86339,20010409,TWRS,0.07214300,0.00800000,0.06414300,0.23183992,0.46444621,0.05888607,0.18219401
86339,20010410,TWRS,0.20919400,0.02700000,0.18219401,0.34256889,0.50723144,0.21106393,0.06315700
86339,20010411,TWRS,0.06115700,-0.00200000,0.06315700,0.29145820,0.34503302,0.25754618,0.02290200
86339,20010412,TWRS,0.03790200,0.01500000,0.02290200,0.03690016,0.31164536,0.26486168,-0.04652500
86339,20010416,TWRS,-0.04952500,-0.00300000,-0.04652500,0.02361531,0.29420009,0.38533812,0.05000000
86339,20010417,TWRS,0.06000000,0.01000000,0.05000000,0.09782966,0.20024238,0.79667779,0.09655100
86339,20010418,TWRS,0.13555101,0.03900000,0.09655100,0.17170446,0.14232685,0.76828614,0.01279800
86339,20010419,TWRS,0.02579800,0.01300000,0.01279800,0.07364848,0.07475751,0.46500955,-0.03234700
86339,20010420,TWRS,-0.04134700,-0.00900000,-0.03234700,-0.05747334,0.08338994,0.43655482,-0.03791200
86339,20010423,TWRS,-0.05291200,-0.01500000,-0.03791200,-0.09357696,-0.00066077,0.29774422,-0.02884500
86339,20010424,TWRS,-0.04084500,-0.01200000,-0.02884500,,,,
