PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
45356,20010102,TYC,-0.04504500,-0.02800000,-0.01704500,,,,0.01603800
45356,20010103,TYC,0.06603800,0.05000000,0.01603800,0.01765437,,,0.01985000
45356,20010104,TYC,0.00885000,-0.01100000,0.01985000,0.04515412,,,0.00845600
45356,20010105,TYC,-0.01754400,-0.02600000,0.00845600,0.00545456,0.00307095,,-0.02255400
45356,20010108,TYC,-0.02455400,-0.00200000,-0.02255400,-0.00335315,0.03252548,,0.01087400
45356,20010109,TYC,0.01487400,0.00400000,0.01087400,0.00249676,0.03067411,,0.01480300
45356,20010110,TYC,0.02480300,0.01000000,0.01480300,0.04332590,0.02746968,,0.01640300
45356,20010111,TYC,0.02640300,0.01000000,0.01640300,0.05479228,0.04203638,,0.02207700
45356,20010112,TYC,0.01607700,-0.00600000,0.02207700,0.03954139,0.06738998,0.06947263,0.00032900
45356,20010116,TYC,0.00632900,0.00600000,0.00032900,0.00017963,0.03201221,0.06672887,-0.02191600
45356,20010117,TYC,-0.01991600,0.00200000,-0.02191600,0.01374044,0.05415649,0.08593232,0.03626700
45356,20010118,TYC,0.05026700,0.01400000,0.03626700,0.01319339,0.03630385,0.06493711,-0.00007300
45356,20010119,TYC,-0.00407300,-0.00400000,-0.00007300,0.02748895,0.00517096,0.04826560,-0.00818000
45356,20010122,TYC,-0.00818000,0.00000000,-0.00818000,0.00225349,0.01576067,0.08628608,0.01071100
45356,20010123,TYC,0.02371100,0.01300000,0.01071100,0.00032036,0.03695839,0.07180751,-0.00199300
45356,20010124,TYC,0.00100700,0.00300000,-0.00199300,0.01481386,0.00632304,0.06136181,0.00600600
45356,20010125,TYC,0.00100600,-0.00500000,0.00600600,0.00501788,0.00742244,0.04440873,0.00099500
45356,20010126,TYC,-0.00100500,-0.00200000,0.00099500,0.00205095,0.01080412,0.01630854,-0.00498800
45356,20010129,TYC,0.00201200,0.00700000,-0.00498800,-0.00217203,0.00190098,0.01789668,0.00183500
45356,20010130,TYC,0.00883500,0.00700000,0.00183500,-0.01641552,-0.00936987,0.02703124,-0.01310800
45356,20010131,TYC,-0.01910800,-0.00600000,-0.01310800,-0.02668612,-0.03071768,-0.02473186,-0.01539000
45356,20010201,TYC,-0.01039000,0.00500000,-0.01539000,-0.02211513,-0.02548224,-0.01850796,0.00584500
45356,20010202,TYC,-0.01115500,-0.01700000,0.00584500,0.00456125,-0.00679351,0.00375092,0.01424800
45356,20010205,TYC,0.01824800,0.00400000,0.01424800,0.01487705,-0.01340308,-0.01169188,-0.00500600
45356,20010206,TYC,-0.00700600,-0.00200000,-0.00500600,-0.00028035,-0.00956212,-0.01868219,-0.00922700
45356,20010207,TYC,-0.01722700,-0.00800000,-0.00922700,-0.00949199,0.01008228,-0.01995023,0.00466400
45356,20010208,TYC,-0.00133600,-0.00600000,0.00466400,-0.00259777,0.00625130,-0.01878381,0.00196700
