PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
59300,20010102,UDR,0.00000000,-0.02800000,0.02800000,,,,-0.01531800
59300,20010103,UDR,0.03468200,0.05000000,-0.01531800,0.04264992,,,0.02776000
59300,20010104,UDR,0.01676000,-0.01100000,0.02776000,0.00589102,,,-0.00696700
59300,20010105,UDR,-0.03296700,-0.02600000,-0.00696700,0.01629428,0.03039734,,-0.00368200
59300,20010108,UDR,-0.00568200,-0.00200000,-0.00368200,-0.00890752,0.00387583,,0.00171400
59300,20010109,UDR,0.00571400,0.00400000,0.00171400,0.00662370,0.02670687,,0.00863600
59300,20010110,UDR,0.01863600,0.01000000,0.00863600,0.00613001,-0.00487363,,-0.00428600
59300,20010111,UDR,0.00571400,0.01000000,-0.00428600,0.01047714,0.00845690,,0.00600000
59300,20010112,UDR,0.00000000,-0.00600000,0.00600000,-0.00996409,0.00031261,0.03144745,-0.01168200
59300,20010116,UDR,-0.00568200,0.00600000,-0.01168200,-0.00764595,-0.00346784,0.00043353,-0.00200000
59300,20010117,UDR,0.00000000,0.00200000,-0.00200000,-0.02780623,-0.02615182,0.00121258,-0.01400000
59300,20010118,UDR,0.00000000,0.01400000,-0.01400000,-0.02910692,-0.03465514,-0.03926401,-0.01314300
59300,20010119,UDR,-0.01714300,-0.00400000,-0.01314300,-0.00994408,-0.02371776,-0.01568837,0.01744200
59300,20010122,UDR,0.01744200,0.00000000,0.01744200,-0.00323398,-0.01940543,-0.01955955,-0.00728600
59300,20010123,UDR,0.00571400,0.01300000,-0.00728600,0.00140255,-0.02614301,-0.03018869,-0.00868200
59300,20010124,UDR,-0.00568200,0.00300000,-0.00868200,0.00046971,0.00451352,-0.02181915,0.01642900
59300,20010125,UDR,0.01142900,-0.00500000,0.01642900,0.01537509,0.02594721,-0.00960736,0.00765000
59300,20010126,UDR,0.00565000,-0.00200000,0.00765000,0.02769671,0.01165789,-0.01250558,0.00333700
59300,20010129,UDR,0.01033700,0.00700000,0.00333700,0.02933533,0.03729154,0.01790549,0.01791100
59300,20010130,UDR,0.02491100,0.00700000,0.01791100,-0.01740319,0.00662421,-0.01954283,-0.03740300
59300,20010131,UDR,-0.04340300,-0.00600000,-0.03740300,0.00827204,0.01953016,0.02431643,0.02948300
59300,20010201,UDR,0.03448300,0.00500000,0.02948300,-0.00108488,0.01994672,0.04648035,0.00822800
59300,20010202,UDR,-0.00877200,-0.01700000,0.00822800,0.02355953,0.00273420,0.01438397,-0.01373500
59300,20010205,UDR,-0.00973500,0.00400000,-0.01373500,0.05890143,0.04904231,0.08805347,0.06545000
59300,20010206,UDR,0.06345000,-0.00200000,0.06545000,0.04761727,0.08609477,0.09324893,-0.00292400
59300,20010207,UDR,-0.01092400,-0.00800000,-0.00292400,0.05256427,0.04632767,0.06670907,-0.00844400
59300,20010208,UDR,-0.01444400,-0.00600000,-0.00844400,-0.02364955,0.02483193,0.04467395,-0.01286200
59300,20010209,UDR,-0.02586200,-0.01300000,-0.01286200,-0.01324208,0.04744647,0.04992293,0.00835400
59300,20010212,UDR,0.02035400,0.01200000,0.00835400,-0.00278481,-0.01385857,0.03355174,0.00206200
59300,20010213,UDR,-0.00693800,-0.00900000,0.00206200,0.01504339,-0.00658637,0.07750591,0.00462000
59300,20010214,UDR,0.00262000,-0.00200000,0.00462000,-0.00126636,-0.00612204,0.03990262,-0.00800000
59300,20010215,UDR,0.00000000,0.00800000,-0.00800000,0.01225649,0.02266575,0.04724251,0.01551600
59300,20010216,UDR,-0.00348400,-0.01900000,0.01551600,0.01663883,0.02302665,0.06933958,0.00913300
59300,20010220,UDR,-0.00786700,-0.01700000,0.00913300,0.05835499,0.05532548,0.04004469,0.03485900
59300,20010221,UDR,0.01585900,-0.01900000,0.03485900,0.04110177,0.04833818,0.04087918,-0.00233700
59300,20010222,UDR,-0.00433700,-0.00200000,-0.00233700,0.03740842,0.06068470,0.05431176,0.00512900
