PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
78840,20010102,USAI,-0.07395500,-0.02800000,-0.04595500,,,,0.06111100
78840,20010103,USAI,0.11111100,0.05000000,0.06111100,0.01956545,,,0.01100000
78840,20010104,USAI,0.00000000,-0.01100000,0.01100000,0.10313296,,,0.02912500
78840,20010105,USAI,0.00312500,-0.02600000,0.02912500,0.03942218,0.04857966,,-0.00033600
78840,20010108,USAI,-0.00233600,-0.00200000,-0.00033600,0.01156012,0.08375743,,-0.01727100
78840,20010109,USAI,-0.01327100,0.00400000,-0.01727100,-0.01512704,0.02514318,,0.00265800
78840,20010110,USAI,0.01265800,0.01000000,0.00265800,0.00938682,0.03881847,,0.02437500
78840,20010111,USAI,0.03437500,0.01000000,0.02437500,0.06829923,0.04942184,,0.03923300
78840,20010112,USAI,0.03323300,-0.00600000,0.03923300,0.06191168,0.04689476,0.09804210,-0.00307600
78840,20010116,USAI,0.00292400,0.00600000,-0.00307600,-0.03821754,-0.01260982,0.07177298,-0.07197100
78840,20010117,USAI,-0.06997100,0.00200000,-0.07197100,-0.05721198,0.00509893,0.03089964,0.02048300
78840,20010118,USAI,0.03448300,0.01400000,0.02048300,-0.06444249,-0.03005451,0.00819385,-0.01115200
78840,20010119,USAI,-0.01515200,-0.00400000,-0.01115200,-0.00367505,-0.07943999,-0.03432385,-0.01230800
78840,20010122,USAI,-0.01230800,0.00000000,-0.01230800,0.00014190,-0.05427494,-0.01005780,0.02438300
78840,20010123,USAI,0.03738300,0.01300000,0.02438300,-0.01911646,-0.01046939,-0.02350826,-0.03002700
78840,20010124,USAI,-0.02702700,0.00300000,-0.03002700,-0.02965087,-0.05237072,-0.04887313,-0.02277800
78840,20010125,USAI,-0.02777800,-0.00500000,-0.02277800,-0.08307673,-0.07355340,-0.10254320,-0.03292100
78840,20010126,USAI,-0.03492100,-0.00200000,-0.03292100,-0.03931322,-0.04637380,-0.12423724,0.01684900
78840,20010129,USAI,0.02384900,0.00700000,0.01684900,-0.01837058,-0.07004244,-0.12281701,-0.00137800
78840,20010130,USAI,0.00562200,0.00700000,-0.00137800,0.04137693,-0.01635222,-0.02708752,0.02516900
78840,20010131,USAI,0.01916900,-0.00600000,0.02516900,0.04785149,0.03029031,-0.02403224,0.02321300
78840,20010201,USAI,0.02821300,0.00500000,0.02321300,0.07232558,0.08974276,0.01070065,0.02309800
78840,20010202,USAI,0.00609800,-0.01700000,0.02309800,0.07709888,0.10276461,0.05360252,0.02933300
78840,20010205,USAI,0.03333300,0.00400000,0.02933300,0.10040757,0.15343584,0.07530256,0.04598800
78840,20010206,USAI,0.04398800,-0.00200000,0.04598800,0.10299309,0.15283221,0.13441624,0.02485400
78840,20010207,USAI,0.01685400,-0.00800000,0.02485400,0.04818229,0.10195503,0.13558103,-0.02162400
78840,20010208,USAI,-0.02762400,-0.00600000,-0.02162400,0.01553509,0.09149841,0.18683819,0.01300000
78840,20010209,USAI,0.00000000,-0.01300000,0.01300000,-0.01218737,0.05811785,0.16468411,-0.00347700
78840,20010212,USAI,0.00852300,0.01200000,-0.00347700,0.00446359,0.00710234,0.15783817,-0.00508500
78840,20010213,USAI,-0.01408500,-0.00900000,-0.00508500,0.01047735,0.00147819,0.15175064,0.01914300
78840,20010214,USAI,0.01714300,-0.00200000,0.01914300,-0.00256438,0.00706308,0.10910444,-0.01642700
78840,20010215,USAI,-0.00842700,0.00800000,-0.01642700,-0.00115608,-0.00961096,0.08030652,-0.00366300
78840,20010216,USAI,-0.02266300,-0.01900000,-0.00366300,0.00829919,0.02173526,0.07849996,0.02859400
78840,20010220,USAI,0.01159400,-0.01700000,0.02859400,0.03700140,0.03976632,0.04585513,0.01326900
78840,20010221,USAI,-0.00573100,-0.01900000,0.01326900,0.06369215,0.04271966,0.04341835,0.02217300
78840,20010222,USAI,0.02017300,-0.00200000,0.02217300,0.04975890,0.07288703,0.07972239,0.01447500
78840,20010223,USAI,0.00847500,-0.00600000,0.01447500,0.05452431,0.09668213,0.08540912,0.01661300
78840,20010226,USAI,0.03361300,0.01700000,0.01661300,0.03956200,0.07551629,0.09557937,0.00800000
78840,20010227,USAI,0.00000000,-0.00800000,0.00800000,0.06128184,0.09966113,0.13804800,0.03568000
78840,20010228,USAI,0.02168000,-0.01400000,0.03568000,0.03174985,0.06391184,0.10583497,-0.01161000
78840,20010301,USAI,-0.01061000,0.00100000,-0.01161000,0.01893558,0.04385244,0.11649003,-0.00472400
78840,20010302,USAI,-0.01072400,-0.00600000,-0.00472400,0.01229817,0.05617481,0.15473971,0.02923000
78840,20010305,USAI,0.03523000,0.00600000,0.02923000,0.02488817,0.04924957,0.12734803,0.00047100
78840,20010306,USAI,0.01047100,0.01000000,0.00047100,0.03746327,0.02009477,0.12319138,0.00695300
78840,20010307,USAI,0.01295300,0.00600000,0.00695300,-0.00500349,0.01947714,0.08558832,-0.01223000
78840,20010308,USAI,-0.01023000,0.00200000,-0.01223000,-0.01390022,0.01495347,0.05924696,-0.00859200
78840,20010309,USAI,-0.03359200,-0.02500000,-0.00859200,-0.02445499,-0.01801943,0.03470936,-0.00512800
78840,20010312,USAI,-0.04812800,-0.04300000,-0.00512800,0.00900138,0.00389017,0.05108594,0.02432600
78840,20010313,USAI,0.03932600,0.01500000,0.02432600,0.02716296,0.00665471,0.02547526,0.00978400
78840,20010314,USAI,-0.01621600,-0.02600000,0.00978400,0.01950337,0.00483470,0.02309059,-0.01424200
78840,20010315,USAI,-0.00824200,0.00600000,-0.01424200,0.04245572,0.05923835,0.07398869,0.04770100
78840,20010316,USAI,0.02770100,-0.02000000,0.04770100,0.05681333,0.09207513,0.06792943,0.02243100
78840,20010319,USAI,0.04043100,0.01800000,0.02243100,0.03184399,0.02701069,0.02960258,-0.03558500
78840,20010320,USAI,-0.05958500,-0.02400000,-0.03558500,0.03509839,0.06831304,0.06999702,0.05105800
78840,20010321,USAI,0.03305800,-0.01800000,0.05105800,0.00395197,0.07258634,0.07231405,-0.00933300
78840,20010322,USAI,-0.01333300,-0.00400000,-0.00933300,-0.00589735,-0.02086543,0.03801997,-0.04702700
78840,20010323,USAI,-0.02702700,0.02000000,-0.04702700,-0.08309515,-0.06730174,0.01766561,-0.02766700
78840,20010326,USAI,-0.01666700,0.01100000,-0.02766700,-0.04451862,-0.00177323,0.02621183,0.03332200
78840,20010327,USAI,0.05932200,0.02600000,0.03332200,0.00705322,-0.04984147,0.01891284,0.00266700
78840,20010328,USAI,-0.02133300,-0.02400000,0.00266700,0.04317942,-0.03288102,0.04087990,0.00772500
78840,20010329,USAI,0.00272500,-0.00500000,0.00772500,0.03953167,0.04547930,0.02288134,0.02976100
78840,20010330,USAI,0.04076100,0.01100000,0.02976100,0.02792477,0.06408119,-0.00821266,-0.00888800
78840,20010402,USAI,-0.02088800,-0.01200000,-0.00888800,-0.00838456,0.00162738,0.00001959,-0.02733300
78840,20010403,USAI,-0.06133300,-0.03400000,-0.02733300,0.00929126,0.04552392,-0.00315559,0.04845500
