PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
75104,20010102,VIA,-0.03324500,-0.02800000,-0.00524500,,,,0.11643700
75104,20010103,VIA,0.16643700,0.05000000,0.11643700,0.18344494,,,0.06878300
75104,20010104,VIA,0.05778300,-0.01100000,0.06878300,0.17286818,,,-0.01413400
75104,20010105,VIA,-0.04013400,-0.02600000,-0.01413400,0.00090427,0.10394174,,-0.05026500
75104,20010108,VIA,-0.05226500,-0.00200000,-0.05026500,-0.06512718,0.11032996,,-0.00277500
75104,20010109,VIA,0.00122500,0.00400000,-0.00277500,-0.05614720,-0.00433886,,-0.00265600
75104,20010110,VIA,0.00734400,0.01000000,-0.00265600,0.04934909,-0.01896833,,0.05439900
75104,20010111,VIA,0.06439900,0.01000000,0.05439900,0.09250779,0.03394203,,0.03796300
75104,20010112,VIA,0.03196300,-0.00600000,0.03796300,0.09574688,0.09105184,0.20525208,0.00063700
75104,20010116,VIA,0.00663700,0.00600000,0.00063700,0.05168866,0.10763973,0.23373363,0.01228600
75104,20010117,VIA,0.01428600,0.00200000,0.01228600,0.01880553,0.11722705,0.10931864,0.00550200
75104,20010118,VIA,0.01950200,0.01400000,0.00550200,0.00891637,0.04857525,0.02824344,-0.00875200
75104,20010119,VIA,-0.01275200,-0.00400000,-0.00875200,-0.04677965,-0.03462770,-0.00180286,-0.04305700
75104,20010122,VIA,-0.04305700,0.00000000,-0.04305700,-0.02807641,-0.01083281,0.08125830,0.02524500
75104,20010123,VIA,0.03824500,0.01300000,0.02524500,-0.01603884,-0.01964102,0.08826440,0.00350100
75104,20010124,VIA,0.00650100,0.00300000,0.00350100,0.01603777,-0.03667018,0.07610978,-0.01222300
75104,20010125,VIA,-0.01722300,-0.00500000,-0.01222300,-0.05991061,-0.07890440,-0.03466898,-0.05166900
75104,20010126,VIA,-0.05366900,-0.00200000,-0.05166900,-0.03117706,-0.00362547,-0.03874704,0.03466700
75104,20010129,VIA,0.04166700,0.00700000,0.03466700,-0.00172446,-0.01063083,-0.02172365,0.01788900
75104,20010130,VIA,0.02488900,0.00700000,0.01788900,0.02888810,-0.03661239,-0.05650950,-0.02279400
75104,20010131,VIA,-0.02879400,-0.00600000,-0.02279400,0.01377151,-0.00576342,-0.04266469,0.01946900
75104,20010201,VIA,0.02446900,0.00500000,0.01946900,-0.02743371,0.02329158,-0.05690977,-0.02362100
75104,20010202,VIA,-0.04062100,-0.01700000,-0.02362100,-0.02115763,-0.02659410,-0.03052261,-0.01635700
75104,20010205,VIA,-0.01235700,0.00400000,-0.01635700,-0.05835449,-0.06200038,-0.07242027,-0.02007900
75104,20010206,VIA,-0.02207900,-0.00200000,-0.02007900,-0.02341431,-0.02804326,-0.06299435,0.01289200
75104,20010207,VIA,0.00489200,-0.00800000,0.01289200,0.00304529,-0.03589494,-0.04167965,0.01049400
75104,20010208,VIA,0.00449400,-0.00600000,0.01049400,0.02865241,-0.00751368,0.01505620,0.00554400
75104,20010209,VIA,-0.00745600,-0.01300000,0.00554400,0.01819639,0.01062294,-0.01587624,0.00208500
75104,20010212,VIA,0.01408500,0.01200000,0.00208500,0.01126462,0.03449352,-0.02871402,0.00363000
75104,20010213,VIA,-0.00537000,-0.00900000,0.00363000,0.01376263,0.02966195,0.00075813,0.00795800
75104,20010214,VIA,0.00595800,-0.00200000,0.00795800,0.01140313,0.01913402,-0.01784692,-0.00022700
75104,20010215,VIA,0.00777300,0.00800000,-0.00022700,0.00251650,0.00821021,0.00050817,-0.00505900
75104,20010216,VIA,-0.02405900,-0.01900000,-0.00505900,-0.00590815,0.00530386,0.01548220,-0.00068900
75104,20010220,VIA,-0.01768900,-0.01700000,-0.00068900,0.03893972,0.04684865,0.08016848,0.04639500
75104,20010221,VIA,0.02739500,-0.01900000,0.04639500,0.02198707,0.01650399,0.04492374,-0.02261300
75104,20010222,VIA,-0.02461300,-0.00200000,-0.02261300,0.01438428,0.00829599,0.02637591,-0.00852900
75104,20010223,VIA,-0.01452900,-0.00600000,-0.00852900,-0.04374465,0.00114894,0.00913413,-0.01292600
75104,20010226,VIA,0.00407400,0.01700000,-0.01292600,-0.00376654,0.01936004,0.02392198,0.01766000
75104,20010227,VIA,0.00966000,-0.00800000,0.01766000,-0.01530203,-0.04534301,0.00095449,-0.01986900
75104,20010228,VIA,-0.03386900,-0.01400000,-0.01986900,-0.01599132,-0.03678764,-0.01928154,-0.01367600
75104,20010301,VIA,-0.01267600,0.00100000,-0.01367600,-0.05301201,-0.04892573,-0.03810891,-0.02108100
75104,20010302,VIA,-0.02708100,-0.00600000,-0.02108100,-0.04037780,-0.04203782,-0.03982129,-0.00600000
75104,20010305,VIA,0.00000000,0.00600000,-0.00600000,-0.01457710,-0.04733643,-0.02809239,0.01309300
75104,20010306,VIA,0.02309300,0.01000000,0.01309300,0.00506058,-0.03030903,-0.07465010,-0.00196900
75104,20010307,VIA,0.00403100,0.00600000,-0.00196900,0.00994974,-0.01785409,-0.05446632,-0.00119700
75104,20010308,VIA,0.00080300,0.00200000,-0.00119700,0.01577836,0.02305480,-0.02716628,0.01878300
75104,20010309,VIA,-0.00621700,-0.02500000,0.01878300,-0.02546644,-0.01572844,-0.05467191,-0.04257000
75104,20010312,VIA,-0.08557000,-0.04300000,-0.04257000,-0.02649338,-0.02962834,-0.07332178,-0.00197900
75104,20010313,VIA,0.01302100,0.01500000,-0.00197900,-0.02682625,-0.01000019,-0.03788189,0.01837500
75104,20010314,VIA,-0.00762500,-0.02600000,0.01837500,0.05886859,0.02929930,0.01273694,0.04186000
