PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
85269,20010102,VLO,-0.03865500,-0.02800000,-0.01065500,,,,-0.03951000
85269,20010103,VLO,0.01049000,0.05000000,-0.03951000,-0.12870067,,,-0.08242600
85269,20010104,VLO,-0.09342600,-0.01100000,-0.08242600,-0.08662507,,,0.03554200
85269,20010105,VLO,0.00954200,-0.02600000,0.03554200,-0.02191345,-0.06855789,,0.02846500
85269,20010108,VLO,0.02646500,-0.00200000,0.02846500,0.05268633,-0.07115685,,-0.01136600
85269,20010109,VLO,-0.00736600,0.00400000,-0.01136600,0.03335728,-0.01810938,,0.01597400
85269,20010110,VLO,0.02597400,0.01000000,0.01597400,-0.00392227,0.06169564,,-0.00819200
85269,20010111,VLO,0.00180800,0.01000000,-0.00819200,0.03054674,0.04827276,,0.02224500
85269,20010112,VLO,0.01624500,-0.00600000,0.02224500,0.00992683,0.01453003,-0.05695293,-0.00422400
85269,20010116,VLO,0.00177600,0.00600000,-0.00422400,-0.00196414,0.00572544,-0.06733454,-0.01973000
85269,20010117,VLO,-0.01773000,0.00200000,-0.01973000,-0.06830524,-0.05508505,-0.07128545,-0.04468600
85269,20010118,VLO,-0.03068600,0.01400000,-0.04468600,-0.07047400,-0.05344389,0.00592785,-0.00717300
85269,20010119,VLO,-0.01117300,-0.00400000,-0.00717300,-0.03160432,-0.05533526,-0.00974838,0.02071600
85269,20010122,VLO,0.02071600,0.00000000,0.02071600,0.02829621,-0.03753015,-0.02408656,0.01467500
85269,20010123,VLO,0.02767500,0.01300000,0.01467500,-0.00097303,-0.05321823,-0.04882412,-0.03531600
85269,20010124,VLO,-0.03231600,0.00300000,-0.03531600,0.00749139,0.02101851,-0.03505559,0.02911900
85269,20010125,VLO,0.02411900,-0.00500000,0.02911900,-0.00676118,0.02872780,-0.02638639,0.00018800
85269,20010126,VLO,-0.00181200,-0.00200000,0.00018800,0.03157825,0.00982998,-0.04675727,0.00207400
85269,20010129,VLO,0.00907400,0.00700000,0.00207400,-0.01144225,-0.01838463,-0.05606123,-0.01361900
85269,20010130,VLO,-0.00661900,0.00700000,-0.01361900,-0.00469861,0.02468308,-0.02925237,0.00686900
85269,20010131,VLO,0.00086900,-0.00600000,0.00686900,0.00439630,0.00670118,0.02813763,0.01120800
85269,20010201,VLO,0.01620800,0.00500000,0.01120800,0.05016785,0.03884391,0.06891363,0.03181100
85269,20010202,VLO,0.01481100,-0.01700000,0.03181100,0.07238776,0.06531204,0.07675839,0.02799500
85269,20010205,VLO,0.03199500,0.00400000,0.02799500,0.07314549,0.09224422,0.07337966,0.01233500
85269,20010206,VLO,0.01033500,-0.00200000,0.01233500,0.08404854,0.12975890,0.15731889,0.04191700
85269,20010207,VLO,0.03391700,-0.00800000,0.04191700,0.01946004,0.07976717,0.08768573,-0.03331300
85269,20010208,VLO,-0.03931300,-0.00600000,-0.03331300,0.02892397,0.06973788,0.11003205,0.02194300
85269,20010209,VLO,0.00894300,-0.01300000,0.02194300,0.01105400,0.06574324,0.13376252,0.02372400
85269,20010212,VLO,0.03572400,0.01200000,0.02372400,0.06898243,0.07566749,0.17146684,0.02225400
85269,20010213,VLO,0.01325400,-0.00900000,0.02225400,0.03564560,0.02274041,0.15269745,-0.01031100
85269,20010214,VLO,-0.01231100,-0.00200000,-0.01031100,-0.03851029,0.00575815,0.08548210,-0.05032700
85269,20010215,VLO,-0.04232700,0.00800000,-0.05032700,-0.03867930,0.00535625,0.07461805,0.02144000
85269,20010216,VLO,0.00244000,-0.01900000,0.02144000,-0.01774088,-0.00632173,0.05657361,0.01104900
85269,20010220,VLO,-0.00595100,-0.01700000,0.01104900,0.03691658,-0.02193676,0.04893872,0.00539500
85269,20010221,VLO,-0.01360500,-0.01900000,0.00539500,0.01461445,-0.01372381,0.00785304,-0.00158600
85269,20010222,VLO,-0.00358600,-0.00200000,-0.00158600,0.01214321,0.04338905,0.04885940,0.00849200
85269,20010223,VLO,0.00249200,-0.00600000,0.00849200,0.02891782,0.04470044,0.04969155,0.02194000
85269,20010226,VLO,0.03894000,0.01700000,0.02194000,0.03567271,0.03889170,0.03093655,0.00507600
85269,20010227,VLO,-0.00292400,-0.00800000,0.00507600,0.01741210,0.02424166,0.00089102,-0.00892700
