PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89017,20160105,WLTW,0.00688200,0.00200000,0.00488200,,,,-0.03356700
89017,20160106,WLTW,-0.04656700,-0.01300000,-0.03356700,-0.04549095,,,-0.01792400
89017,20160107,WLTW,-0.04192400,-0.02400000,-0.01792400,-0.02598354,,,0.02552800
89017,20160108,WLTW,0.01452800,-0.01100000,0.02552800,-0.00798715,-0.03566846,,-0.01514900
89017,20160111,WLTW,-0.01414900,0.00100000,-0.01514900,0.00731040,-0.04306874,,-0.00295500
89017,20160112,WLTW,0.00504500,0.00800000,-0.00295500,-0.01611081,-0.00903785,,0.00163300
89017,20160113,WLTW,-0.02336700,-0.02500000,0.00163300,-0.00463940,0.00553918,,-0.00344200
89017,20160114,WLTW,0.01355800,0.01700000,-0.00344200,0.00410367,-0.01356752,,0.00582600
89017,20160115,WLTW,-0.01617400,-0.02200000,0.00582600,-0.01750775,-0.01841934,-0.05184554,-0.02010600
89017,20160119,WLTW,-0.01910600,0.00100000,-0.02010600,-0.01164313,-0.01317025,-0.05339973,0.00221600
89017,20160120,WLTW,-0.00978400,-0.01200000,0.00221600,-0.01641581,-0.01384589,-0.02195781,0.00140400
89017,20160121,WLTW,0.00640400,0.00500000,0.00140400,0.00142464,-0.01275277,-0.00719738,-0.00227300
89017,20160122,WLTW,0.01772700,0.02000000,-0.00227300,-0.00119714,-0.01900776,-0.03187597,-0.00034700
89017,20160125,WLTW,-0.01634700,-0.01600000,-0.00034700,-0.00864168,-0.00493035,-0.02334712,-0.00600900
89017,20160126,WLTW,0.00799100,0.01400000,-0.00600900,0.00212193,0.00132928,-0.01206524,0.00838700
89017,20160127,WLTW,-0.00261300,-0.01100000,0.00838700,0.01347536,0.01087733,-0.00341739,0.01089100
89017,20160128,WLTW,0.01689100,0.00600000,0.01089100,0.01145343,0.00496943,-0.00811259,-0.00821200
89017,20160129,WLTW,0.01678800,0.02500000,-0.00821200,0.00308348,0.00568920,-0.01408828,0.00026200
89017,20160201,WLTW,0.00026200,-0.00000000,0.00026200,-0.02346843,-0.00439605,-0.00935322,-0.01541100
89017,20160202,WLTW,-0.03441100,-0.01900000,-0.01541100,0.01042570,0.01355270,0.01507888,0.02656700
89017,20160203,WLTW,0.03156700,0.00500000,0.02656700,0.02269070,0.01522845,0.02659970,0.01255500
89017,20160204,WLTW,0.01455500,0.00200000,0.01255500,0.04241126,0.02597306,0.03137851,0.00339400
89017,20160205,WLTW,-0.01460600,-0.01800000,0.00339400,0.00447152,0.01431563,0.02032682,-0.01108300
89017,20160208,WLTW,-0.02508300,-0.01400000,-0.01108300,-0.01101399,0.02674977,0.02236167,-0.00358800
89017,20160209,WLTW,-0.00458800,-0.00100000,-0.00358800,-0.04202089,-0.02647376,-0.01413691,-0.02828700
89017,20160210,WLTW,-0.02828700,-0.00000000,-0.02828700,-0.02326544,-0.02982684,-0.01610262,0.00837300
89017,20160211,WLTW,-0.00362700,-0.01200000,0.00837300,-0.03315520,-0.04685828,-0.02089168,-0.01337300
89017,20160212,WLTW,0.00662700,0.02000000,-0.01337300,0.00533489,-0.02737523,-0.01191938,0.01017000
89017,20160216,WLTW,0.02717000,0.01700000,0.01017000,-0.01557327,-0.03595781,-0.00813281,-0.01175700
89017,20160217,WLTW,0.00424300,0.01600000,-0.01175700,0.00676069,0.00186232,-0.02567334,0.00823600
89017,20160218,WLTW,0.00323600,-0.00500000,0.00823600,-0.01489252,-0.01879823,-0.04868277,-0.01138000
89017,20160219,WLTW,-0.01138000,-0.00000000,-0.01138000,0.00725116,0.00572045,-0.04343932,0.01056300
89017,20160222,WLTW,0.02456300,0.01400000,0.01056300,0.00076709,-0.00266068,-0.03037622,0.00182700
89017,20160223,WLTW,-0.01017300,-0.01200000,0.00182700,0.00531004,0.00206724,-0.03390868,-0.00694900
89017,20160224,WLTW,-0.00294900,0.00400000,-0.00694900,-0.00427836,-0.00543335,-0.00374573,0.00083200
89017,20160225,WLTW,0.01183200,0.01100000,0.00083200,-0.00532799,0.00706487,-0.01180186,0.00084800
89017,20160226,WLTW,-0.00115200,-0.00200000,0.00084800,0.01486904,0.00962585,0.01576957,0.01305500
89017,20160229,WLTW,0.00505500,-0.00800000,0.01305500,0.00952199,0.00332501,0.00062072,-0.00467400
89017,20160301,WLTW,0.01932600,0.02400000,-0.00467400,0.01587158,0.01776274,0.01994110,0.00699500
89017,20160302,WLTW,0.01099500,0.00400000,0.00699500,0.00129469,0.01561370,0.01024596,-0.00111600
89017,20160303,WLTW,0.00188400,0.00300000,-0.00111600,0.00451164,0.01337965,0.02092168,-0.00137600
89017,20160304,WLTW,0.00162400,0.00300000,-0.00137600,-0.00555927,-0.00327442,0.00668319,-0.00304800
89017,20160307,WLTW,-0.00204800,0.00100000,-0.00304800,0.00456246,0.01046762,0.01413102,0.00894800
89017,20160308,WLTW,-0.00205200,-0.01100000,0.00894800,-0.00091211,-0.00340068,0.01421925,-0.00688500
89017,20160309,WLTW,-0.00188500,0.00500000,-0.00688500,0.00494371,0.00053800,0.01613892,0.00283300
89017,20160310,WLTW,0.00283300,0.00000000,0.00283300,0.01242230,0.01841122,0.03266118,0.01652900
89017,20160311,WLTW,0.03252900,0.01600000,0.01652900,0.02055603,0.02262881,0.02005034,0.00108300
89017,20160314,WLTW,0.00008300,-0.00100000,0.00108300,0.02025943,0.01616865,0.02699286,0.00258000
89017,20160315,WLTW,0.00058000,-0.00200000,0.00258000,-0.00132650,0.01813866,0.01462822,-0.00500600
89017,20160316,WLTW,0.00099400,0.00600000,-0.00500600,0.01716843,0.03555321,0.03605060,0.01956800
89017,20160317,WLTW,0.02656800,0.00700000,0.01956800,-0.01237260,-0.00865729,0.00975913,-0.02625300
