PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
83601,20010102,WOR,0.01550400,-0.02800000,0.04350400,,,,-0.07290100
83601,20010103,WOR,-0.02290100,0.05000000,-0.07290100,0.01388232,,,0.04225000
83601,20010104,WOR,0.03125000,-0.01100000,0.04225000,0.01908359,,,0.04872700
83601,20010105,WOR,0.02272700,-0.02600000,0.04872700,0.05426531,0.02658817,,-0.03503700
83601,20010108,WOR,-0.03703700,-0.00200000,-0.03503700,0.03921088,0.00943501,,0.02676900
83601,20010109,WOR,0.03076900,0.00400000,0.02676900,0.00280264,0.09545504,,0.01238800
83601,20010110,WOR,0.02238800,0.01000000,0.01238800,0.01428038,0.02716968,,-0.02459900
83601,20010111,WOR,-0.01459900,0.01000000,-0.02459900,0.04572163,0.03585195,,0.05785200
83601,20010112,WOR,0.05185200,-0.00600000,0.05785200,0.11412344,0.16047101,0.18894502,0.07850701
83601,20010116,WOR,0.08450700,0.00600000,0.07850701,0.06470290,0.05252303,0.06336936,-0.06693500
83601,20010117,WOR,-0.06493500,0.00200000,-0.06693500,-0.02916612,0.00304567,0.10121115,-0.03483300
83601,20010118,WOR,-0.02083300,0.01400000,-0.03483300,-0.08339245,0.04733184,0.07590126,0.01818400
83601,20010119,WOR,0.01418400,-0.00400000,0.01818400,-0.03772186,-0.03212023,0.00271287,-0.02097900
83601,20010122,WOR,-0.02097900,0.00000000,-0.02097900,-0.01604056,-0.11602848,0.02705293,-0.01300000
83601,20010123,WOR,0.00000000,0.01300000,-0.01300000,-0.03701802,-0.05392039,-0.00404815,-0.00300000
83601,20010124,WOR,0.00000000,0.00300000,-0.00300000,-0.00381582,-0.00691520,-0.00405036,0.01214300
83601,20010125,WOR,0.00714300,-0.00500000,0.01214300,0.00401128,-0.02991558,0.01606648,-0.00509200
83601,20010126,WOR,-0.00709200,-0.00200000,-0.00509200,0.03318235,0.01714394,-0.01573166,0.02614300
83601,20010129,WOR,0.03314300,0.00700000,0.02614300,0.02514273,0.03459041,-0.08574081,0.00406200
83601,20010130,WOR,0.01106200,0.00700000,0.00406200,0.08917826,0.09622430,0.03958146,0.05632800
83601,20010131,WOR,0.05032800,-0.00600000,0.05632800,0.13231140,0.15668135,0.14969021,0.06687500
83601,20010201,WOR,0.07187500,0.00500000,0.06687500,0.11210384,0.14707347,0.11419863,-0.01118300
83601,20010202,WOR,-0.02818300,-0.01700000,-0.01118300,0.04875810,0.11227125,0.13301309,-0.00500000
83601,20010205,WOR,-0.00100000,0.00400000,-0.00500000,0.01115435,0.13750003,0.17766370,0.02802600
83601,20010206,WOR,0.02602600,-0.00200000,0.02802600,0.02602404,0.08053594,0.18284824,0.00312200
83601,20010207,WOR,-0.00487800,-0.00800000,0.00312200,0.05396251,0.03655869,0.19485954,0.02266700
83601,20010208,WOR,0.01666700,-0.00600000,0.02266700,0.03555152,0.05883239,0.21065834,0.01010700
83601,20010209,WOR,-0.00289300,-0.01300000,0.01010700,0.00714904,0.03808272,0.15244047,-0.02554000
83601,20010212,WOR,-0.01354000,0.01200000,-0.02554000,-0.00721214,0.01810281,0.15450734,0.00802000
83601,20010213,WOR,-0.00098000,-0.00900000,0.00802000,-0.01926107,0.01315130,0.09305531,-0.00192500
83601,20010214,WOR,-0.00392500,-0.00200000,-0.00192500,0.02758074,0.01193758,0.04843472,0.02155700
83601,20010215,WOR,0.02955700,0.00800000,0.02155700,0.01411220,-0.00326282,0.05485409,-0.00492300
83601,20010216,WOR,-0.02392300,-0.01900000,-0.00492300,0.02599252,0.03177587,0.06905514,0.01013700
83601,20010220,WOR,-0.00686300,-0.01700000,0.01013700,-0.00724437,0.01104799,0.02821107,-0.01258900
83601,20010221,WOR,-0.03158900,-0.01900000,-0.01258900,0.02289994,0.03848701,0.05081397,0.02646500
83601,20010222,WOR,0.02446500,-0.00200000,0.02646500,-0.00080359,0.00414058,0.01537528,-0.01390000
83601,20010223,WOR,-0.01990000,-0.00600000,-0.01390000,-0.00479812,-0.00719559,-0.01027252,-0.01700000
83601,20010226,WOR,0.00000000,0.01700000,-0.01700000,-0.02768578,-0.01436535,0.01693045,0.00292400
83601,20010227,WOR,-0.00507600,-0.00800000,0.00292400,0.00526030,0.01728433,0.02754188,0.01910200
83601,20010228,WOR,0.00510200,-0.01400000,0.01910200,0.03512297,0.00427001,0.04232085,0.01321300
83601,20010301,WOR,0.01421300,0.00100000,0.01321300,0.06383355,0.04983356,0.05107054,0.03102500
83601,20010302,WOR,0.02502500,-0.00600000,0.03102500,0.04167564,0.06358491,0.05435824,-0.00307000
83601,20010305,WOR,0.00293000,0.00600000,-0.00307000,0.01305924,0.04603673,0.03021740,-0.01486900
83601,20010306,WOR,-0.00486900,0.01000000,-0.01486900,-0.02118032,0.02356883,0.04124379,-0.00306500
