PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
91392,20180601,WYND,0.01540000,0.01100000,0.00440000,,,,0.01591400
91392,20180604,WYND,0.01991400,0.00400000,0.01591400,0.00559527,,,-0.01448600
91392,20180605,WYND,-0.01348600,0.00100000,-0.01448600,-0.00932634,,,-0.01042800
91392,20180606,WYND,-0.00142800,0.00900000,-0.01042800,-0.00779021,0.01269424,,0.01734700
91392,20180607,WYND,0.01634700,-0.00100000,0.01734700,-0.02672543,-0.02572187,,-0.03315700
91392,20180608,WYND,-0.03015700,0.00300000,-0.03315700,-0.01015078,-0.03497805,,0.00625500
91392,20180611,WYND,0.00725500,0.00100000,0.00625500,-0.03717351,-0.03078099,,-0.01023200
91392,20180612,WYND,-0.00823200,0.00200000,-0.01023200,-0.00603851,-0.02223561,,-0.00201800
91392,20180613,WYND,-0.00601800,-0.00400000,-0.00201800,0.00207039,-0.02510102,-0.01328165,0.01449300
91392,20180614,WYND,0.01649300,0.00200000,0.01449300,0.03368125,0.02961969,0.00361239,0.02109100
91392,20180615,WYND,0.02009100,-0.00100000,0.02109100,0.02465515,0.01212487,-0.02301391,-0.01079200
91392,20180618,WYND,-0.01279200,-0.00200000,-0.01079200,0.00553567,0.01789035,-0.01291355,-0.00443300
91392,20180619,WYND,-0.00843300,-0.00400000,-0.00443300,-0.04371228,-0.00955235,-0.03151804,-0.02917300
91392,20180620,WYND,-0.02717300,0.00200000,-0.02917300,-0.02532422,-0.01554281,-0.04004036,0.00813200
91392,20180621,WYND,0.00213200,-0.00600000,0.00813200,-0.02950928,-0.04398069,-0.01590008,-0.00859600
91392,20180622,WYND,-0.00659600,0.00200000,-0.00859600,-0.00315338,-0.03581144,-0.02425461,-0.00270600
91392,20180625,WYND,-0.01670600,-0.01400000,-0.00270600,-0.01909726,-0.03949282,-0.02220526,-0.00809900
91392,20180626,WYND,-0.00609900,0.00200000,-0.00809900,-0.01848924,-0.01886272,-0.02794076,-0.00809400
91392,20180627,WYND,-0.01709400,-0.00900000,-0.00809400,-0.03444424,-0.04479738,-0.05894926,-0.01870900
91392,20180628,WYND,-0.01270900,0.00600000,-0.01870900,-0.02774815,-0.03777129,-0.07917023,-0.00122600
91392,20180629,WYND,-0.00022600,0.00100000,-0.00122600,-0.03210055,-0.04759124,-0.08085522,-0.01226100
91392,20180702,WYND,-0.00926100,0.00300000,-0.01226100,-0.00891965,-0.03516060,-0.07261110,0.00454400
91392,20180703,WYND,-0.00045600,-0.00500000,0.00454400,-0.01080619,-0.03074360,-0.04852699,-0.00306900
91392,20180705,WYND,0.00593100,0.00900000,-0.00306900,0.00876186,-0.00497093,-0.05019907,0.00719300
91392,20180706,WYND,0.01519300,0.00800000,0.00719300,0.01164053,0.00362780,-0.03524400,0.00730600
91392,20180709,WYND,0.01630600,0.00900000,0.00730600,0.01457124,0.01619890,-0.03326536,-0.00014300
91392,20180710,WYND,0.00285700,0.00300000,-0.00014300,0.00354576,0.00778361,-0.02845935,-0.00351900
91392,20180711,WYND,-0.01051900,-0.00700000,-0.00351900,-0.01681052,-0.00259686,-0.03397644,-0.01320800
91392,20180712,WYND,-0.00420800,0.00900000,-0.01320800,-0.01499190,-0.00807615,-0.01321102,0.00166900
91392,20180713,WYND,0.00266900,0.00100000,0.00166900,0.00163276,-0.00208394,0.00150388,0.01320100
91392,20180716,WYND,0.01220100,-0.00100000,0.01320100,0.02402621,0.00698727,0.02356444,0.00893000
91392,20180717,WYND,0.01293000,0.00400000,0.00893000,0.03514937,0.02347779,0.03208020,0.01249600
