PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
89509,20021001,XEC,,0.04000000,,,,,-0.04036200
89509,20021002,XEC,-0.06436200,-0.02400000,-0.04036200,,,,0.03647800
89509,20021003,XEC,0.02547800,-0.01100000,0.03647800,-0.00958185,,,-0.00408700
89509,20021004,XEC,-0.02608700,-0.02200000,-0.00408700,0.00655016,,,-0.02436700
89509,20021007,XEC,-0.04336700,-0.01900000,-0.02436700,-0.10367812,-0.10512403,,-0.08100000
89509,20021008,XEC,-0.06400000,0.01700000,-0.08100000,-0.07788223,-0.04721991,,0.02415100
89509,20021009,XEC,-0.00284900,-0.02700000,0.02415100,-0.12484190,-0.14472368,,-0.07142900
89509,20021010,XEC,-0.03642900,0.03500000,-0.07142900,-0.07766971,-0.17655275,,-0.03084600
89509,20021011,XEC,0.00815400,0.03900000,-0.03084600,-0.07075007,-0.12690020,,0.03491200
89509,20021014,XEC,0.04191200,0.00700000,0.03491200,0.01278056,-0.03836172,-0.14806801,0.00804600
89509,20021015,XEC,0.05504600,0.04700000,0.00804600,0.01141603,-0.09586393,-0.13773631,-0.02951200
89509,20021016,XEC,-0.05351200,-0.02400000,-0.02951200,-0.02882780,-0.02596281,-0.17989039,-0.00503900
89509,20021017,XEC,0.01696100,0.02200000,-0.00503900,-0.01616658,0.02731997,-0.16309227,0.01971200
89509,20021018,XEC,0.02571200,0.00600000,0.01971200,-0.00179394,-0.02613707,-0.16028112,-0.01632200
89509,20021021,XEC,0.00067800,0.01700000,-0.01632200,0.03749255,0.00074369,-0.03792620,0.03334300
89509,20021022,XEC,0.02234300,-0.01100000,0.03334300,0.02644268,0.04275220,-0.05661740,0.00889400
89509,20021023,XEC,0.01589400,0.00700000,0.00889400,0.06708619,0.07210029,0.05085303,0.02412600
89509,20021024,XEC,0.00912600,-0.01500000,0.02412600,0.00912306,0.02670720,0.05670457,-0.02410600
89509,20021025,XEC,-0.00710600,0.01700000,-0.02410600,0.00692056,0.04958937,0.02582179,0.00669900
89509,20021028,XEC,-0.00130100,-0.00800000,0.00669900,-0.00882745,0.02421329,0.02519374,0.00834900
89509,20021029,XEC,-0.00065100,-0.00900000,0.00834900,0.04808723,0.04838987,0.09498229,0.03302500
89509,20021030,XEC,0.04302500,0.01000000,0.03302500,0.04092677,0.02340934,0.09755128,-0.00025000
89509,20021031,XEC,-0.00625000,-0.00600000,-0.00025000,0.02201773,0.03726626,0.06561305,-0.01071100
89509,20021101,XEC,0.00628900,0.01700000,-0.01071100,-0.02836048,0.01266126,0.06373527,-0.01737500
89509,20021104,XEC,-0.00937500,0.00800000,-0.01737500,-0.05157641,-0.01980753,0.00499672,-0.02314200
89509,20021105,XEC,-0.01514200,0.00800000,-0.02314200,-0.05333392,-0.06450694,-0.01713200,-0.01284400
89509,20021106,XEC,-0.00384400,0.00900000,-0.01284400,-0.01134545,-0.03941193,-0.01663520,0.02428600
89509,20021107,XEC,0.00128600,-0.02300000,0.02428600,-0.00959237,-0.04886433,-0.01387624,-0.02118600
89509,20021108,XEC,-0.03018600,-0.00900000,-0.02118600,0.02640181,-0.00822121,0.00371716,0.02431100
89509,20021111,XEC,0.00331100,-0.02100000,0.02431100,-0.00685200,0.00455294,-0.01446251,-0.00998000
89509,20021112,XEC,-0.00198000,0.00800000,-0.00998000,-0.01994506,-0.01655124,-0.07771937,-0.03439200
89509,20021113,XEC,-0.03439200,-0.00000000,-0.03439200,-0.06356372,-0.05891881,-0.09720241,-0.01883600
89509,20021114,XEC,0.00616400,0.02500000,-0.01883600,-0.06554280,-0.05068568,-0.09755757,-0.01212700
89509,20021115,XEC,-0.00612700,0.00600000,-0.01212700,-0.01399030,-0.05870955,-0.06457634,0.01684900
89509,20021118,XEC,0.00684900,-0.01000000,0.01684900,0.01553147,-0.03792040,-0.03210085,0.01080300
89509,20021119,XEC,0.00680300,-0.00400000,0.01080300,0.04180010,0.01050050,-0.00728932,0.01343200
89509,20021120,XEC,0.03243200,0.01900000,0.01343200,-0.00630535,-0.00139783,-0.06212484,-0.03016200
89509,20021121,XEC,-0.00916200,0.02100000,-0.03016200,-0.00889972,0.01966811,-0.03282437,0.00828400
89509,20021122,XEC,0.00528400,-0.00300000,0.00828400,-0.00332042,0.02159510,-0.03988285,0.01868200
89509,20021125,XEC,0.02168200,0.00300000,0.01868200,0.03818216,0.02199915,-0.01708998,0.01135400
89509,20021126,XEC,-0.00964600,-0.02100000,0.01135400,0.00436669,-0.01772013,-0.00775577,-0.02605200
89509,20021127,XEC,0.00194800,0.02800000,-0.02605200,-0.03104546,-0.00470474,-0.00625142,-0.01709100
89509,20021129,XEC,-0.02009100,-0.00300000,-0.01709100,0.00505587,0.03568902,0.05695902,0.04895800
89509,20021202,XEC,0.04695800,-0.00200000,0.04895800,0.04519424,0.03099816,0.05409123,0.01436800
89509,20021203,XEC,-0.00063200,-0.01500000,0.01436800,0.09002487,0.04614839,0.07011744,0.02575600
89509,20021204,XEC,0.02275600,-0.00300000,0.02575600,0.07016845,0.10198552,0.08587947,0.02992300
89509,20021205,XEC,0.01792300,-0.01200000,0.02992300,0.06657527,0.13235093,0.12759306,0.00978600
89509,20021206,XEC,0.01578600,0.00600000,0.00978600,0.06934716,0.10982568,0.14829643,0.02917300
89509,20021209,XEC,0.00717300,-0.02200000,0.02917300,0.03575181,0.09313946,0.12521898,-0.00391100
89509,20021210,XEC,0.01008900,0.01400000,-0.00391100,0.01150052,0.05166230,0.09981154,-0.01392600
89509,20021211,XEC,-0.01292600,0.00100000,-0.01392600,0.02287415,0.06303555,0.16872360,0.04090500
89509,20021212,XEC,0.03690500,-0.00400000,0.04090500,0.04416682,0.07016535,0.20679256,0.01759200
89509,20021213,XEC,0.00459200,-0.01300000,0.01759200,0.02192642,0.00376040,0.11621809,-0.03657100
89509,20021216,XEC,-0.01257100,0.02400000,-0.03657100,-0.03474993,-0.00899165,0.08342765,-0.01630600
89509,20021217,XEC,-0.02430600,-0.00800000,-0.01630600,-0.04831689,0.00843694,0.05967913,0.00351000
89509,20021218,XEC,-0.00949000,-0.01300000,0.00351000,0.00673755,-0.01150345,0.04971200,0.01997600
89509,20021219,XEC,0.01197600,-0.00800000,0.01997600,-0.01021912,-0.06179703,0.00605113,-0.03371000
89509,20021220,XEC,-0.02071000,0.01300000,-0.03371000,0.01105798,-0.00207000,0.00158443,0.02519000
89509,20021223,XEC,0.02719000,0.00200000,0.02519000,-0.00521694,0.01827059,0.00920746,0.00382400
89509,20021224,XEC,-0.00117600,-0.00500000,0.00382400,0.03198301,0.01790101,0.02622182,0.00300000
89509,20021226,XEC,0.00000000,-0.00300000,0.00300000,0.02032801,0.01155649,-0.00018622,0.01364400
89509,20021227,XEC,-0.00235600,-0.01600000,0.01364400,0.04702631,0.07683292,0.01191639,0.03041900
