PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
11600,20010102,XRAY,-0.00319500,-0.02800000,0.02480500,,,,-0.10128200
11600,20010103,XRAY,-0.05128200,0.05000000,-0.10128200,-0.12438922,,,-0.05318900
11600,20010104,XRAY,-0.06418900,-0.01100000,-0.05318900,-0.11401438,,,0.03683000
11600,20010105,XRAY,0.01083000,-0.02600000,0.03683000,0.01330249,-0.05943842,,0.03235700
11600,20010108,XRAY,0.03035700,-0.00200000,0.03235700,0.03488948,-0.11602952,,-0.03346300
11600,20010109,XRAY,-0.02946300,0.00400000,-0.03346300,-0.02451227,-0.04073571,,-0.02250000
11600,20010110,XRAY,-0.01250000,0.01000000,-0.02250000,-0.08657244,-0.01902310,,-0.03170000
11600,20010111,XRAY,-0.02170000,0.01000000,-0.03170000,-0.04612288,-0.04814309,,0.00784800
11600,20010112,XRAY,0.00184800,-0.00600000,0.00784800,-0.02352625,-0.07873665,-0.13344700,0.00045800
11600,20010116,XRAY,0.00645800,0.00600000,0.00045800,0.01836916,-0.03638894,-0.15125090,0.00991600
11600,20010117,XRAY,0.01191600,0.00200000,0.00991600,0.01477705,-0.00987631,-0.05102668,0.00411600
11600,20010118,XRAY,0.01811600,0.01400000,0.00411600,0.02928295,0.03798037,0.01783911,0.01467600
11600,20010119,XRAY,0.01067600,-0.00400000,0.01467600,0.04440376,0.05576589,0.00496198,0.02464800
11600,20010122,XRAY,0.02464800,0.00000000,0.02464800,0.00884567,0.02346035,-0.05853489,-0.03018200
11600,20010123,XRAY,-0.01718200,0.01300000,-0.03018200,-0.02264096,-0.00395044,-0.04123424,-0.01654900
11600,20010124,XRAY,-0.01354900,0.00300000,-0.01654900,-0.04016859,-0.00157712,-0.01154740,0.00632900
11600,20010125,XRAY,0.00132900,-0.00500000,0.00632900,0.02455272,0.01879197,0.05804964,0.03518600
11600,20010126,XRAY,0.03318600,-0.00200000,0.03518600,0.02086315,-0.02630852,0.02840798,-0.02027600
11600,20010129,XRAY,-0.01327600,0.00700000,-0.02027600,0.00877589,-0.00167746,0.02193557,-0.00569800
11600,20010130,XRAY,0.00130200,0.00700000,-0.00569800,-0.06064114,-0.02085694,-0.02527386,-0.03517900
11600,20010131,XRAY,-0.04117900,-0.00600000,-0.03517900,-0.01637991,-0.00212905,-0.00373485,0.02574100
11600,20010201,XRAY,0.03074100,0.00500000,0.02574100,0.00587474,-0.01976686,-0.00160224,0.01656100
11600,20010202,XRAY,-0.00043900,-0.01700000,0.01656100,0.05153233,0.00891857,-0.01729291,0.00872500
11600,20010205,XRAY,0.01272500,0.00400000,0.00872500,0.01854993,0.00781946,0.00623387,-0.00666600
11600,20010206,XRAY,-0.00866600,-0.00200000,-0.00666600,0.02576881,0.06866757,0.04681772,0.02373400
11600,20010207,XRAY,0.01573400,-0.00800000,0.02373400,0.02458865,0.04983545,0.04820870,0.00772100
11600,20010208,XRAY,0.00172100,-0.00600000,0.00772100,0.04949778,0.05159762,0.03108412,0.01815500
11600,20010209,XRAY,0.00515500,-0.01300000,0.01815500,0.03985146,0.05692238,0.06578756,0.01364100
11600,20010212,XRAY,0.02564100,0.01200000,0.01364100,0.04794697,0.07990032,0.08687432,0.01566700
11600,20010213,XRAY,0.00666700,-0.00900000,0.01566700,0.04184932,0.06796717,0.13883639,0.01193400
11600,20010214,XRAY,0.00993400,-0.00200000,0.01193400,0.03307065,0.06607913,0.11709522,0.00511500
11600,20010215,XRAY,0.01311500,0.00800000,0.00511500,0.01975287,0.04959293,0.10198773,0.00281900
11600,20010216,XRAY,-0.01618100,-0.01900000,0.00281900,0.03124173,0.05863848,0.11569890,0.02357900
11600,20010220,XRAY,0.00657900,-0.01700000,0.02357900,0.04105446,0.05827279,0.13757089,0.01573200
11600,20010221,XRAY,-0.00326800,-0.01900000,0.01573200,0.01951408,0.02702783,0.09305868,-0.01931100
11600,20010222,XRAY,-0.02131100,-0.00200000,-0.01931100,0.00722870,0.03243023,0.09644784,0.01102500
11600,20010223,XRAY,0.00502500,-0.00600000,0.01102500,-0.01707289,0.02218338,0.07130366,-0.00866700
11600,20010226,XRAY,0.00833300,0.01700000,-0.00866700,-0.00616142,-0.00956775,0.04781155,-0.00852900
11600,20010227,XRAY,-0.01652900,-0.00800000,-0.00852900,0.00859331,0.00009157,0.05759571,0.02576500
11600,20010228,XRAY,0.01176500,-0.01400000,0.02576500,0.01429861,0.01693978,0.04332986,-0.00266100
11600,20010301,XRAY,-0.00166100,0.00100000,-0.00266100,0.04414628,0.02690629,0.05822079,0.02097500
11600,20010302,XRAY,0.01497500,-0.00600000,0.02097500,0.01730834,0.03416837,0.05571852,-0.00108200
11600,20010305,XRAY,0.00491800,0.00600000,-0.00108200,0.02996971,0.05360049,0.04257426,0.00957600
11600,20010306,XRAY,0.01957600,0.01000000,0.00957600,-0.02543507,-0.00707271,-0.00688683,-0.03320000
11600,20010307,XRAY,-0.02720000,0.00600000,-0.03320000,-0.02624862,-0.00640831,0.01079439,-0.00200000
11600,20010308,XRAY,0.00000000,0.00200000,-0.00200000,-0.02601137,-0.01826744,0.00829661,0.00855300
11600,20010309,XRAY,-0.01644700,-0.02500000,0.00855300,0.05025636,0.02720541,0.06002362,0.04467200
11600,20010312,XRAY,0.00167200,-0.04300000,0.04467200,0.03977071,0.00534068,0.05678016,-0.01333100
11600,20010313,XRAY,0.00166900,0.01500000,-0.01333100,0.04219397,0.04774710,0.04168574,0.01100000
11600,20010314,XRAY,-0.01500000,-0.02600000,0.01100000,-0.01958343,0.03254444,0.02697669,-0.01784400
11600,20010315,XRAY,-0.01184400,0.00600000,-0.01784400,0.00308651,0.03381405,0.01611008,0.00972600
11600,20010316,XRAY,-0.01027400,-0.02000000,0.00972600,-0.01546956,-0.01723601,0.01015069,-0.00761900
11600,20010319,XRAY,0.01038100,0.01800000,-0.00761900,0.02801563,0.02092947,0.02518768,0.02571200
11600,20010320,XRAY,0.00171200,-0.02400000,0.02571200,-0.01028605,-0.01774462,0.02867981,-0.02815400
11600,20010321,XRAY,-0.04615400,-0.01800000,-0.02815400,-0.02309229,-0.02083915,0.01097699,-0.02109000
11600,20010322,XRAY,-0.02509000,-0.00400000,-0.02109000,-0.03695044,-0.01889912,0.01525002,0.01308800
11600,20010323,XRAY,0.03308800,0.02000000,0.01308800,-0.02888810,-0.03063506,-0.04683505,-0.01989700
11600,20010326,XRAY,-0.00889700,0.01100000,-0.01989700,-0.02862048,-0.07756726,-0.05396964,-0.02061400
11600,20010327,XRAY,0.00538600,0.02600000,-0.02061400,-0.03552324,-0.04463847,-0.06039646,0.00435700
11600,20010328,XRAY,-0.01964300,-0.02400000,0.00435700,0.04687651,0.04069985,0.01650045,0.06344800
11600,20010329,XRAY,0.05844800,-0.00500000,0.06344800,0.06301117,0.02268521,0.00281018,-0.00410300
11600,20010330,XRAY,0.00689700,0.01100000,-0.00410300,0.06822418,0.05160186,0.01872682,0.00857500
11600,20010402,XRAY,-0.00342500,-0.01200000,0.00857500,0.02819730,0.09346095,0.01678317,0.02369100
11600,20010403,XRAY,-0.01030900,-0.03400000,0.02369100,0.05016753,0.11037118,0.06586287,0.01862500
11600,20010404,XRAY,0.01562500,-0.00300000,0.01862500,0.02716736,0.03186647,0.07491549,-0.01665000
11600,20010405,XRAY,0.02735000,0.04400000,-0.01665000,-0.00182149,0.03073627,0.05408444,-0.00412600
11600,20010406,XRAY,-0.02412600,-0.02000000,-0.00412600,-0.01332253,0.02997820,0.08263613,0.00737900
11600,20010409,XRAY,0.01537900,0.00800000,0.00737900,-0.01617539,-0.01430638,0.08394947,-0.01947700
11600,20010410,XRAY,0.00752300,0.02700000,-0.01947700,-0.03631724,-0.05764764,0.05512281,-0.02360000
11600,20010411,XRAY,-0.02560000,-0.00200000,-0.02360000,-0.04945481,-0.04583934,-0.01475082,-0.00569500
11600,20010412,XRAY,0.00930500,0.01500000,-0.00569500,-0.01926434,-0.03202729,-0.00002971,0.01032100
11600,20010416,XRAY,0.00732100,-0.00300000,0.01032100,0.00228245,-0.04192885,-0.01149857,-0.00246300
11600,20010417,XRAY,0.00753700,0.01000000,-0.00246300,-0.04325894,-0.07341125,-0.09163210,-0.05075500
11600,20010418,XRAY,-0.01175500,0.03900000,-0.05075500,-0.06356997,-0.05959334,-0.12157056,-0.00921500
11600,20010419,XRAY,0.00378500,0.01300000,-0.00921500,-0.05452189,-0.04704993,-0.09434032,0.00549900
11600,20010420,XRAY,-0.00350100,-0.00900000,0.00549900,0.03793920,-0.01532072,-0.04876061,0.04148600
11600,20010423,XRAY,0.02648600,-0.01500000,0.04148600,0.06870498,0.00978611,-0.03271899,0.02200500
11600,20010424,XRAY,0.01000500,-0.01200000,0.02200500,0.07611366,0.07256266,-0.00129145,0.01111200
11600,20010425,XRAY,0.02711200,0.01600000,0.01111200,0.02013552,0.06776650,0.01017612,-0.01312200
11600,20010426,XRAY,-0.00812200,0.00500000,-0.01312200,-0.01319484,0.05221013,0.00492548,-0.01065000
11600,20010427,XRAY,0.00435000,0.01500000,-0.01065000,-0.02259837,0.01070833,-0.00469316,0.00121700
11600,20010430,XRAY,-0.00178300,-0.00300000,0.00121700,-0.00667512,-0.00917101,0.00085455,0.00284500
11600,20010501,XRAY,0.01684500,0.01400000,0.00284500,0.00688448,-0.01730997,0.05646753,0.00276500
11600,20010502,XRAY,0.00376500,0.00100000,0.00276500,0.03670901,0.02740915,0.09741080,0.03050400
