PERMNO,date,TICKER,C2C,indexC2C,C2CindexAdj,C2CindexAdjFwd3Days,C2CindexAdjFwd5Days,C2CindexAdjFwd10Days,C2CindexAdjFwd1Day
27983,20010102,XRX,0.10810800,-0.02800000,0.13610800,,,,-0.02561000
27983,20010103,XRX,0.02439000,0.05000000,-0.02561000,0.31495089,,,0.17766699
27983,20010104,XRX,0.16666700,-0.01100000,0.17766699,0.14708665,,,-0.00461200
27983,20010105,XRX,-0.03061200,-0.02600000,-0.00461200,0.25292665,0.39721497,,0.07568400
27983,20010108,XRX,0.07368400,-0.00200000,0.07568400,-0.01675607,0.13287695,,-0.08243100
27983,20010109,XRX,-0.07843100,0.00400000,-0.08243100,0.18798842,0.38228705,,0.20276600
27983,20010110,XRX,0.21276601,0.01000000,0.20276600,0.04444721,0.11668850,,-0.05386000
27983,20010111,XRX,-0.04386000,0.01000000,-0.05386000,0.31580738,0.29979004,,0.15278900
27983,20010112,XRX,0.14678900,-0.00600000,0.15278900,0.02512360,0.13271929,0.58974254,-0.06200000
27983,20010116,XRX,-0.05600000,0.00600000,-0.06200000,0.13565025,0.29704457,0.47632864,0.04884700
27983,20010117,XRX,0.05084700,0.00200000,0.04884700,-0.07012504,0.01770692,0.41631523,-0.05432300
27983,20010118,XRX,-0.04032300,0.01400000,-0.05432300,0.01345919,0.09816350,0.22726217,0.02080700
27983,20010119,XRX,0.01680700,-0.00400000,0.02080700,-0.09865420,-0.11403655,0.15514891,-0.06611600
27983,20010122,XRX,-0.06611600,0.00000000,-0.06611600,-0.01735124,-0.02512017,0.10699255,0.03124800
27983,20010123,XRX,0.04424800,0.01300000,0.03124800,-0.01603887,-0.05033618,0.23840921,0.02242400
27983,20010124,XRX,0.02542400,0.00300000,0.02242400,0.05098904,0.00148923,0.01938391,-0.00326400
27983,20010125,XRX,-0.00826400,-0.00500000,-0.00326400,-0.06378469,-0.09984516,-0.01179643,-0.08133300
27983,20010126,XRX,-0.08333300,-0.00200000,-0.08133300,0.04995706,0.10824966,-0.01800347,0.14790900
27983,20010129,XRX,0.15490900,0.00700000,0.14790900,0.05731327,0.07747757,0.05210661,0.00307600
27983,20010130,XRX,0.01007600,0.00700000,0.00307600,0.18039916,0.07941260,0.02710888,0.02470300
27983,20010131,XRX,0.01870300,-0.00600000,0.02470300,0.05575056,0.11302234,0.11547778,0.02682400
27983,20010201,XRX,0.03182400,0.00500000,0.02682400,0.04793777,0.20567175,0.08755035,-0.00316600
27983,20010202,XRX,-0.02016600,-0.01700000,-0.00316600,-0.02246580,0.00466511,0.11271682,-0.04516200
27983,20010205,XRX,-0.04116200,0.00400000,-0.04516200,-0.10832652,-0.06249671,0.00827093,-0.06491900
27983,20010206,XRX,-0.06691900,-0.00200000,-0.06491900,-0.15741419,-0.13618619,-0.06914595,-0.05695300
27983,20010207,XRX,-0.06495300,-0.00800000,-0.05695300,-0.09771239,-0.13847556,-0.04587755,0.02191900
27983,20010208,XRX,0.01591900,-0.00600000,0.02191900,-0.03277005,-0.13376395,0.03985313,0.00302800
27983,20010209,XRX,-0.00997200,-0.01300000,0.00302800,-0.01600623,-0.13066608,-0.12575153,-0.04077700
27983,20010212,XRX,-0.02877700,0.01200000,-0.04077700,-0.01122211,-0.04640981,-0.10376371,0.02677800
27983,20010213,XRX,0.01777800,-0.00900000,0.02677800,0.07105643,0.09619986,-0.05236399,0.08642500
27983,20010214,XRX,0.08442500,-0.00200000,0.08642500,0.07566254,0.03556096,-0.10827783,-0.03618800
27983,20010215,XRX,-0.02818800,0.00800000,-0.03618800,0.05388633,0.03905265,-0.09953038,0.00656900
27983,20010216,XRX,-0.01243100,-0.01900000,0.00656900,-0.03780914,0.06974891,-0.06617244,-0.00957300
27983,20010220,XRX,-0.02657300,-0.01700000,-0.00957300,-0.01367968,0.03087163,-0.01546712,-0.01117200
27983,20010221,XRX,-0.03017200,-0.01900000,-0.01117200,-0.04631001,-0.07246685,0.01341979,-0.02763000
27983,20010222,XRX,-0.02963000,-0.00200000,-0.02763000,-0.08810632,-0.08761519,-0.05698895,-0.05354200
27983,20010223,XRX,-0.05954200,-0.00600000,-0.05354200,-0.10072831,-0.11553935,-0.08087058,-0.02187000
27983,20010226,XRX,-0.00487000,0.01700000,-0.02187000,-0.06845924,-0.10247914,-0.03718865,0.00636900
27983,20010227,XRX,-0.00163100,-0.00800000,0.00636900,-0.00614284,-0.08460796,-0.05266622,0.00905800
27983,20010228,XRX,-0.00494200,-0.01400000,0.00905800,-0.03499806,-0.10620526,-0.16509993,-0.05066900
27983,20010301,XRX,-0.04966900,0.00100000,-0.05066900,0.12272487,0.10686178,0.00420308,0.17324699
27983,20010302,XRX,0.16724700,-0.00600000,0.17324699,0.11824048,0.13280207,0.00073758,0.00295500
27983,20010305,XRX,0.00895500,0.00600000,0.00295500,0.19386807,0.14156470,0.02232610,0.01218900
27983,20010306,XRX,0.02218900,0.01000000,0.01218900,0.07038002,0.19487945,0.08976786,0.05333400
27983,20010307,XRX,0.05933400,0.00600000,0.05333400,0.02184864,0.20668245,0.07449246,-0.04161700
27983,20010308,XRX,-0.03961700,0.00200000,-0.04161700,-0.01320255,0.00140366,0.10825100,-0.02194200
