PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
25778,2001/01/02,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,18.312,19.750,18.375,2308300.000,-0.057692,,,592863.000,1.000,1.000,19.562,,-0.057692,-0.034,-0.034,-0.001,-0.001,-0.028
25778,2001/01/03,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,19.000,21.625,21.312,4594400.000,0.159864,,,592863.000,1.000,1.000,19.000,,0.159864,0.053,0.053,0.046,0.046,0.050
25778,2001/01/04,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,24.875,26.750,25.875,8132000.000,0.214076,,,592863.000,1.000,1.000,25.625,,0.214076,-0.012,-0.012,0.011,0.011,-0.011
25778,2001/01/05,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,23.000,25.875,23.438,4303900.000,-0.094203,,,592863.000,1.000,1.000,25.875,,-0.094203,-0.029,-0.029,-0.009,-0.009,-0.026
25778,2001/01/08,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,23.188,24.750,24.562,2551100.000,0.048000,,,592863.000,1.000,1.000,23.875,,0.048000,-0.003,-0.004,-0.005,-0.005,-0.002
25778,2001/01/09,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,24.688,26.938,26.500,3942100.000,0.078880,25.500,27.125,592863.000,1.000,1.000,24.938,,0.078880,0.005,0.005,0.012,0.012,0.004
25778,2001/01/10,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,25.812,28.250,27.688,3841800.000,0.044811,,,592863.000,1.000,1.000,26.500,,0.044811,0.014,0.014,0.021,0.020,0.010
25778,2001/01/11,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,27.312,29.000,28.625,3389000.000,0.033860,27.625,29.625,592863.000,1.000,1.000,27.812,,0.033860,0.015,0.015,0.027,0.027,0.010
25778,2001/01/12,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,27.000,29.250,27.750,3164800.000,-0.030568,,,592863.000,1.000,1.000,28.438,,-0.030568,-0.004,-0.004,0.019,0.019,-0.006
25778,2001/01/16,,11,1,7372,20491210,CA,COMPUTER ASSOCIATES INTL INC,,,,N,A,R,5220,24435,3,7372,12673P10,,,,,,,,,,,,,,,,,,,,,,,,,26.625,27.938,27.500,2769900.000,-0.009009,,,592863.000,1.000,1.000,27.750,,-0.009009,0.006,0.006,0.019,0.019,0.006
