date,ticker,gicsSector
20010109,ADCT,45
20010109,AAMRQ,20
20010109,AAR,20
20010109,PNW,55
20010109,ABT,35
20010109,AMD,45
20010109,WCOEQ,50
20010109,AET,35
20010109,APD,15
20010109,ALK,20
20010109,ACV.1,30
20010109,ACV.A,30
20010109,ABS.1,30
20010109,AL.1,15
20010109,AL.Z,15
20010109,AYE,55
20010109,HON,20
20010109,AT.2,50
20010109,AT.P,50
20010109,SWKS,45
20010109,AA.3,15
20010109,AA.P,15
20010109,AZA.1,35
20010109,HES,10
20010109,BEAM,30
20010109,BEAM.PA,30
20010109,AEP,55
20010109,AXP,40
20010109,AFL,40
20010109,AGC.1,40
20010109,AM.1,25
20010109,WYE,35
20010109,WYE.P,35
20010109,AIG,40
20010109,TT.2,20
20010109,T.2,50
20010109,AME,20
20010109,AMGN,35
20010109,ASO.1,40
20010109,ADI,45
20010109,ANDW,45
20010109,NBR,10
20010109,BUD.2,30
20010109,APA,10
20010109,AAPL,45
20010109,AMAT,45
20010109,ADM,30
20010109,ASH,15
20010109,GAS,55
20010109,ADSK,45
20010109,ADP,45
20010109,AVY,15
20010109,AVP,30
20010109,BHI,10
20010109,BLL,15
20010109,CEG,55
20010109,ONE.1,40
20010109,BK,40
20010109,BCR,35
20010109,GOLD,15
20010109,ABX.,15
20010109,BOL,35
20010109,BAX,35
20010109,BDX,35
20010109,VZ,50
20010109,BLS,50
20010109,BMS,15
20010109,BRK.A,40
20010109,BRK.B,40
20010109,BBY,25
20010109,BGEN,35
20010109,BMET,35
20010109,BDK,25
20010109,HRB,25
20010109,ESV,10
20010109,BA,20
20010109,OMX,25
20010109,RHI,20
20010109,BGG,20
20010109,BMY,35
20010109,BMYMP,35
20010109,BF.B,30
20010109,BF.A,30
20010109,BC,25
20010109,BNI,20
20010109,UIS,45
20010109,CI,35
20010109,CIT.1,40
20010109,CSX,20
20010109,CPB,30
20010109,STZ.B,30
20010109,STZ,30
20010109,PVN,40
20010109,CAH,35
20010109,PGN.1,55
20010109,CAT,20
20010109,CTX.2,25
20010109,CBSS,40
20010109,CTL,50
20010109,JPM,40
20010109,JPM.PF.,40
20010109,CVX,10
20010109,CHIR.1,35
20010109,CB.1,40
20010109,CHD,30
20010109,CCTYQ,25
20010109,CTAS,20
20010109,CCU.1,50
20010109,CLF,15
20010109,CLX,30
20010109,CGP.1,10
20010109,KO,30
20010109,CL,30
20010109,AON,40
20010109,CMCSA,50
20010109,CMCSK,50
20010109,CCZ,50
20010109,CMA,40
20010109,C,40
20010109,C.PF.,40
20010109,CPM.1,40
20010109,C.PH.1,40
20010109,C.PG.,40
20010109,CAR,20
20010109,CPQ.2,45
20010109,CA,45
20010109,DXC,45
20010109,CAG,30
20010109,CE.2,45
20010109,ED,55
20010109,CMS,55
20010109,CEN.2,45
20010109,CBE,20
20010109,CTB,25
20010109,COO,35
20010109,TAP,30
20010109,GLW,45
20010109,CFC.3,40
20010109,CR,20
20010109,CMI,20
20010109,DCNAQ,25
20010109,DHR,35
20010109,TGT,25
20010109,DE,20
20010109,DALRQ,20
20010109,DLX,20
20010109,DTE,55
20010109,ATGE,25
20010109,DDS,25
20010109,DIS,50
20010109,DG.1,25
20010109,D,55
20010109,RRD,20
20010109,DOV,20
20010109,DWDP,15
20010109,DJ,25
20010109,DOWJB,25
20010109,OMC,50
20010109,DD,15
20010109,DD.PA,15
20010109,DD.PB,15
20010109,DUK,55
20010109,DUK.PA,55
20010109,DNB,20
20010109,FLS,20
20010109,PKI,35
20010109,EKDKQ,45
20010109,ETN,20
20010109,ECL,15
20010109,EP,10
20010109,EMR,20
20010109,WFT,10
20010109,EC.2,15
20010109,EFX,20
20010109,EQT,10
20010109,EXPD,20
20010109,XOM,10
20010109,FMC,15
20010109,NEE,55
20010109,FDO,25
20010109,FDX,20
20010109,FNMA,40
20010109,FNMAP,40
20010109,FNMAO,40
20010109,FRT,60
20010109,M,25
20010109,FITB,40
20010109,RF,40
20010109,USB.1,40
20010109,MTB,40
20010109,USB,40
20010109,FHN,40
20010109,WB.3,40
20010109,FBF,40
20010109,FLR,20
20010109,F,25
20010109,FRX,35
20010109,BEN,40
20010109,AJG,40
20010109,TGNA,50
20010109,GPS,25
20010109,H.2,25
20010109,GD,20
20010109,GE,20
20010109,GIS,30
20010109,MTLQQ,25
20010109,GM.1,25
20010109,EDS.,45
20010109,GPU.,55
20010109,GPC,25
20010109,GP.1,15
20010109,G.1,30
20010109,GDW,40
20010109,GR,20
20010109,GT,25
20010109,GWW,20
20010109,GLK.1,15
20010109,HAL,10
20010109,HRS,20
20010109,HAS,25
20010109,WELL,60
20010109,HNZ,30
20010109,HNZPP,30
20010109,HP,10
20010109,HPC,15
20010109,HSY,30
20010109,HPQ,45
20010109,HLT.1,25
20010109,HFC,10
20010109,HD,25
20010109,HM,15
20010109,HRL,30
20010109,HOT,25
20010109,HI.2,40
20010109,CNP,55
20010109,JBHT,20
20010109,HBAN,40
20010109,ITT,20
20010109,ITW,20
20010109,IMNX,35
20010109,INCLF,15
20010109,N.1,15
20010109,IR,20
20010109,INTC,45
20010109,IBM,45
20010109,IFF,15
20010109,NAV,20
20010109,NAV.PD,20
20010109,IGT.1,25
20010109,IP,15
20010109,ENRNQ,55
20010109,IPG,50
20010109,JEC,20
20010109,JP.1,40
20010109,JNJ,35
20010109,JCI,20
20010109,KLAC,45
20010109,KMRTQ,25
20010109,KMI.1,10
20010109,KSU,20
20010109,KSU.P,20
20010109,EVRG,55
20010109,K,30
20010109,KMG.1,10
20010109,KMB,30
20010109,KRI,25
20010109,KR,30
20010109,LSI.1,45
20010109,LRCX,45
20010109,LEG,25
20010109,LM,40
20010109,LEN,25
20010109,JEF,40
20010109,LLY,35
20010109,LB,25
20010109,LNC,40
20010109,LNC.P,40
20010109,KATE,25
20010109,LMT,20
20010109,L,40
20010109,RRC,10
20010109,KSE,55
20010109,LDG,30
20010109,LPX,15
20010109,LOW,25
20010109,MTW,20
20010109,MRO,10
20010109,HST,60
20010109,MMC,40
20010109,MI.1,40
20010109,MAS,20
20010109,MAT,25
20010109,MAY.2,25
20010109,MYG.1,25
20010109,MKC,30
20010109,MDR,10
20010109,MCD,25
20010109,SPGI,40
20010109,MCK,35
20010109,MEA.1,15
20010109,MDT,35
20010109,MEL.3,40
20010109,CVS,35
20010109,MRK,35
20010109,MDP,50
20010109,MDPEB,50
20010109,MER,40
20010109,IEM,40
20010109,MTT..,40
20010109,EFM.1,40
20010109,ESM.4,40
20010109,CSM.2,40
20010109,FML..,40
20010109,EUM.1,40
20010109,GWM,40
20010109,MDJ.,40
20010109,RSM.1,40
20010109,MPF.,40
20010109,NKM.1,40
20010109,ESY.,40
20010109,IHM,40
20010109,MLJ,40
20010109,BHM,40
20010109,MNM.1,40
20010109,BDM.,40
20010109,MU,45
20010109,ETR,55
20010109,MIL.2,35
20010109,MMM,20
20010109,MOLX,45
20010109,MOLXA,45
20010109,PHA.1,35
20010109,MSI,45
20010109,MUR,10
20010109,MYL,35
20010109,BAC,40
20010109,NCR,45
20010109,NCC,40
20010109,THC,35
20010109,NSM.2,45
20010109,NSI.1,20
20010109,NYT,50
20010109,NWL,25
20010109,NEM,15
20010109,NMK,55
20010109,GAS.2,55
20010109,NKE,25
20010109,NBL,10
20010109,JWN,25
20010109,NSC,20
20010109,ES,55
20010109,NI,55
20010109,NI.PB.,55
20010109,NSE.2,55
20010109,XEL,55
20010109,XEL.PA,55
20010109,XEL.PB,55
20010109,XEL.PC,55
20010109,XEL.PD,55
20010109,XEL.PE,55
20010109,XEL.PG,55
20010109,NRTLQ,45
20010109,NT.,45
20010109,NTRS,40
20010109,NOC,20
20010109,TEX,20
20010109,WFC,40
20010109,NUE,15
20010109,OXY,10
20010109,FE,55
20010109,OK.2,40
20010109,OKE,10
20010109,OI,15
20010109,OI.PA,15
20010109,PNC,40
20010109,PNC.PC,40
20010109,PNC.PD,40
20010109,PPG,15
20010109,PCAR,20
20010109,PCG,55
20010109,SRE,55
20010109,PLL.1,20
20010109,PH,20
20010109,PAYX,45
20010109,JCP,25
20010109,PPL,55
20010109,PNR,20
20010109,PGL.1,55
20010109,PEP,30
20010109,ABI.3,35
20010109,PFE,35
20010109,PD,15
20010109,EXC,55
20010109,PE.PA,55
20010109,PE.PB,55
20010109,PE.PC,55
20010109,PE.PD,55
20010109,MO,30
20010109,COP,10
20010109,PVH,25
20010109,PBI,20
20010109,PBOWN,20
20010109,PDG,15
20010109,PDG.2,15
20010109,PCH,60
20010109,POM,55
20010109,PCP,20
20010109,PG,30
20010109,ASN.1,40
20010109,ASN.PA,40
20010109,PEG,55
20010109,PHM,25
