PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
79057,2001/03/30,2002/01/01,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,0.000,63.000,633.000,,,,,,,,,,,,,,,34.260,37.120,36.760,995600.000,0.065816,,,232047.000,1.000,1.000,34.260,,0.065816,0.012,0.012,0.016,0.016,0.011
79057,2001/04/02,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,35.700,36.660,35.870,1247100.000,-0.024211,,,232047.000,1.000,1.000,36.360,,-0.024211,-0.016,-0.016,-0.021,-0.021,-0.012
79057,2001/04/03,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.100,35.620,34.200,952800.000,-0.046557,,,232047.000,1.000,1.000,35.620,,-0.046557,-0.036,-0.036,-0.034,-0.034,-0.034
79057,2001/04/04,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,33.150,34.670,33.500,1158400.000,-0.020468,,,232047.000,1.000,1.000,34.450,,-0.020468,-0.003,-0.003,-0.008,-0.008,-0.003
79057,2001/04/05,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,33.600,34.200,33.900,1486900.000,0.011940,,,232047.000,1.000,1.000,33.600,,0.011940,0.046,0.046,0.039,0.039,0.044
79057,2001/04/06,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,31.800,33.890,31.970,2036800.000,-0.056932,,,232047.000,1.000,1.000,33.890,,-0.056932,-0.020,-0.020,-0.013,-0.013,-0.020
79057,2001/04/09,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,31.590,32.000,31.800,1470700.000,-0.005317,,,232047.000,1.000,1.000,31.970,,-0.005317,0.009,0.009,0.006,0.006,0.008
79057,2001/04/10,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,31.750,33.100,32.890,2704300.000,0.034277,32.790,32.910,232047.000,1.000,1.000,31.900,,0.034277,0.029,0.029,0.023,0.023,0.027
79057,2001/04/11,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,32.150,33.890,32.160,1242600.000,-0.022195,,,232047.000,1.000,1.000,33.890,,-0.022195,-0.001,-0.001,0.007,0.007,-0.002
79057,2001/04/12,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,31.760,32.590,32.030,902900.000,-0.004042,,,232047.000,1.000,1.000,32.410,,-0.004042,0.016,0.016,0.015,0.015,0.015
79057,2001/04/16,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,31.620,32.270,31.720,792100.000,-0.009678,,,232047.000,1.000,1.000,32.150,,-0.009678,-0.005,-0.005,-0.004,-0.004,-0.003
79057,2001/04/17,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,31.800,33.590,33.150,1047500.000,0.045082,,,232047.000,1.000,1.000,31.970,,0.045082,0.010,0.010,0.005,0.005,0.010
79057,2001/04/18,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.100,35.850,35.600,4188700.000,0.073906,,,232047.000,1.000,1.000,34.100,,0.073906,0.040,0.040,0.029,0.029,0.039
79057,2001/04/19,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,35.210,36.850,36.510,2605800.000,0.025562,36.470,36.520,232047.000,1.000,1.000,35.550,,0.025562,0.015,0.015,0.016,0.016,0.013
79057,2001/04/20,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,33.790,36.850,35.250,1573200.000,-0.034511,35.190,35.310,232047.000,1.000,1.000,36.490,,-0.034511,-0.008,-0.008,0.001,0.001,-0.009
79057,2001/04/23,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.910,35.900,35.900,1185200.000,0.018440,,,232047.000,1.000,1.000,35.000,,0.018440,-0.017,-0.017,-0.008,-0.008,-0.015
79057,2001/04/24,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,33.430,35.550,33.900,2476900.000,-0.055710,,,232047.000,1.000,1.000,35.500,,-0.055710,-0.011,-0.011,0.002,0.002,-0.012
79057,2001/04/25,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,32.950,34.250,33.700,2392300.000,-0.005900,,,232047.000,1.000,1.000,33.000,,-0.005900,0.016,0.016,0.012,0.011,0.016
79057,2001/04/26,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,33.750,35.050,34.800,1393400.000,0.032641,,,232047.000,1.000,1.000,33.750,,0.032641,0.005,0.005,0.008,0.007,0.005
79057,2001/04/27,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.900,35.540,35.210,1031800.000,0.011782,,,232047.000,1.000,1.000,35.400,,0.011782,0.014,0.014,0.011,0.011,0.015
79057,2001/04/30,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,0.000,63.000,633.000,,,,,,,,,,,,,,,35.250,36.100,35.700,1849500.000,0.013917,,,231384.000,1.000,1.000,35.250,,0.013917,0.001,0.001,0.010,0.010,-0.003
79057,2001/05/01,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.800,36.900,36.170,2135000.000,0.013165,,,231384.000,1.000,1.000,35.700,,0.013165,0.013,0.013,0.010,0.010,0.014
79057,2001/05/02,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,35.780,37.250,35.790,2536500.000,-0.010506,,,231384.000,1.000,1.000,37.250,,-0.010506,0.003,0.003,0.012,0.012,0.001
79057,2001/05/03,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.800,35.900,34.990,1473400.000,-0.022353,,,231384.000,1.000,1.000,35.900,,-0.022353,-0.015,-0.015,-0.005,-0.006,-0.015
79057,2001/05/04,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.000,35.150,34.890,1494800.000,-0.002858,,,231384.000,1.000,1.000,34.790,,-0.002858,0.014,0.014,0.011,0.011,0.014
79057,2001/05/07,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.000,35.650,34.310,1931000.000,-0.016624,,,231384.000,1.000,1.000,35.650,,-0.016624,-0.003,-0.003,0.001,0.001,-0.002
79057,2001/05/08,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.900,35.700,35.250,1944700.000,0.027397,,,231384.000,1.000,1.000,35.000,,0.027397,-0.001,-0.001,0.005,0.005,-0.002
79057,2001/05/09,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.680,36.250,35.260,1279400.000,0.000284,,,231384.000,1.000,1.000,35.150,,0.000284,-0.004,-0.004,0.001,0.001,-0.004
79057,2001/05/10,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.400,35.390,34.750,842600.000,-0.014464,,,231384.000,1.000,1.000,35.310,,-0.014464,-0.000,-0.001,0.003,0.003,-0.000
79057,2001/05/11,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,34.800,36.000,35.250,838200.000,0.014388,,,231384.000,1.000,1.000,35.000,,0.014388,-0.008,-0.008,-0.002,-0.002,-0.008
79057,2001/05/14,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,35.150,36.200,35.950,850700.000,0.019858,,,231384.000,1.000,1.000,35.150,,0.019858,0.001,0.001,-0.003,-0.003,0.003
79057,2001/05/15,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,35.900,36.850,36.600,878300.000,0.018081,,,231384.000,1.000,1.000,36.020,,0.018081,0.001,0.001,0.004,0.004,0.000
79057,2001/05/16,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,36.500,36.950,36.750,1311900.000,0.004098,,,231384.000,1.000,1.000,36.600,,0.004098,0.027,0.027,0.010,0.010,0.028
79057,2001/05/17,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,36.250,38.150,36.730,1508400.000,-0.000544,,,231384.000,1.000,1.000,37.250,,-0.000544,0.006,0.006,0.011,0.010,0.003
79057,2001/05/18,,12,1,6331,G0070K10,ACE,ACE LTD,,,,N,A,R,29796,0,1,6331,H1467J10,,,,,,,,,63.000,633.000,,,,,,,,,,,,,,,36.850,37.900,37.300,1123600.000,0.015519,,,231384.000,1.000,1.000,37.450,,0.015519,0.003,0.003,0.005,0.005,0.003
