PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
80913,2001/01/02,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,57.875,60.938,57.938,130600.000,-0.045314,,,49826.000,2.000,2.000,60.938,,-0.045314,-0.034,-0.034,-0.001,-0.001,-0.028
80913,2001/01/03,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,57.938,61.000,61.000,807400.000,0.052859,,,49826.000,2.000,2.000,57.938,,0.052859,0.053,0.053,0.046,0.046,0.050
80913,2001/01/04,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,58.750,62.188,58.875,270900.000,-0.034836,,,49826.000,2.000,2.000,60.812,,-0.034836,-0.012,-0.012,0.011,0.011,-0.011
80913,2001/01/05,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,54.250,58.625,55.125,488400.000,-0.063694,,,49826.000,2.000,2.000,58.625,,-0.063694,-0.029,-0.029,-0.009,-0.009,-0.026
80913,2001/01/08,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,54.312,57.250,56.000,328600.000,0.015873,,,49826.000,2.000,2.000,54.312,,0.015873,-0.003,-0.004,-0.005,-0.005,-0.002
80913,2001/01/09,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,55.000,57.188,55.375,253800.000,-0.011161,,,49826.000,2.000,2.000,56.000,,-0.011161,0.005,0.005,0.012,0.012,0.004
80913,2001/01/10,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,55.250,61.000,60.500,465900.000,0.092551,,,49826.000,2.000,2.000,56.250,,0.092551,0.014,0.014,0.021,0.020,0.010
80913,2001/01/11,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,59.750,62.000,61.000,583600.000,0.008264,,,49826.000,2.000,2.000,60.250,,0.008264,0.015,0.015,0.027,0.027,0.010
80913,2001/01/12,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,60.000,61.438,61.438,225400.000,0.007172,,,49826.000,2.000,2.000,61.000,,0.007172,-0.004,-0.004,0.019,0.019,-0.006
80913,2001/01/16,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,59.250,61.438,60.188,166100.000,-0.020346,,,49826.000,2.000,2.000,61.438,,-0.020346,0.006,0.006,0.019,0.019,0.006
80913,2001/01/17,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,55.750,61.125,56.188,554600.000,-0.066459,,,49826.000,2.000,2.000,60.188,,-0.066459,0.004,0.004,0.013,0.013,0.002
80913,2001/01/18,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,53.625,57.500,55.812,660900.000,-0.006674,,,49826.000,2.000,2.000,56.438,,-0.006674,0.012,0.012,0.009,0.008,0.014
80913,2001/01/19,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,56.375,59.812,58.375,696200.000,0.045913,,,49826.000,2.000,2.000,56.688,,0.045913,-0.004,-0.004,0.004,0.004,-0.004
80913,2001/01/22,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,57.750,59.438,58.562,431700.000,0.003212,,,49826.000,2.000,2.000,58.188,,0.003212,0.000,0.000,0.005,0.005,0.000
80913,2001/01/23,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,58.625,60.125,59.938,223700.000,0.023479,,,49826.000,2.000,2.000,58.750,,0.023479,0.016,0.016,0.015,0.015,0.013
80913,2001/01/24,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,59.438,60.688,60.500,186300.000,0.009385,,,49826.000,2.000,2.000,60.000,,0.009385,0.003,0.003,0.007,0.007,0.003
80913,2001/01/25,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,58.312,60.938,60.062,299900.000,-0.007231,,,49826.000,2.000,2.000,60.250,,-0.007231,-0.008,-0.008,-0.003,-0.003,-0.005
80913,2001/01/26,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,59.625,63.125,62.938,746300.000,0.047867,,,49826.000,2.000,2.000,60.188,,0.047867,-0.001,-0.001,0.002,0.002,-0.002
80913,2001/01/29,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,63.500,64.510,63.850,568100.000,0.014498,,,49826.000,2.000,2.000,63.500,,0.014498,0.009,0.009,0.010,0.010,0.007
80913,2001/01/30,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,63.760,65.300,65.020,381700.000,0.018324,,,49826.000,2.000,2.000,63.850,,0.018324,0.007,0.007,0.010,0.009,0.007
80913,2001/01/31,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,0.000,,,,,,,,,,,,,5.000,2.000,4.000,1.000,63.140,65.100,64.000,473300.000,-0.015687,,,49826.000,2.000,2.000,64.820,,-0.015687,-0.007,-0.007,-0.000,-0.000,-0.006
80913,2001/02/01,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,63.900,65.150,65.000,558400.000,0.015625,,,49826.000,2.000,2.000,64.200,,0.015625,0.004,0.004,0.002,0.002,0.005
80913,2001/02/02,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,63.650,65.750,63.800,278100.000,-0.018462,,,49826.000,2.000,2.000,65.060,,-0.018462,-0.019,-0.019,-0.009,-0.009,-0.017
80913,2001/02/05,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,63.000,64.490,64.250,211500.000,0.007053,,,49826.000,2.000,2.000,64.000,,0.007053,0.002,0.002,-0.004,-0.004,0.004
80913,2001/02/06,,11,1,7374,00819010,ACS,AFFILIATED COMPUTER SERVICES INC,A,,,N,A,R,13331,18030,1,7374,00819010,,,,,,,,,,,,,,,,,,,,,,,,,63.900,65.800,65.600,408500.000,0.021012,,,49826.000,2.000,2.000,64.250,,0.021012,0.000,0.000,0.002,0.002,-0.002
