PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
88845,2001/01/02,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,40.062,42.250,40.562,1017000.000,-0.012177,,,141484.000,4.000,4.000,41.562,,-0.012177,-0.034,-0.034,-0.001,-0.001,-0.028
88845,2001/01/03,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,40.250,42.688,41.500,902700.000,0.023112,,,141484.000,4.000,4.000,40.312,,0.023112,0.053,0.053,0.046,0.046,0.050
88845,2001/01/04,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,37.062,42.125,39.125,1383000.000,-0.057229,,,141484.000,4.000,4.000,41.750,,-0.057229,-0.012,-0.012,0.011,0.011,-0.011
88845,2001/01/05,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,36.875,39.312,38.312,1178500.000,-0.020767,,,141484.000,4.000,4.000,38.000,,-0.020767,-0.029,-0.029,-0.009,-0.009,-0.026
88845,2001/01/08,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,37.688,38.750,38.000,627700.000,-0.008157,,,141484.000,4.000,4.000,38.500,,-0.008157,-0.003,-0.004,-0.005,-0.005,-0.002
88845,2001/01/09,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,36.750,38.312,37.688,834400.000,-0.008224,,,141484.000,4.000,4.000,37.125,,-0.008224,0.005,0.005,0.012,0.012,0.004
88845,2001/01/10,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,37.188,38.688,38.000,592900.000,0.008292,,,141484.000,4.000,4.000,37.750,,0.008292,0.014,0.014,0.021,0.020,0.010
88845,2001/01/11,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,35.375,38.250,35.875,910800.000,-0.055921,,,141484.000,4.000,4.000,37.500,,-0.055921,0.015,0.015,0.027,0.027,0.010
88845,2001/01/12,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,35.125,37.375,36.938,654800.000,0.029617,,,141484.000,4.000,4.000,35.125,,0.029617,-0.004,-0.004,0.019,0.019,-0.006
88845,2001/01/16,,11,1,6321,00817Y10,AET,AETNA INC NEW,,,,N,A,R,41072,0,1,6324,00817Y10,,,,,,,,,,,,,,,,,,,,,,,,,36.875,38.812,38.562,597800.000,0.043993,,,141484.000,4.000,4.000,36.938,,0.043993,0.006,0.006,0.019,0.019,0.006
