PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
88860,2001/01/26,2004/06/09,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,25.000,2.000,13.688,18.250,17.312,10167605.000,C,17.125,17.250,45616.000,1.000,1.000,14.750,14400.000,C,-0.001,-0.001,0.002,0.002,-0.002
88860,2001/01/29,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,16.000,19.438,18.062,1888198.000,0.043321,18.000,18.062,45616.000,1.000,1.000,18.625,4255.000,0.043321,0.009,0.009,0.010,0.010,0.007
88860,2001/01/30,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,21.000,2.000,16.250,18.188,16.875,815746.000,-0.065744,16.812,16.875,45616.000,1.000,1.000,18.125,1181.000,-0.065744,0.007,0.007,0.010,0.009,0.007
88860,2001/01/31,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,23.000,2.000,13.438,17.188,13.500,1216476.000,-0.200000,13.500,13.562,45616.000,1.000,1.000,17.125,1354.000,-0.200000,-0.007,-0.007,-0.000,-0.000,-0.006
88860,2001/02/01,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,20.000,2.000,13.000,14.375,14.188,670114.000,0.050926,14.188,14.250,45616.000,1.000,1.000,13.125,560.000,0.050926,0.004,0.004,0.002,0.002,0.005
88860,2001/02/02,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,22.000,2.000,13.750,14.562,14.125,775897.000,-0.004405,14.000,14.125,45616.000,1.000,1.000,14.000,424.000,-0.004405,-0.019,-0.019,-0.009,-0.009,-0.017
88860,2001/02/05,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,21.000,2.000,13.875,14.500,14.125,683384.000,0.000000,14.000,14.125,45616.000,1.000,1.000,14.438,315.000,0.000000,0.002,0.002,-0.004,-0.004,0.004
88860,2001/02/06,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,20.000,2.000,13.875,14.062,14.000,738298.000,-0.008850,13.938,14.000,45616.000,1.000,1.000,14.016,241.000,-0.008850,0.000,0.000,0.002,0.002,-0.002
88860,2001/02/07,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,21.000,2.000,13.000,14.062,13.062,1361506.000,-0.066964,13.000,13.062,45616.000,1.000,1.000,14.000,447.000,-0.066964,-0.009,-0.009,-0.004,-0.004,-0.008
88860,2001/02/08,,11,3,3843,01625510,ALGN,ALIGN TECHNOLOGY INC,,ALGN,,Q,A,R,41154,28214,3,3843,01625510,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,1.000,2.000,20.000,2.000,13.000,13.188,13.062,712407.000,0.000000,13.000,13.062,45616.000,1.000,1.000,13.125,299.000,0.000000,-0.006,-0.007,-0.003,-0.003,-0.006
