PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
28804,2001/01/02,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,29.000,29.875,29.562,164000.000,-0.006303,,,26444.000,4.000,4.000,29.500,,-0.006303,-0.034,-0.034,-0.001,-0.001,-0.028
28804,2001/01/03,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,29.438,32.000,31.938,342900.000,0.080338,,,26444.000,4.000,4.000,29.438,,0.080338,0.053,0.053,0.046,0.046,0.050
28804,2001/01/04,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,31.625,34.000,34.000,544900.000,0.064579,,,26444.000,4.000,4.000,31.625,,0.064579,-0.012,-0.012,0.011,0.011,-0.011
28804,2001/01/05,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,33.312,34.062,33.812,361800.000,-0.005515,,,26444.000,4.000,4.000,34.000,,-0.005515,-0.029,-0.029,-0.009,-0.009,-0.026
28804,2001/01/08,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,33.438,35.250,33.875,400100.000,0.001848,,,26444.000,4.000,4.000,34.000,,0.001848,-0.003,-0.004,-0.005,-0.005,-0.002
28804,2001/01/09,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,30.812,32.750,30.938,600800.000,-0.086716,,,26444.000,4.000,4.000,32.750,,-0.086716,0.005,0.005,0.012,0.012,0.004
28804,2001/01/10,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,30.125,30.875,30.875,234200.000,-0.002020,,,26444.000,4.000,4.000,30.875,,-0.002020,0.014,0.014,0.021,0.020,0.010
28804,2001/01/11,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,29.938,31.250,30.188,206700.000,-0.022267,,,26444.000,4.000,4.000,30.938,,-0.022267,0.015,0.015,0.027,0.027,0.010
28804,2001/01/12,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,29.250,30.250,29.875,262100.000,-0.010352,,,26444.000,4.000,4.000,30.188,,-0.010352,-0.004,-0.004,0.019,0.019,-0.006
28804,2001/01/16,,11,1,4511,01165910,ALK,ALASKA AIRGROUP INC,,,,N,A,R,20035,0,1,4512,01165910,,,,,,,,,,,,,,,,,,,,,,,,,29.688,30.000,30.000,116300.000,0.004184,,,26444.000,4.000,4.000,29.938,,0.004184,0.006,0.006,0.019,0.019,0.006
