PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
85257,2001/01/02,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,23.688,25.000,24.688,222700.000,-0.048193,,,32156.000,6.750,6.750,24.938,,-0.048193,-0.034,-0.034,-0.001,-0.001,-0.028
85257,2001/01/03,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,24.500,25.938,25.688,143700.000,0.040506,,,32156.000,6.750,6.750,24.500,,0.040506,0.053,0.053,0.046,0.046,0.050
85257,2001/01/04,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,25.312,26.000,25.812,66600.000,0.004866,,,32156.000,6.750,6.750,25.562,,0.004866,-0.012,-0.012,0.011,0.011,-0.011
85257,2001/01/05,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,25.500,25.750,25.625,99900.000,-0.007264,,,32156.000,6.750,6.750,25.750,,-0.007264,-0.029,-0.029,-0.009,-0.009,-0.026
85257,2001/01/08,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,25.375,27.438,27.438,164600.000,0.070732,,,32156.000,6.750,6.750,25.375,,0.070732,-0.003,-0.004,-0.005,-0.005,-0.002
85257,2001/01/09,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,26.250,27.250,26.438,162300.000,-0.036446,,,32156.000,6.750,6.750,27.062,,-0.036446,0.005,0.005,0.012,0.012,0.004
85257,2001/01/10,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,26.312,27.688,27.688,113900.000,0.047281,,,32156.000,6.750,6.750,26.312,,0.047281,0.014,0.014,0.021,0.020,0.010
85257,2001/01/11,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,26.938,27.438,27.062,77600.000,-0.022573,,,32156.000,6.750,6.750,27.438,,-0.022573,0.015,0.015,0.027,0.027,0.010
85257,2001/01/12,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,26.250,27.000,26.938,213500.000,-0.004619,,,32156.000,6.750,6.750,26.750,,-0.004619,-0.004,-0.004,0.019,0.019,-0.006
85257,2001/01/16,,11,1,3621,03110010,AME,AMETEK INC NEW,,,,N,A,R,32054,0,1,3621,03110010,,,,,,,,,,,,,,,,,,,,,,,,,25.875,26.938,26.125,113000.000,-0.030162,,,32156.000,6.750,6.750,26.938,,-0.030162,0.006,0.006,0.019,0.019,0.006
