PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
85675,2001/01/02,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,20.000,2.000,20.500,24.625,20.750,193300.000,-0.148718,20.750,20.812,9952.000,1.500,1.500,23.625,601.000,-0.148718,-0.034,-0.034,-0.001,-0.001,-0.028
85675,2001/01/03,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,17.250,19.938,18.250,328993.000,-0.120482,18.312,18.625,9952.000,1.500,1.500,19.875,799.000,-0.120482,0.053,0.053,0.046,0.046,0.050
85675,2001/01/04,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,21.000,2.000,14.938,18.438,16.250,278991.000,-0.109589,16.250,16.250,9952.000,1.500,1.500,17.781,678.000,-0.109589,-0.012,-0.012,0.011,0.011,-0.011
85675,2001/01/05,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,14.125,19.000,18.500,374681.000,0.138462,18.500,18.938,9952.000,1.500,1.500,15.500,780.000,0.138462,-0.029,-0.029,-0.009,-0.009,-0.026
85675,2001/01/08,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,20.000,2.000,18.438,19.500,19.312,121439.000,0.043919,19.125,19.312,9952.000,1.500,1.500,19.000,329.000,0.043919,-0.003,-0.004,-0.005,-0.005,-0.002
85675,2001/01/09,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,17.875,20.625,20.625,166179.000,0.067961,20.375,20.625,9952.000,1.500,1.500,19.438,326.000,0.067961,0.005,0.005,0.012,0.012,0.004
85675,2001/01/10,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,19.500,22.500,19.625,436358.000,-0.048485,19.625,19.688,9952.000,1.500,1.500,20.422,733.000,-0.048485,0.014,0.014,0.021,0.020,0.010
85675,2001/01/11,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,16.000,2.000,18.125,19.750,18.500,121905.000,-0.057325,18.562,18.625,9952.000,1.500,1.500,19.453,312.000,-0.057325,0.015,0.015,0.027,0.027,0.010
85675,2001/01/12,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,20.000,2.000,17.500,18.562,18.125,184824.000,-0.020270,18.125,18.188,9952.000,1.500,1.500,18.500,285.000,-0.020270,-0.004,-0.004,0.019,0.019,-0.006
85675,2001/01/16,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,18.000,2.000,17.750,18.750,18.125,131217.000,0.000000,18.000,18.125,9952.000,1.500,1.500,17.812,159.000,0.000000,0.006,0.006,0.019,0.019,0.006
85675,2001/01/17,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,17.875,19.562,18.750,65024.000,0.034483,18.438,18.750,9952.000,1.500,1.500,17.891,163.000,0.034483,0.004,0.004,0.013,0.013,0.002
85675,2001/01/18,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,18.000,18.875,18.562,35528.000,-0.010000,18.562,18.875,9952.000,1.500,1.500,18.062,104.000,-0.010000,0.012,0.012,0.009,0.008,0.014
85675,2001/01/19,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,19.000,2.000,18.188,18.750,18.500,47480.000,-0.003367,18.438,18.562,9952.000,1.500,1.500,18.750,81.000,-0.003367,-0.004,-0.004,0.004,0.004,-0.004
85675,2001/01/22,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,18.125,19.125,18.125,60761.000,-0.020270,18.312,18.375,9952.000,1.500,1.500,18.750,178.000,-0.020270,0.000,0.000,0.005,0.005,0.000
85675,2001/01/23,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,21.000,2.000,18.578,20.250,19.875,114905.000,0.096552,19.500,19.875,9952.000,1.500,1.500,18.625,236.000,0.096552,0.016,0.016,0.015,0.015,0.013
85675,2001/01/24,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,,,,,,,,,,,,,,,,,,18.938,20.438,19.000,144528.000,-0.044025,18.938,19.000,9952.000,1.500,1.500,20.000,272.000,-0.044025,0.003,0.003,0.007,0.007,0.003
85675,2001/01/25,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,19.000,2.000,18.875,20.125,20.125,176430.000,0.059211,20.062,20.125,9952.000,1.500,1.500,18.938,187.000,0.059211,-0.008,-0.008,-0.003,-0.003,-0.005
85675,2001/01/26,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,20.000,2.000,19.750,20.500,19.875,93024.000,-0.012422,19.812,20.000,9952.000,1.500,1.500,20.062,173.000,-0.012422,-0.001,-0.001,0.002,0.002,-0.002
85675,2001/01/29,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,19.000,2.000,19.766,21.000,20.938,152059.000,0.053459,20.875,20.938,9952.000,1.500,1.500,20.188,185.000,0.053459,0.009,0.009,0.010,0.010,0.007
85675,2001/01/30,,11,3,8090,03232P10,AMSGA,AMSURG CORP,A,AMSGA,,Q,A,R,15867,21242,1,8011,29414D10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,21.000,2.000,21.109,22.938,22.750,335158.000,0.086567,22.688,22.750,9952.000,1.500,1.500,21.125,558.000,0.086567,0.007,0.007,0.010,0.009,0.007
