PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
65402,2001/01/02,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.812,17.188,16.875,19600.000,-0.010989,16.625,17.125,14847.000,6.000,6.000,17.125,,-0.010989,-0.034,-0.034,-0.001,-0.001,-0.028
65402,2001/01/03,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.812,17.500,17.500,35800.000,0.037037,17.250,17.625,14847.000,6.000,6.000,16.812,,0.037037,0.053,0.053,0.046,0.046,0.050
65402,2001/01/04,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,17.000,17.562,17.562,35600.000,0.003571,17.375,17.750,14847.000,6.000,6.000,17.500,,0.003571,-0.012,-0.012,0.011,0.011,-0.011
65402,2001/01/05,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.812,17.500,16.938,25700.000,-0.035587,16.750,17.125,14847.000,6.000,6.000,17.500,,-0.035587,-0.029,-0.029,-0.009,-0.009,-0.026
65402,2001/01/08,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.750,17.000,16.750,7300.000,-0.011070,16.625,17.000,14847.000,6.000,6.000,17.000,,-0.011070,-0.003,-0.004,-0.005,-0.005,-0.002
65402,2001/01/09,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.750,17.125,17.000,32200.000,0.014925,16.875,17.250,14847.000,6.000,6.000,16.812,,0.014925,0.005,0.005,0.012,0.012,0.004
65402,2001/01/10,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.812,17.062,17.000,38200.000,0.000000,16.875,17.250,14847.000,6.000,6.000,17.062,,0.000000,0.014,0.014,0.021,0.020,0.010
65402,2001/01/11,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.875,17.062,17.000,23100.000,0.000000,16.750,17.125,14847.000,6.000,6.000,17.062,,0.000000,0.015,0.015,0.027,0.027,0.010
65402,2001/01/12,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.688,17.000,16.688,21400.000,-0.018382,16.500,16.875,14847.000,6.000,6.000,17.000,,-0.018382,-0.004,-0.004,0.019,0.019,-0.006
65402,2001/01/16,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.625,16.812,16.812,15600.000,0.007491,16.625,17.000,14847.000,6.000,6.000,16.625,,0.007491,0.006,0.006,0.019,0.019,0.006
65402,2001/01/17,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.625,16.812,16.625,14700.000,-0.011152,16.375,16.875,14847.000,6.000,6.000,16.812,,-0.011152,0.004,0.004,0.013,0.013,0.002
65402,2001/01/18,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.500,16.625,16.625,19100.000,0.000000,16.375,16.875,14847.000,6.000,6.000,16.500,,0.000000,0.012,0.012,0.009,0.008,0.014
65402,2001/01/19,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.188,16.625,16.312,24700.000,-0.018797,16.125,16.500,14847.000,6.000,6.000,16.625,,-0.018797,-0.004,-0.004,0.004,0.004,-0.004
65402,2001/01/22,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.188,16.500,16.188,22700.000,-0.007663,16.000,16.375,14847.000,6.000,6.000,16.312,,-0.007663,0.000,0.000,0.005,0.005,0.000
65402,2001/01/23,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,15.938,16.250,16.000,44600.000,-0.011583,15.750,16.250,14847.000,6.000,6.000,16.250,,-0.011583,0.016,0.016,0.015,0.015,0.013
65402,2001/01/24,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,15.875,16.250,16.188,263600.000,0.011719,16.000,16.375,14847.000,6.000,6.000,15.938,,0.011719,0.003,0.003,0.007,0.007,0.003
65402,2001/01/25,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.125,16.438,16.125,49000.000,-0.003861,15.875,16.375,14847.000,6.000,6.000,16.312,,-0.003861,-0.008,-0.008,-0.003,-0.003,-0.005
65402,2001/01/26,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.000,16.375,16.312,38800.000,0.011628,16.125,16.625,14847.000,6.000,6.000,16.125,,0.011628,-0.001,-0.001,0.002,0.002,-0.002
65402,2001/01/29,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,2001/01/15,,,,,2001/02/15,2001/01/31,0.000,,,1232.000,0.130,0.000,0.000,,,,,,,,,,,16.290,16.630,16.450,53600.000,0.016399,16.300,16.600,14847.000,6.000,6.000,16.290,,0.008429,0.009,0.009,0.010,0.010,0.007
65402,2001/01/30,,11,1,3714,83186520,AOS,SMITH A O CORP,,,,N,A,R,21625,0,1,3639,83186520,,,,,,,,,,,,,,,,,,,,,,,,,16.480,16.720,16.650,20200.000,0.012158,16.520,16.800,14847.000,6.000,6.000,16.480,,0.012158,0.007,0.007,0.010,0.009,0.007
