PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
70332,2001/01/02,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,69.000,73.970,69.260,3146900.000,-0.025605,,,248785.000,2.000,2.000,71.080,,-0.025605,-0.034,-0.034,-0.001,-0.001,-0.028
70332,2001/01/03,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,63.630,69.000,64.600,3720400.000,-0.067283,64.090,65.110,248785.000,2.000,2.000,68.100,,-0.067283,0.053,0.053,0.046,0.046,0.050
70332,2001/01/04,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,59.500,65.670,61.000,4094400.000,-0.055728,,,248785.000,2.000,2.000,65.200,,-0.055728,-0.012,-0.012,0.011,0.011,-0.011
70332,2001/01/05,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,61.500,64.812,63.750,2771000.000,0.045082,,,248785.000,2.000,2.000,61.500,,0.045082,-0.029,-0.029,-0.009,-0.009,-0.026
70332,2001/01/08,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,63.560,65.850,64.020,2681500.000,0.004235,,,248785.000,2.000,2.000,64.350,,0.004235,-0.003,-0.004,-0.005,-0.005,-0.002
70332,2001/01/09,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,61.000,64.800,61.650,3727300.000,-0.037020,,,248785.000,2.000,2.000,64.500,,-0.037020,0.005,0.005,0.012,0.012,0.004
70332,2001/01/10,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,60.800,62.880,61.000,2729600.000,-0.010543,,,248785.000,2.000,2.000,62.500,,-0.010543,0.014,0.014,0.021,0.020,0.010
70332,2001/01/11,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,60.800,63.250,61.750,3164800.000,0.012295,,,248785.000,2.000,2.000,62.750,,0.012295,0.015,0.015,0.027,0.027,0.010
70332,2001/01/12,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,60.500,62.100,61.350,1793300.000,-0.006478,,,248785.000,2.000,2.000,61.750,,-0.006478,-0.004,-0.004,0.019,0.019,-0.006
70332,2001/01/16,,11,1,1311,03251110,APC,ANADARKO PETROLEUM CORP,,,,N,A,R,20194,0,1,1321,03251110,,,,,,,,,,,,,,,,,,,,,,,,,61.530,63.450,63.220,2579100.000,0.030481,,,248785.000,2.000,2.000,61.750,,0.030481,0.006,0.006,0.019,0.019,0.006
