PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
28222,2001/01/02,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,40.125,41.812,40.438,858000.000,-0.013720,,,229305.000,1.100,1.000,40.625,,-0.013720,-0.034,-0.034,-0.001,-0.001,-0.028
28222,2001/01/03,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,39.438,41.750,40.750,1030200.000,0.007728,,,229305.000,1.100,1.000,40.875,,0.007728,0.053,0.053,0.046,0.046,0.050
28222,2001/01/04,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,40.500,42.438,41.312,1230400.000,0.013804,,,229305.000,1.100,1.000,40.625,,0.013804,-0.012,-0.012,0.011,0.011,-0.011
28222,2001/01/05,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,39.812,41.688,40.812,625200.000,-0.012103,,,229305.000,1.100,1.000,41.562,,-0.012103,-0.029,-0.029,-0.009,-0.009,-0.026
28222,2001/01/08,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,40.438,41.438,40.750,891400.000,-0.001531,,,229305.000,1.100,1.000,40.688,,-0.001531,-0.003,-0.004,-0.005,-0.005,-0.002
28222,2001/01/09,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,39.000,40.500,39.312,1134100.000,-0.035276,,,229305.000,1.100,1.000,40.000,,-0.035276,0.005,0.005,0.012,0.012,0.004
28222,2001/01/10,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,38.188,40.188,39.500,869900.000,0.004769,,,229305.000,1.100,1.000,39.688,,0.004769,0.014,0.014,0.021,0.020,0.010
28222,2001/01/11,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,37.750,39.312,38.062,813500.000,-0.036392,,,229305.000,1.100,1.000,39.312,,-0.036392,0.015,0.015,0.027,0.027,0.010
28222,2001/01/12,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.750,38.125,37.438,561000.000,-0.016420,,,229305.000,1.100,1.000,38.125,,-0.016420,-0.004,-0.004,0.019,0.019,-0.006
28222,2001/01/16,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.188,37.938,37.250,1467100.000,-0.005008,,,229305.000,1.100,1.000,36.500,,-0.005008,0.006,0.006,0.019,0.019,0.006
28222,2001/01/17,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.312,37.938,36.875,801300.000,-0.010067,,,229305.000,1.100,1.000,37.750,,-0.010067,0.004,0.004,0.013,0.013,0.002
28222,2001/01/18,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.062,37.125,36.625,629000.000,-0.006780,,,229305.000,1.100,1.000,36.750,,-0.006780,0.012,0.012,0.009,0.008,0.014
28222,2001/01/19,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,35.250,36.500,35.938,599300.000,-0.018771,,,229305.000,1.100,1.000,36.125,,-0.018771,-0.004,-0.004,0.004,0.004,-0.004
28222,2001/01/22,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,35.000,36.938,36.312,1087800.000,0.010435,,,229305.000,1.100,1.000,36.250,,0.010435,0.000,0.000,0.005,0.005,0.000
28222,2001/01/23,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.125,37.688,36.312,966300.000,0.000000,,,229305.000,1.100,1.000,36.312,,0.000000,0.016,0.016,0.015,0.015,0.013
28222,2001/01/24,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,35.750,37.000,36.938,1210300.000,0.017212,,,229305.000,1.100,1.000,36.062,,0.017212,0.003,0.003,0.007,0.007,0.003
28222,2001/01/25,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.938,38.250,37.375,1464600.000,0.011844,,,229305.000,1.100,1.000,37.000,,0.011844,-0.008,-0.008,-0.003,-0.003,-0.005
28222,2001/01/26,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.125,37.125,36.375,777400.000,-0.026756,,,229305.000,1.100,1.000,37.125,,-0.026756,-0.001,-0.001,0.002,0.002,-0.002
28222,2001/01/29,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,35.810,37.500,37.060,657600.000,0.018832,,,229305.000,1.100,1.000,36.120,,0.018832,0.009,0.009,0.010,0.010,0.007
28222,2001/01/30,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,36.510,38.050,38.040,1387900.000,0.026444,,,229305.000,1.100,1.000,37.900,,0.026444,0.007,0.007,0.010,0.009,0.007
28222,2001/01/31,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,0.000,,,,,,,,,,,,,,,,,37.660,38.600,37.770,1129600.000,-0.007098,,,229305.000,1.100,1.000,37.910,,-0.007098,-0.007,-0.007,-0.000,-0.000,-0.006
28222,2001/02/01,,11,1,2813,00915810,APD,AIR PRODUCTS & CHEMICALS INC,,,,N,A,R,20030,0,1,2813,00915810,,,,,,,,,,,,,,,,,,,,,,,,,37.110,38.250,37.950,958100.000,0.004766,,,229305.000,1.100,1.000,37.250,,0.004766,0.004,0.004,0.002,0.002,0.005
