PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84767,2001/01/02,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,2000/12/04,,,,,2001/01/15,2001/01/04,0.000,,,1232.000,0.430,0.000,0.000,,,,,,,,,,,36.562,36.875,36.562,12600.000,-0.005244,36.125,36.938,14397.000,1.000,1.000,36.875,,-0.016807,-0.034,-0.034,-0.001,-0.001,-0.028
84767,2001/01/03,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,36.562,37.562,37.188,38800.000,0.017094,36.750,37.625,14397.000,1.000,1.000,36.562,,0.017094,0.053,0.053,0.046,0.046,0.050
84767,2001/01/04,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.250,38.750,38.188,34800.000,0.026891,37.750,38.625,14397.000,1.000,1.000,37.312,,0.026891,-0.012,-0.012,0.011,0.011,-0.011
84767,2001/01/05,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.062,38.062,37.938,49200.000,-0.006547,37.500,38.375,14397.000,1.000,1.000,38.062,,-0.006547,-0.029,-0.029,-0.009,-0.009,-0.026
84767,2001/01/08,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.812,38.188,37.938,26300.000,0.000000,37.562,38.375,14397.000,1.000,1.000,37.812,,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
84767,2001/01/09,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.750,38.000,37.875,21800.000,-0.001647,37.375,38.250,14397.000,1.000,1.000,37.938,,-0.001647,0.005,0.005,0.012,0.012,0.004
84767,2001/01/10,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.750,38.125,37.938,39400.000,0.001650,37.500,38.375,14397.000,1.000,1.000,37.750,,0.001650,0.014,0.014,0.021,0.020,0.010
84767,2001/01/11,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.750,38.000,37.938,12500.000,0.000000,37.500,38.375,14397.000,1.000,1.000,37.812,,0.000000,0.015,0.015,0.027,0.027,0.010
84767,2001/01/12,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.625,37.875,37.625,15700.000,-0.008237,37.188,38.062,14397.000,1.000,1.000,37.812,,-0.008237,-0.004,-0.004,0.019,0.019,-0.006
84767,2001/01/16,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.312,37.812,37.750,26700.000,0.003322,37.250,38.125,14397.000,1.000,1.000,37.625,,0.003322,0.006,0.006,0.019,0.019,0.006
84767,2001/01/17,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.750,37.875,37.812,11600.000,0.001656,37.375,38.188,14397.000,1.000,1.000,37.812,,0.001656,0.004,0.004,0.013,0.013,0.002
84767,2001/01/18,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,37.062,37.688,37.062,13600.000,-0.019835,36.625,37.500,14397.000,1.000,1.000,37.688,,-0.019835,0.012,0.012,0.009,0.008,0.014
84767,2001/01/19,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,36.875,37.250,37.000,19000.000,-0.001686,36.562,37.438,14397.000,1.000,1.000,37.000,,-0.001686,-0.004,-0.004,0.004,0.004,-0.004
84767,2001/01/22,,18,1,6798,01527110,ARE,ALEXANDRIA REAL EST EQUITIES INC,,,,N,A,R,31965,0,1,6798,01527110,,,,,,,,,,,,,,,,,,,,,,,,,36.562,37.000,36.562,15000.000,-0.011824,36.188,37.062,14397.000,1.000,1.000,37.000,,-0.011824,0.000,0.000,0.005,0.005,0.000
