PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
40416,2001/01/02,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,47.000,48.250,47.250,1019400.000,-0.013055,46.875,47.625,237618.000,2.000,2.000,47.625,,-0.013055,-0.034,-0.034,-0.001,-0.001,-0.028
40416,2001/01/03,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,45.750,48.250,46.438,2183600.000,-0.017196,46.062,46.812,237618.000,2.000,2.000,47.500,,-0.017196,0.053,0.053,0.046,0.046,0.050
40416,2001/01/04,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,43.125,45.938,44.188,2001900.000,-0.048452,43.812,44.562,237618.000,2.000,2.000,45.750,,-0.048452,-0.012,-0.012,0.011,0.011,-0.011
40416,2001/01/05,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,43.875,45.312,44.500,1024700.000,0.007072,44.125,44.875,237618.000,2.000,2.000,44.000,,0.007072,-0.029,-0.029,-0.009,-0.009,-0.026
40416,2001/01/08,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,44.750,46.188,46.000,824600.000,0.033708,45.625,46.375,237618.000,2.000,2.000,45.000,,0.033708,-0.003,-0.004,-0.005,-0.005,-0.002
40416,2001/01/09,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,45.438,47.688,46.625,1086700.000,0.013587,46.250,47.000,237618.000,2.000,2.000,45.688,,0.013587,0.005,0.005,0.012,0.012,0.004
40416,2001/01/10,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,46.000,47.000,46.750,622100.000,0.002681,46.375,47.125,237618.000,2.000,2.000,46.562,,0.002681,0.014,0.014,0.021,0.020,0.010
40416,2001/01/11,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,45.000,47.562,45.562,1139200.000,-0.025401,45.062,46.000,237618.000,2.000,2.000,47.125,,-0.025401,0.015,0.015,0.027,0.027,0.010
40416,2001/01/12,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,43.000,46.375,43.250,1709200.000,-0.050754,42.875,43.625,237618.000,2.000,2.000,45.125,,-0.050754,-0.004,-0.004,0.019,0.019,-0.006
40416,2001/01/16,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,42.125,44.000,42.562,1792200.000,-0.015896,42.188,42.938,237618.000,2.000,2.000,42.750,,-0.015896,0.006,0.006,0.019,0.019,0.006
40416,2001/01/17,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,40.750,43.000,41.125,2461900.000,-0.033774,40.750,41.500,237618.000,2.000,2.000,42.500,,-0.033774,0.004,0.004,0.013,0.013,0.002
40416,2001/01/18,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,41.250,43.500,42.625,1532400.000,0.036474,42.250,43.000,237618.000,2.000,2.000,41.375,,0.036474,0.012,0.012,0.009,0.008,0.014
40416,2001/01/19,,11,1,2844,05430310,AVP,AVON PRODUCTS INC,,,,N,A,R,20240,0,1,2844,05430310,,,,,,,,,,,,,,,,,,,,,,,,,40.625,42.438,41.562,1220400.000,-0.024927,41.188,41.938,237618.000,2.000,2.000,42.125,,-0.024927,-0.004,-0.004,0.004,0.004,-0.004
