PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
81910,2001/01/02,2002/01/01,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,2.000,62.000,628.000,,,,,,,,,,,,,,,40.750,41.812,40.750,16700.000,-0.063218,40.375,41.000,9164.000,1.000,1.000,41.500,,-0.063218,-0.034,-0.034,-0.001,-0.001,-0.028
81910,2001/01/03,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,39.750,43.500,42.500,74800.000,0.042945,42.125,42.875,9164.000,1.000,1.000,40.062,,0.042945,0.053,0.053,0.046,0.046,0.050
81910,2001/01/04,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,41.875,42.500,42.250,33000.000,-0.005882,41.875,42.500,9164.000,1.000,1.000,42.438,,-0.005882,-0.012,-0.012,0.011,0.011,-0.011
81910,2001/01/05,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,42.250,43.000,42.500,30000.000,0.005917,42.125,42.750,9164.000,1.000,1.000,42.625,,0.005917,-0.029,-0.029,-0.009,-0.009,-0.026
81910,2001/01/08,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,43.125,44.750,43.625,45100.000,0.026471,43.250,43.750,9164.000,1.000,1.000,44.750,,0.026471,-0.003,-0.004,-0.005,-0.005,-0.002
81910,2001/01/09,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,43.000,44.250,44.125,37400.000,0.011461,43.750,44.500,9164.000,1.000,1.000,43.000,,0.011461,0.005,0.005,0.012,0.012,0.004
81910,2001/01/10,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,43.000,45.000,44.812,22000.000,0.015581,44.375,45.000,9164.000,1.000,1.000,43.250,,0.015581,0.014,0.014,0.021,0.020,0.010
81910,2001/01/11,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,42.750,43.500,43.125,38000.000,-0.037657,42.875,43.250,9164.000,1.000,1.000,43.250,,-0.037657,0.015,0.015,0.027,0.027,0.010
81910,2001/01/12,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,41.688,43.000,42.750,40800.000,-0.008696,42.500,43.000,9164.000,1.000,1.000,42.250,,-0.008696,-0.004,-0.004,0.019,0.019,-0.006
81910,2001/01/16,,31,1,6282,03235E10,AVZ,AMVESCAP PLC,,,,N,A,R,30929,0,1,6282,G491BT10,,,,,,,,,62.000,628.000,,,,,,,,,,,,,,,42.000,43.875,43.750,42600.000,0.023392,43.125,43.875,9164.000,1.000,1.000,42.688,,0.023392,0.006,0.006,0.019,0.019,0.006
