PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
23544,2001/01/02,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,27.625,29.125,27.688,145000.000,-0.057447,,,98412.000,1.000,1.000,29.125,,-0.057447,-0.034,-0.034,-0.001,-0.001,-0.028
23544,2001/01/03,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,27.375,29.000,27.562,158400.000,-0.004515,,,98412.000,1.000,1.000,27.625,,-0.004515,0.053,0.053,0.046,0.046,0.050
23544,2001/01/04,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,26.312,27.438,26.750,107100.000,-0.029478,,,98412.000,1.000,1.000,27.438,,-0.029478,-0.012,-0.012,0.011,0.011,-0.011
23544,2001/01/05,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.812,26.188,109500.000,-0.021028,,,98412.000,1.000,1.000,26.688,,-0.021028,-0.029,-0.029,-0.009,-0.009,-0.026
23544,2001/01/08,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.750,26.625,65800.000,0.016706,,,98412.000,1.000,1.000,26.250,,0.016706,-0.003,-0.004,-0.005,-0.005,-0.002
23544,2001/01/09,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,25.812,26.625,26.375,71900.000,-0.009390,,,98412.000,1.000,1.000,26.625,,-0.009390,0.005,0.005,0.012,0.012,0.004
23544,2001/01/10,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,25.938,26.812,26.812,93100.000,0.016588,,,98412.000,1.000,1.000,26.125,,0.016588,0.014,0.014,0.021,0.020,0.010
23544,2001/01/11,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,26.375,26.688,26.500,36600.000,-0.011655,,,98412.000,1.000,1.000,26.625,,-0.011655,0.015,0.015,0.027,0.027,0.010
23544,2001/01/12,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,25.875,26.750,26.750,88600.000,0.009434,,,98412.000,1.000,1.000,26.250,,0.009434,-0.004,-0.004,0.019,0.019,-0.006
23544,2001/01/16,,11,1,4941,03041110,AWK,AMERICAN WATER WORKS INC,,,,N,A,R,20104,0,1,4941,03041110,,,,,,,,,,,,,,,,,,,,,,,,,26.625,27.500,27.125,126100.000,0.014019,,,98412.000,1.000,1.000,26.688,,0.014019,0.006,0.006,0.019,0.019,0.006
