PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
89216,2001/11/14,2002/01/01,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,0.000,51.000,516.000,,,,,,,,,,,,,,,13.000,15.000,-14.000,0.000,C,13.000,15.000,41312.000,1.180,1.000,,,C,0.003,0.003,0.008,0.007,0.002
89216,2001/11/15,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,13.000,14.000,-13.500,0.000,-0.035714,13.000,14.000,41312.000,1.180,1.000,,,-0.035714,0.000,0.000,0.000,0.000,0.001
89216,2001/11/16,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,13.000,14.500,-13.750,0.000,0.018519,13.000,14.500,41312.000,1.180,1.000,,,0.018519,-0.002,-0.002,0.006,0.006,-0.003
89216,2001/11/19,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,12.000,14.500,-13.250,0.000,-0.036364,12.000,14.500,41312.000,1.180,1.000,,,-0.036364,0.012,0.012,0.012,0.012,0.011
89216,2001/11/20,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,12.000,14.500,-13.250,0.000,0.000000,12.000,14.500,41312.000,1.180,1.000,,,0.000000,-0.008,-0.008,-0.005,-0.005,-0.007
89216,2001/11/21,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,13.000,14.500,-13.750,0.000,0.037736,13.000,14.500,41312.000,1.180,1.000,,,0.037736,-0.004,-0.005,0.000,0.000,-0.005
89216,2001/11/23,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,12.000,14.500,-13.250,0.000,-0.036364,12.000,14.500,41312.000,1.180,1.000,,,-0.036364,0.012,0.012,0.010,0.010,0.012
89216,2001/11/26,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,12.000,14.000,-13.000,0.000,-0.018868,12.000,14.000,41312.000,1.180,1.000,,,-0.018868,0.007,0.007,0.006,0.006,0.006
89216,2001/11/27,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,12.500,14.100,-13.300,0.000,0.023077,12.500,14.100,41312.000,1.180,1.000,,,0.023077,-0.005,-0.005,0.002,0.002,-0.007
89216,2001/11/28,,11,1,5169,00508Y10,AYI,ACUITY BRANDS INC,,,,N,A,R,42401,0,1,5169,00508Y10,,,,,,,,,51.000,516.000,,,,,,,,,,,,,,,12.240,12.500,12.400,6700.000,-0.067669,12.050,12.400,41312.000,1.180,1.000,12.500,,-0.067669,-0.017,-0.018,-0.010,-0.010,-0.018
