PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
76605,2001/01/02,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,27.750,28.312,27.875,401100.000,-0.021930,,,113791.000,1.000,1.000,28.250,,-0.021930,-0.034,-0.034,-0.001,-0.001,-0.028
76605,2001/01/03,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,27.875,28.750,28.750,658400.000,0.031390,,,113791.000,1.000,1.000,27.938,,0.031390,0.053,0.053,0.046,0.046,0.050
76605,2001/01/04,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.750,29.000,29.000,642300.000,0.008696,,,113791.000,1.000,1.000,28.875,,0.008696,-0.012,-0.012,0.011,0.011,-0.011
76605,2001/01/05,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.500,28.938,28.562,554200.000,-0.015086,,,113791.000,1.000,1.000,28.938,,-0.015086,-0.029,-0.029,-0.009,-0.009,-0.026
76605,2001/01/08,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.250,28.812,28.625,530200.000,0.002188,,,113791.000,1.000,1.000,28.562,,0.002188,-0.003,-0.004,-0.005,-0.005,-0.002
76605,2001/01/09,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.188,28.875,28.438,394600.000,-0.006550,,,113791.000,1.000,1.000,28.688,,-0.006550,0.005,0.005,0.012,0.012,0.004
76605,2001/01/10,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.188,28.938,28.875,425700.000,0.015385,,,113791.000,1.000,1.000,28.250,,0.015385,0.014,0.014,0.021,0.020,0.010
76605,2001/01/11,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.500,28.875,28.625,187500.000,-0.008658,,,113791.000,1.000,1.000,28.750,,-0.008658,0.015,0.015,0.027,0.027,0.010
76605,2001/01/12,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.188,28.875,28.812,549200.000,0.006550,,,113791.000,1.000,1.000,28.812,,0.006550,-0.004,-0.004,0.019,0.019,-0.006
76605,2001/01/16,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.688,29.375,29.000,832700.000,0.006508,,,113791.000,1.000,1.000,28.812,,0.006508,0.006,0.006,0.019,0.019,0.006
76605,2001/01/17,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.812,29.750,29.562,724800.000,0.019397,,,113791.000,1.000,1.000,28.812,,0.019397,0.004,0.004,0.013,0.013,0.002
76605,2001/01/18,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,28.500,29.562,28.812,441700.000,-0.025370,,,113791.000,1.000,1.000,29.438,,-0.025370,0.012,0.012,0.009,0.008,0.014
76605,2001/01/19,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,27.812,28.750,28.562,586600.000,-0.008677,,,113791.000,1.000,1.000,28.375,,-0.008677,-0.004,-0.004,0.004,0.004,-0.004
76605,2001/01/22,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.875,27.125,26.250,1468300.000,-0.080963,25.625,26.750,113791.000,1.000,1.000,26.688,,-0.080963,0.000,0.000,0.005,0.005,0.000
76605,2001/01/23,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.875,26.812,1345900.000,0.021429,,,113791.000,1.000,1.000,25.750,,0.021429,0.016,0.016,0.015,0.015,0.013
76605,2001/01/24,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.812,26.125,650600.000,-0.025641,,,113791.000,1.000,1.000,26.812,,-0.025641,0.003,0.003,0.007,0.007,0.003
76605,2001/01/25,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.750,26.938,26.750,252100.000,0.023923,,,113791.000,1.000,1.000,26.125,,0.023923,-0.008,-0.008,-0.003,-0.003,-0.005
76605,2001/01/26,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,26.438,26.812,26.750,1128900.000,0.000000,,,113791.000,1.000,1.000,26.500,,0.000000,-0.001,-0.001,0.002,0.002,-0.002
76605,2001/01/29,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,26.450,27.490,27.080,320500.000,0.012336,,,113791.000,1.000,1.000,26.500,,0.012336,0.009,0.009,0.010,0.010,0.007
76605,2001/01/30,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,26.520,27.040,26.800,224900.000,-0.010340,,,113791.000,1.000,1.000,26.900,,-0.010340,0.007,0.007,0.010,0.009,0.007
76605,2001/01/31,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,0.000,,,,,,,,,,,,,,,,,25.970,26.690,26.030,2294700.000,-0.028731,,,113791.000,1.000,1.000,26.060,,-0.028731,-0.007,-0.007,-0.000,-0.000,-0.006
76605,2001/02/01,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.640,26.150,25.750,517300.000,-0.010757,,,113791.000,1.000,1.000,26.150,,-0.010757,0.004,0.004,0.002,0.002,0.005
76605,2001/02/02,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.510,26.200,25.790,675500.000,0.001553,,,113791.000,1.000,1.000,25.550,,0.001553,-0.019,-0.019,-0.009,-0.009,-0.017
76605,2001/02/05,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.450,25.950,25.500,579500.000,-0.011245,,,113791.000,1.000,1.000,25.900,,-0.011245,0.002,0.002,-0.004,-0.004,0.004
76605,2001/02/06,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,25.140,25.540,25.140,556500.000,-0.014118,,,113791.000,1.000,1.000,25.270,,-0.014118,0.000,0.000,0.002,0.002,-0.002
76605,2001/02/07,,11,1,5511,05333210,AZO,AUTOZONE INC,,,,N,A,R,29009,0,1,5531,05333210,,,,,,,,,,,,,,,,,,,,,,,,,24.600,25.500,25.240,364300.000,0.003978,,,113791.000,1.000,1.000,24.850,,0.003978,-0.009,-0.009,-0.004,-0.004,-0.008
