PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
27887,2001/01/02,2002/01/01,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,2.000,38.000,384.000,,,,,,,,,,,,,,,88.312,90.438,89.625,1651900.000,0.014862,89.250,90.000,292179.000,3.621,2.000,88.438,,0.014862,-0.034,-0.034,-0.001,-0.001,-0.028
27887,2001/01/03,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,85.000,91.125,86.375,1893000.000,-0.036262,86.000,86.750,292179.000,3.621,2.000,89.625,,-0.036262,0.053,0.053,0.046,0.046,0.050
27887,2001/01/04,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,80.125,85.875,81.500,2497400.000,-0.056440,81.000,82.000,292179.000,3.621,2.000,85.625,,-0.056440,-0.012,-0.012,0.011,0.011,-0.011
27887,2001/01/05,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,81.688,83.500,83.000,3193500.000,0.018405,82.625,83.375,292179.000,3.621,2.000,82.375,,0.018405,-0.029,-0.029,-0.009,-0.009,-0.026
27887,2001/01/08,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,83.188,85.812,85.000,1756600.000,0.024096,84.625,85.375,292179.000,3.621,2.000,83.250,,0.024096,-0.003,-0.004,-0.005,-0.005,-0.002
27887,2001/01/09,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,85.812,86.875,85.875,2384900.000,0.010294,85.500,86.250,292179.000,3.621,2.000,86.875,,0.010294,0.005,0.005,0.012,0.012,0.004
27887,2001/01/10,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,83.688,86.938,84.938,1287900.000,-0.010917,84.562,85.312,292179.000,3.621,2.000,85.875,,-0.010917,0.014,0.014,0.021,0.020,0.010
27887,2001/01/11,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,82.000,86.188,84.625,1602300.000,-0.003679,84.125,85.000,292179.000,3.621,2.000,85.188,,-0.003679,0.015,0.015,0.027,0.027,0.010
27887,2001/01/12,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,82.500,85.125,83.438,960400.000,-0.014032,83.062,83.812,292179.000,3.621,2.000,84.625,,-0.014032,-0.004,-0.004,0.019,0.019,-0.006
27887,2001/01/16,,11,1,5122,07181310,BAX,BAXTER INTERNATIONAL INC,,,,N,A,R,20277,0,1,3841,07181310,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,82.750,84.875,84.812,1224600.000,0.016479,84.438,85.188,292179.000,3.621,2.000,83.438,,0.016479,0.006,0.006,0.019,0.019,0.006
