PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
11976,2001/01/02,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,13.500,14.438,13.625,2951774.000,-0.026786,13.562,13.625,243632.000,1.000,1.000,13.750,3153.000,-0.026786,-0.034,-0.034,-0.001,-0.001,-0.028
11976,2001/01/03,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,3.000,2.000,66.000,9.000,14.000,15.625,15.625,6881169.000,0.146789,15.562,15.625,243632.000,1.000,1.000,14.125,5802.000,0.146789,0.053,0.053,0.046,0.046,0.050
11976,2001/01/04,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,69.000,9.000,20.750,23.250,22.312,22556397.000,0.428000,22.312,22.375,243632.000,1.000,1.000,21.125,21362.000,0.428000,-0.012,-0.012,0.011,0.011,-0.011
11976,2001/01/05,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,67.000,9.000,21.188,22.375,21.812,6733485.000,-0.022409,21.750,21.812,243632.000,1.000,1.000,22.062,7491.000,-0.022409,-0.029,-0.029,-0.009,-0.009,-0.026
11976,2001/01/08,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,20.375,21.312,21.250,5579955.000,-0.025788,21.250,21.250,243632.000,1.000,1.000,20.438,5482.000,-0.025788,-0.003,-0.004,-0.005,-0.005,-0.002
11976,2001/01/09,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,21.250,23.375,23.000,6372438.000,0.082353,22.938,23.000,243632.000,1.000,1.000,21.312,6692.000,0.082353,0.005,0.005,0.012,0.012,0.004
11976,2001/01/10,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,22.375,25.500,24.938,5689607.000,0.084239,24.938,25.000,243632.000,1.000,1.000,22.812,7788.000,0.084239,0.014,0.014,0.021,0.020,0.010
11976,2001/01/11,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,67.000,9.000,24.688,27.938,26.812,9344378.000,0.075188,26.812,26.875,243632.000,1.000,1.000,24.750,10205.000,0.075188,0.015,0.015,0.027,0.027,0.010
11976,2001/01/12,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,25.750,27.000,26.438,8478981.000,-0.013986,26.438,26.500,243632.000,1.000,1.000,26.438,6565.000,-0.013986,-0.004,-0.004,0.019,0.019,-0.006
11976,2001/01/16,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,26.375,27.438,26.750,4946528.000,0.011820,26.688,26.750,243632.000,1.000,1.000,26.438,4920.000,0.011820,0.006,0.006,0.019,0.019,0.006
11976,2001/01/17,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,25.125,28.000,25.625,6521454.000,-0.042056,25.562,25.625,243632.000,1.000,1.000,27.312,7198.000,-0.042056,0.004,0.004,0.013,0.013,0.002
11976,2001/01/18,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,68.000,9.000,27.125,30.562,30.312,18683000.000,0.182927,30.125,30.188,243632.000,1.000,1.000,27.125,20580.000,0.182927,0.012,0.012,0.009,0.008,0.014
11976,2001/01/19,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,67.000,9.000,29.438,33.000,32.125,13493794.000,0.059794,32.125,32.188,243632.000,1.000,1.000,29.625,14226.000,0.059794,-0.004,-0.004,0.004,0.004,-0.004
11976,2001/01/22,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,30.875,32.000,31.500,10130948.000,-0.019455,31.438,31.500,243632.000,1.000,1.000,31.438,6902.000,-0.019455,0.000,0.000,0.005,0.005,0.000
11976,2001/01/23,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,30.125,31.438,30.438,7324086.000,-0.033730,30.375,30.438,243632.000,1.000,1.000,30.812,5706.000,-0.033730,0.016,0.016,0.015,0.015,0.013
11976,2001/01/24,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,30.062,30.875,30.250,5976771.000,-0.006160,30.250,30.312,243632.000,1.000,1.000,30.062,5654.000,-0.006160,0.003,0.003,0.007,0.007,0.003
11976,2001/01/25,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,29.125,31.000,29.938,6386481.000,-0.010331,29.875,29.938,243632.000,1.000,1.000,29.156,6052.000,-0.010331,-0.008,-0.008,-0.003,-0.003,-0.005
11976,2001/01/26,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,27.438,30.000,29.188,6329435.000,-0.025052,29.188,29.250,243632.000,1.000,1.000,29.625,7224.000,-0.025052,-0.001,-0.001,0.002,0.002,-0.002
11976,2001/01/29,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,64.000,9.000,28.625,30.750,30.750,6661506.000,0.053533,30.688,30.750,243632.000,1.000,1.000,29.000,6302.000,0.053533,0.009,0.009,0.010,0.010,0.007
11976,2001/01/30,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,29.938,31.125,30.688,4455649.000,-0.002033,30.625,30.688,243632.000,1.000,1.000,30.562,4313.000,-0.002033,0.007,0.007,0.010,0.009,0.007
11976,2001/01/31,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,28.188,30.438,29.062,3638308.000,-0.052953,29.000,29.125,243632.000,1.000,1.000,30.375,5495.000,-0.052953,-0.007,-0.007,-0.000,-0.000,-0.006
11976,2001/02/01,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,28.562,31.328,31.062,4374083.000,0.068817,31.000,31.062,243632.000,1.000,1.000,29.000,5255.000,0.068817,0.004,0.004,0.002,0.002,0.005
11976,2001/02/02,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,28.312,30.938,28.312,2909682.000,-0.088531,28.375,28.438,243632.000,1.000,1.000,30.375,4377.000,-0.088531,-0.019,-0.019,-0.009,-0.009,-0.017
11976,2001/02/05,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,64.000,9.000,27.750,29.375,28.812,3277832.000,0.017660,28.812,28.875,243632.000,1.000,1.000,28.125,3873.000,0.017660,0.002,0.002,-0.004,-0.004,0.004
11976,2001/02/06,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,63.000,9.000,28.250,30.688,28.938,2562373.000,0.004338,28.875,28.938,243632.000,1.000,1.000,28.500,4112.000,0.004338,0.000,0.000,0.002,0.002,-0.002
11976,2001/02/07,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,64.000,9.000,28.000,29.875,29.625,4826720.000,0.023758,29.625,29.688,243632.000,1.000,1.000,28.625,4908.000,0.023758,-0.009,-0.009,-0.004,-0.004,-0.008
11976,2001/02/08,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,30.000,32.250,31.562,7809795.000,0.065401,31.500,31.562,243632.000,1.000,1.000,30.188,8823.000,0.065401,-0.006,-0.007,-0.003,-0.003,-0.006
11976,2001/02/09,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,64.000,9.000,30.375,31.438,30.625,5859079.000,-0.029703,30.562,30.625,243632.000,1.000,1.000,30.750,5312.000,-0.029703,-0.014,-0.014,-0.009,-0.009,-0.013
11976,2001/02/12,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,29.875,32.250,32.125,4779278.000,0.048980,32.062,32.125,243632.000,1.000,1.000,30.188,5930.000,0.048980,0.010,0.010,0.005,0.005,0.012
11976,2001/02/13,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,31.312,32.875,31.750,6748384.000,-0.011673,31.688,31.750,243632.000,1.000,1.000,32.000,5186.000,-0.011673,-0.009,-0.009,-0.003,-0.004,-0.009
11976,2001/02/14,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,,,,,,,,,,,,,,,,,,30.062,31.875,31.125,3910115.000,-0.019685,31.062,31.125,243632.000,1.000,1.000,31.562,4540.000,-0.019685,-0.000,-0.000,-0.000,-0.001,-0.002
11976,2001/02/15,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,30.250,32.000,31.000,3884788.000,-0.004016,30.938,30.938,243632.000,1.000,1.000,31.812,4559.000,-0.004016,0.009,0.009,0.009,0.009,0.008
11976,2001/02/16,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,29.000,30.250,30.125,3478419.000,-0.028226,30.125,30.188,243632.000,1.000,1.000,29.562,4435.000,-0.028226,-0.021,-0.021,-0.014,-0.014,-0.019
11976,2001/02/20,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,29.562,31.906,30.938,5684244.000,0.026971,30.875,30.938,243632.000,1.000,1.000,29.625,6405.000,0.026971,-0.019,-0.019,-0.012,-0.012,-0.017
11976,2001/02/21,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,64.000,9.000,29.438,31.125,30.125,4303773.000,-0.026263,30.188,30.312,243632.000,1.000,1.000,30.000,5484.000,-0.026263,-0.018,-0.018,-0.016,-0.016,-0.019
11976,2001/02/22,,11,3,7370,05592110,BMCS,B M C SOFTWARE INC,,BMCS,,Q,A,R,9905,13209,3,7372,05592110,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,28.438,31.938,31.688,6799626.000,0.051867,31.625,31.688,243632.000,1.000,1.000,30.000,7949.000,0.051867,-0.005,-0.005,-0.011,-0.011,-0.002
