PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
19393,2001/01/02,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,70.875,73.500,71.500,4245300.000,-0.032967,71.000,72.000,1955360.000,1.053,1.000,73.000,,-0.032967,-0.034,-0.034,-0.001,-0.001,-0.028
19393,2001/01/03,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,2000/12/05,,,,,2001/02/01,2001/01/05,0.000,,,1232.000,0.275,0.000,0.000,,,,,,,,,,,66.438,71.500,66.812,8660500.000,-0.061713,66.312,67.312,1955360.000,1.053,1.000,71.438,,-0.065559,0.053,0.053,0.046,0.046,0.050
19393,2001/01/04,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,60.750,64.688,63.062,14021200.000,-0.056127,62.562,63.562,1955360.000,1.053,1.000,64.500,,-0.056127,-0.012,-0.012,0.011,0.011,-0.011
19393,2001/01/05,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,62.125,66.250,64.312,9608500.000,0.019822,63.938,64.812,1955360.000,1.053,1.000,65.000,,0.019822,-0.029,-0.029,-0.009,-0.009,-0.026
19393,2001/01/08,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,64.062,66.688,65.062,4375200.000,0.011662,64.938,65.312,1955360.000,1.053,1.000,65.312,,0.011662,-0.003,-0.004,-0.005,-0.005,-0.002
19393,2001/01/09,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,65.000,68.250,66.562,5222600.000,0.023055,66.062,67.000,1955360.000,1.053,1.000,65.000,,0.023055,0.005,0.005,0.012,0.012,0.004
19393,2001/01/10,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,65.188,67.875,65.938,5400900.000,-0.009390,65.438,66.438,1955360.000,1.053,1.000,67.750,,-0.009390,0.014,0.014,0.021,0.020,0.010
19393,2001/01/11,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,63.000,66.000,64.500,5588000.000,-0.021801,64.000,65.000,1955360.000,1.053,1.000,66.000,,-0.021801,0.015,0.015,0.027,0.027,0.010
19393,2001/01/12,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,64.562,67.312,67.188,4068500.000,0.041667,66.938,67.438,1955360.000,1.053,1.000,64.562,,0.041667,-0.004,-0.004,0.019,0.019,-0.006
19393,2001/01/16,,11,1,2834,11012210,BMY,BRISTOL MYERS SQUIBB CO,,,,N,A,R,20331,0,1,2834,11012210,,,,,,,,,,,,,,,,,,,,,,,,,66.000,68.188,67.938,3653400.000,0.011163,67.438,68.438,1955360.000,1.053,1.000,66.938,,0.011163,0.006,0.006,0.019,0.019,0.006
