PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10906,2002/11/04,2004/06/09,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,2.000,60.000,602.000,,,,,,,,,,,5.000,2.000,0.000,1.000,23.500,24.110,23.550,375700.000,-0.015056,23.500,23.550,147848.000,1.000,1.000,24.000,,-0.015056,0.009,0.009,0.015,0.015,0.008
10906,2002/11/05,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,23.220,23.820,23.520,597500.000,-0.001274,23.410,23.620,147848.000,1.000,1.000,23.550,,-0.001274,0.006,0.006,0.002,0.002,0.008
10906,2002/11/06,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,23.150,23.620,23.180,707600.000,-0.014456,23.180,23.190,147848.000,1.000,1.000,23.560,,-0.014456,0.010,0.010,0.016,0.016,0.009
10906,2002/11/07,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,22.460,23.220,22.650,852100.000,-0.022865,22.470,22.800,147848.000,1.000,1.000,23.220,,-0.022865,-0.022,-0.022,-0.011,-0.011,-0.023
10906,2002/11/08,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,22.600,22.850,22.720,628200.000,0.003090,22.600,22.810,147848.000,1.000,1.000,22.650,,0.003090,-0.009,-0.009,-0.003,-0.003,-0.009
10906,2002/11/11,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,22.200,22.780,22.220,494300.000,-0.022007,22.120,22.330,147848.000,1.000,1.000,22.750,,-0.022007,-0.020,-0.020,-0.014,-0.014,-0.021
10906,2002/11/12,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,22.080,22.450,22.100,811200.000,-0.005400,22.000,22.250,147848.000,1.000,1.000,22.320,,-0.005400,0.008,0.008,0.009,0.009,0.008
10906,2002/11/13,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,21.830,22.200,22.000,1019400.000,-0.004525,21.980,22.000,147848.000,1.000,1.000,21.950,,-0.004525,-0.000,-0.001,0.000,-0.000,-0.000
10906,2002/11/14,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,22.000,22.630,22.630,670100.000,0.028636,22.590,22.630,147848.000,1.000,1.000,22.000,,0.028636,0.024,0.024,0.017,0.017,0.025
10906,2002/11/15,,11,1,6022,06646R10,BNK,BANKNORTH GROUP INC ME,,BNK,,N,A,R,8782,11610,1,6022,06646R10,,,,,,,,,60.000,602.000,,,,,,,,,,,,,,,22.180,22.770,22.760,466300.000,0.005745,22.610,22.850,147848.000,1.000,1.000,22.620,,0.005745,0.006,0.006,0.003,0.003,0.006
