PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
85963,2001/01/02,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,75.688,85.875,76.125,8861072.000,-0.093750,76.188,76.250,163149.000,1.500,1.500,84.000,26004.000,-0.093750,-0.034,-0.034,-0.001,-0.001,-0.028
85963,2001/01/03,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,72.375,111.000,106.938,20798263.000,0.404762,106.938,107.000,163149.000,1.500,1.500,73.438,52770.000,0.404762,0.053,0.053,0.046,0.046,0.050
85963,2001/01/04,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,67.000,9.000,98.938,110.500,100.250,14918753.000,-0.062537,100.250,100.312,163149.000,1.500,1.500,104.000,46305.000,-0.062537,-0.012,-0.012,0.011,0.011,-0.011
85963,2001/01/05,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,86.500,98.125,87.000,10573762.000,-0.132170,87.000,87.000,163149.000,1.500,1.500,97.312,35959.000,-0.132170,-0.029,-0.029,-0.009,-0.009,-0.026
85963,2001/01/08,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,85.516,94.250,93.438,12248578.000,0.073994,93.438,93.562,163149.000,1.500,1.500,87.000,41343.000,0.073994,-0.003,-0.004,-0.005,-0.005,-0.002
85963,2001/01/09,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,94.000,102.875,97.000,12668045.000,0.038127,96.938,97.000,163149.000,1.500,1.500,96.750,43875.000,0.038127,0.005,0.005,0.012,0.012,0.004
85963,2001/01/10,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,92.500,110.375,109.938,19471402.000,0.133376,109.938,109.875,163149.000,1.500,1.500,92.875,58600.000,0.133376,0.014,0.014,0.021,0.020,0.010
85963,2001/01/11,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,104.250,119.875,115.812,16607868.000,0.053439,115.750,115.812,163149.000,1.500,1.500,107.812,54611.000,0.053439,0.015,0.015,0.027,0.027,0.010
85963,2001/01/12,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,114.438,129.938,123.188,18103712.000,0.063681,123.250,123.250,163149.000,1.500,1.500,116.000,60246.000,0.063681,-0.004,-0.004,0.019,0.019,-0.006
85963,2001/01/16,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,65.000,9.000,116.000,123.500,117.875,11486882.000,-0.043125,117.875,117.938,163149.000,1.500,1.500,123.500,39314.000,-0.043125,0.006,0.006,0.019,0.019,0.006
85963,2001/01/17,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,66.000,9.000,126.906,136.688,128.688,16315812.000,0.091729,128.625,128.688,163149.000,1.500,1.500,129.609,51617.000,0.091729,0.004,0.004,0.013,0.013,0.002
85963,2001/01/18,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,120.500,130.625,127.812,14922840.000,-0.006799,127.750,127.812,163149.000,1.500,1.500,127.750,45171.000,-0.006799,0.012,0.012,0.009,0.008,0.014
85963,2001/01/19,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,125.938,135.250,130.062,10905228.000,0.017604,130.000,130.062,163149.000,1.500,1.500,134.750,35911.000,0.017604,-0.004,-0.004,0.004,0.004,-0.004
85963,2001/01/22,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,123.000,132.562,128.812,9001869.000,-0.009611,128.812,128.875,163149.000,1.500,1.500,128.750,33241.000,-0.009611,0.000,0.000,0.005,0.005,0.000
85963,2001/01/23,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,122.625,134.375,133.438,17563511.000,0.035905,133.438,133.500,163149.000,1.500,1.500,126.188,50724.000,0.035905,0.016,0.016,0.015,0.015,0.013
85963,2001/01/24,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,67.000,9.000,123.688,139.500,124.938,28803718.000,-0.063700,124.938,124.938,163149.000,1.500,1.500,128.594,79955.000,-0.063700,0.003,0.003,0.007,0.007,0.003
85963,2001/01/25,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,103.812,123.062,104.000,18488704.000,-0.167584,104.000,104.062,163149.000,1.500,1.500,122.500,55687.000,-0.167584,-0.008,-0.008,-0.003,-0.003,-0.005
85963,2001/01/26,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,68.000,9.000,95.000,112.500,110.000,19243085.000,0.057692,110.000,110.062,163149.000,1.500,1.500,95.750,69609.000,0.057692,-0.001,-0.001,0.002,0.002,-0.002
85963,2001/01/29,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,104.000,112.188,110.250,9805896.000,0.002273,110.250,110.312,163149.000,1.500,1.500,108.812,36125.000,0.002273,0.009,0.009,0.010,0.010,0.007
85963,2001/01/30,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,108.625,116.875,112.938,10728095.000,0.024376,113.000,113.062,163149.000,1.500,1.500,110.062,40885.000,0.024376,0.007,0.007,0.010,0.009,0.007
85963,2001/01/31,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,109.500,121.188,109.938,17262168.000,-0.026563,109.875,109.938,163149.000,1.500,1.500,115.844,56624.000,-0.026563,-0.007,-0.007,-0.000,-0.000,-0.006
85963,2001/02/01,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,103.250,112.875,107.000,16190409.000,-0.026720,107.000,107.125,163149.000,1.500,1.500,109.750,54173.000,-0.026720,0.004,0.004,0.002,0.002,0.005
85963,2001/02/02,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,98.562,109.375,99.125,10912063.000,-0.073598,99.125,99.188,163149.000,1.500,1.500,108.688,40310.000,-0.073598,-0.019,-0.019,-0.009,-0.009,-0.017
85963,2001/02/05,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,67.000,9.000,90.453,97.500,95.250,14125612.000,-0.039092,95.188,95.250,163149.000,1.500,1.500,97.250,43281.000,-0.039092,0.002,0.002,-0.004,-0.004,0.004
85963,2001/02/06,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,90.750,98.500,92.500,14166599.000,-0.028871,92.500,92.562,163149.000,1.500,1.500,91.250,46093.000,-0.028871,0.000,0.000,0.002,0.002,-0.002
85963,2001/02/07,,11,3,3670,11132010,BRCM,BROADCOM CORP,,BRCM,,Q,A,R,16056,21490,3,3670,11132010,,,,,,,,,,,,,,,,,,,,,,,,,79.750,93.000,82.812,30222865.000,-0.104730,82.812,82.812,163149.000,1.500,1.500,88.562,86031.000,-0.104730,-0.009,-0.009,-0.004,-0.004,-0.008
