PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59192,2001/01/02,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,83.062,86.625,83.438,621200.000,-0.035405,,,174815.000,2.000,2.000,86.500,,-0.035405,-0.034,-0.034,-0.001,-0.001,-0.028
59192,2001/01/03,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,81.562,84.688,82.312,851600.000,-0.013483,,,174815.000,2.000,2.000,83.500,,-0.013483,0.053,0.053,0.046,0.046,0.050
59192,2001/01/04,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.625,80.000,76.562,1923500.000,-0.069856,,,174815.000,2.000,2.000,80.000,,-0.069856,-0.012,-0.012,0.011,0.011,-0.011
59192,2001/01/05,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,74.750,77.500,75.125,985200.000,-0.018776,,,174815.000,2.000,2.000,76.562,,-0.018776,-0.029,-0.029,-0.009,-0.009,-0.026
59192,2001/01/08,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,74.812,77.250,76.438,790600.000,0.017471,,,174815.000,2.000,2.000,75.125,,0.017471,-0.003,-0.004,-0.005,-0.005,-0.002
59192,2001/01/09,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,74.000,77.000,74.062,587200.000,-0.031071,,,174815.000,2.000,2.000,76.188,,-0.031071,0.005,0.005,0.012,0.012,0.004
59192,2001/01/10,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.375,75.375,74.312,678000.000,0.003376,,,174815.000,2.000,2.000,73.562,,0.003376,0.014,0.014,0.021,0.020,0.010
59192,2001/01/11,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.375,74.938,73.750,867600.000,-0.007569,,,174815.000,2.000,2.000,73.625,,-0.007569,0.015,0.015,0.027,0.027,0.010
59192,2001/01/12,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,68.812,73.000,69.062,1710200.000,-0.063559,,,174815.000,2.000,2.000,72.750,,-0.063559,-0.004,-0.004,0.019,0.019,-0.006
59192,2001/01/16,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,68.375,72.438,71.750,1721500.000,0.038914,,,174815.000,2.000,2.000,69.750,,0.038914,0.006,0.006,0.019,0.019,0.006
59192,2001/01/17,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,69.000,72.250,69.812,955500.000,-0.027003,,,174815.000,2.000,2.000,72.000,,-0.027003,0.004,0.004,0.013,0.013,0.002
59192,2001/01/18,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,67.750,70.375,70.312,1435700.000,0.007162,,,174815.000,2.000,2.000,69.500,,0.007162,0.012,0.012,0.009,0.008,0.014
59192,2001/01/19,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,68.375,70.188,68.688,745300.000,-0.023111,,,174815.000,2.000,2.000,69.812,,-0.023111,-0.004,-0.004,0.004,0.004,-0.004
59192,2001/01/22,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,69.062,72.188,71.938,920100.000,0.047316,,,174815.000,2.000,2.000,69.125,,0.047316,0.000,0.000,0.005,0.005,0.000
59192,2001/01/23,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,68.750,73.500,73.375,1844700.000,0.019983,,,174815.000,2.000,2.000,70.812,,0.019983,0.016,0.016,0.015,0.015,0.013
59192,2001/01/24,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,72.625,74.688,73.812,995300.000,0.005963,,,174815.000,2.000,2.000,73.000,,0.005963,0.003,0.003,0.007,0.007,0.003
59192,2001/01/25,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.438,74.938,74.938,923200.000,0.015241,,,174815.000,2.000,2.000,73.562,,0.015241,-0.008,-0.008,-0.003,-0.003,-0.005
59192,2001/01/26,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.000,74.938,73.562,534200.000,-0.018349,,,174815.000,2.000,2.000,74.938,,-0.018349,-0.001,-0.001,0.002,0.002,-0.002
59192,2001/01/29,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,72.700,74.100,72.740,567800.000,-0.011181,,,174815.000,2.000,2.000,73.310,,-0.011181,0.009,0.009,0.010,0.010,0.007
59192,2001/01/30,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,71.250,73.970,73.640,655100.000,0.012373,,,174815.000,2.000,2.000,73.240,,0.012373,0.007,0.007,0.010,0.009,0.007
59192,2001/01/31,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,0.000,,,,,,,,,,,,,5.000,2.000,7.000,1.000,71.590,73.790,72.000,867600.000,-0.022270,,,174815.000,2.000,2.000,73.790,,-0.022270,-0.007,-0.007,-0.000,-0.000,-0.006
59192,2001/02/01,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,72.050,73.000,73.000,1101100.000,0.013889,,,174815.000,2.000,2.000,72.750,,0.013889,0.004,0.004,0.002,0.002,0.005
59192,2001/02/02,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,72.690,74.090,73.700,1169500.000,0.009589,,,174815.000,2.000,2.000,73.000,,0.009589,-0.019,-0.019,-0.009,-0.009,-0.017
59192,2001/02/05,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,74.000,75.800,75.560,881100.000,0.025237,,,174815.000,2.000,2.000,74.000,,0.025237,0.002,0.002,-0.004,-0.004,0.004
59192,2001/02/06,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.000,75.700,74.000,793300.000,-0.020646,,,174815.000,2.000,2.000,75.650,,-0.020646,0.000,0.000,0.002,0.002,-0.002
59192,2001/02/07,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.810,75.870,75.610,1384500.000,0.021757,,,174815.000,2.000,2.000,74.000,,0.021757,-0.009,-0.009,-0.004,-0.004,-0.008
59192,2001/02/08,,11,1,6331,17123210,CB,CHUBB CORP,,,,N,A,R,900,1153,1,6331,17123210,,,,,,,,,,,,,,,,,,,,,,,,,73.710,76.030,75.070,950500.000,-0.007142,,,174815.000,2.000,2.000,75.500,,-0.007142,-0.006,-0.007,-0.003,-0.003,-0.006
