PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90199,2004/06/10,2004/07/19,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,2.000,65.000,653.000,,,,,,,,,,,,,,,18.100,19.010,18.350,11699200.000,C,18.360,18.350,68614.000,3.000,3.000,19.000,,C,0.004,0.004,0.001,0.001,0.005
90199,2004/06/14,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.160,18.380,18.200,771200.000,-0.008174,18.200,18.210,68614.000,3.000,3.000,18.250,,-0.008174,-0.011,-0.011,-0.013,-0.014,-0.010
90199,2004/06/15,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.210,18.750,18.750,833200.000,0.030220,18.700,18.750,68614.000,3.000,3.000,18.210,,0.030220,0.008,0.008,0.009,0.009,0.006
90199,2004/06/16,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.750,19.100,19.000,936700.000,0.013333,19.000,19.050,68614.000,3.000,3.000,18.750,,0.013333,0.001,0.001,0.002,0.002,0.001
90199,2004/06/17,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.800,19.100,19.050,463400.000,0.002632,19.050,19.080,68614.000,3.000,3.000,19.060,,0.002632,-0.000,-0.000,-0.000,-0.000,-0.001
90199,2004/06/18,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.190,19.030,236100.000,-0.001050,19.020,19.060,68614.000,3.000,3.000,19.050,,-0.001050,0.002,0.002,-0.000,-0.000,0.003
90199,2004/06/21,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.900,19.100,19.090,169500.000,0.003153,19.020,19.100,68614.000,3.000,3.000,18.990,,0.003153,-0.004,-0.004,-0.002,-0.002,-0.004
90199,2004/06/22,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.900,19.090,19.060,375300.000,-0.001572,19.000,19.090,68614.000,3.000,3.000,18.990,,-0.001572,0.004,0.004,0.003,0.003,0.004
90199,2004/06/23,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.470,18.890,18.890,344500.000,-0.008919,18.750,18.890,68614.000,3.000,3.000,18.850,,-0.008919,0.009,0.009,0.008,0.008,0.009
90199,2004/06/24,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.750,19.050,19.000,285900.000,0.005823,19.000,19.040,68614.000,3.000,3.000,18.800,,0.005823,-0.002,-0.002,0.001,0.001,-0.003
90199,2004/06/25,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.750,19.050,19.000,269700.000,0.000000,19.000,19.090,68614.000,3.000,3.000,19.000,,0.000000,-0.002,-0.002,0.004,0.004,-0.005
90199,2004/06/28,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.650,19.070,19.000,394800.000,0.000000,19.000,19.030,68614.000,3.000,3.000,18.750,,0.000000,-0.002,-0.003,-0.003,-0.003,-0.001
90199,2004/06/29,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.100,19.100,202900.000,0.005263,19.050,19.100,68614.000,3.000,3.000,19.000,,0.005263,0.003,0.003,0.004,0.004,0.003
90199,2004/06/30,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,0.000,65.000,653.000,,,,,,,,,,,,,,,19.040,19.200,19.100,184200.000,0.000000,19.100,19.110,68614.000,3.000,3.000,19.050,,0.000000,0.005,0.005,0.007,0.007,0.004
90199,2004/07/01,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.150,19.100,126700.000,0.000000,19.080,19.100,68614.000,3.000,3.000,19.050,,0.000000,-0.010,-0.010,-0.008,-0.008,-0.010
90199,2004/07/02,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.800,19.150,19.150,82200.000,0.002618,19.100,19.190,68614.000,3.000,3.000,19.050,,0.002618,-0.002,-0.002,0.001,0.001,-0.003
90199,2004/07/06,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.100,19.090,45700.000,-0.003133,19.020,19.090,68614.000,3.000,3.000,19.060,,-0.003133,-0.009,-0.009,-0.011,-0.011,-0.008
90199,2004/07/07,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.050,19.050,60400.000,-0.002095,19.050,19.060,68614.000,3.000,3.000,19.020,,-0.002095,0.002,0.002,0.001,0.000,0.002
90199,2004/07/08,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.010,19.090,19.050,63500.000,0.000000,19.040,19.070,68614.000,3.000,3.000,19.090,,0.000000,-0.009,-0.009,-0.012,-0.012,-0.008
90199,2004/07/09,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.070,19.000,75500.000,-0.002625,19.000,19.020,68614.000,3.000,3.000,19.050,,-0.002625,0.003,0.003,0.003,0.003,0.003
90199,2004/07/12,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.910,19.050,18.910,58900.000,-0.004737,18.910,18.940,68614.000,3.000,3.000,19.000,,-0.004737,0.000,0.000,-0.003,-0.003,0.001
90199,2004/07/13,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.780,19.060,19.060,192700.000,0.007932,19.030,19.060,68614.000,3.000,3.000,18.850,,0.007932,0.001,0.000,-0.001,-0.001,0.001
90199,2004/07/14,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.970,19.120,19.100,101200.000,0.002099,19.040,19.100,68614.000,3.000,3.000,19.020,,0.002099,-0.003,-0.003,-0.004,-0.004,-0.003
90199,2004/07/15,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.910,19.050,19.050,104300.000,-0.002618,19.000,19.010,68614.000,3.000,3.000,19.030,,-0.002618,-0.003,-0.003,0.000,0.000,-0.004
90199,2004/07/16,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.900,19.080,18.900,89600.000,-0.007874,18.900,18.910,68614.000,3.000,3.000,19.030,,-0.007874,-0.005,-0.005,-0.007,-0.007,-0.005
90199,2004/07/19,,11,1,6500,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.880,19.000,19.000,70900.000,0.005291,18.920,19.010,68614.000,3.000,3.000,18.900,,0.005291,-0.001,-0.001,-0.004,-0.004,-0.000
90199,2004/07/20,2004/08/22,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,2.000,65.000,653.000,,,,,,,,,,,,,,,18.870,19.040,19.000,168400.000,0.000000,19.000,19.020,68614.000,3.000,3.000,18.980,,0.000000,0.007,0.007,0.008,0.008,0.007
90199,2004/07/21,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.970,19.050,19.010,55000.000,0.000526,19.010,19.020,68614.000,3.000,3.000,18.980,,0.000526,-0.014,-0.014,-0.016,-0.016,-0.013
90199,2004/07/22,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.970,19.220,19.220,77000.000,0.011047,19.200,19.240,68614.000,3.000,3.000,19.000,,0.011047,0.001,0.001,-0.004,-0.004,0.003
90199,2004/07/23,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.490,18.900,18.900,518600.000,-0.016649,18.830,18.950,68614.000,3.000,3.000,18.750,,-0.016649,-0.010,-0.010,-0.011,-0.011,-0.010
90199,2004/07/26,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.640,18.780,18.780,140300.000,-0.006349,18.700,18.740,68614.000,3.000,3.000,18.650,,-0.006349,-0.005,-0.005,-0.010,-0.010,-0.002
90199,2004/07/27,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.770,18.840,18.780,37900.000,0.000000,18.780,18.850,68614.000,3.000,3.000,18.770,,0.000000,0.010,0.010,0.010,0.010,0.010
90199,2004/07/28,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.700,18.910,18.860,43700.000,0.004260,18.830,18.890,68614.000,3.000,3.000,18.760,,0.004260,-0.000,-0.000,-0.002,-0.002,0.001
90199,2004/07/29,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.770,18.900,18.900,30600.000,0.002121,18.880,18.900,68614.000,3.000,3.000,18.770,,0.002121,0.007,0.006,0.010,0.010,0.005
90199,2004/07/30,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,0.000,65.000,653.000,,,,,,,,,,,,,,,18.830,19.040,18.940,357400.000,0.002116,18.930,18.990,68614.000,3.000,3.000,18.900,,0.002116,0.001,0.001,0.006,0.006,0.001
90199,2004/08/02,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.850,19.040,19.020,67700.000,0.004224,19.010,19.020,68614.000,3.000,3.000,18.890,,0.004224,0.004,0.004,-0.001,-0.001,0.004
90199,2004/08/03,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.220,19.170,74300.000,0.007886,19.170,19.210,68614.000,3.000,3.000,19.020,,0.007886,-0.007,-0.007,-0.007,-0.007,-0.006
90199,2004/08/04,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,18.980,19.100,19.050,128800.000,-0.006260,19.050,19.080,68614.000,3.000,3.000,19.050,,-0.006260,-0.002,-0.002,-0.004,-0.004,-0.001
90199,2004/08/05,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.160,20.000,19.710,381700.000,0.034646,19.710,19.740,68614.000,3.000,3.000,19.500,,0.034646,-0.016,-0.016,-0.012,-0.012,-0.016
90199,2004/08/06,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.300,19.600,19.420,48300.000,-0.014713,19.410,19.420,68614.000,3.000,3.000,19.600,,-0.014713,-0.015,-0.015,-0.015,-0.015,-0.015
90199,2004/08/09,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.070,19.320,19.080,156600.000,-0.017508,19.080,19.120,68614.000,3.000,3.000,19.320,,-0.017508,0.000,0.000,-0.004,-0.004,0.001
90199,2004/08/10,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.000,19.440,19.300,109600.000,0.011530,19.260,19.300,68614.000,3.000,3.000,19.000,,0.011530,0.013,0.013,0.011,0.011,0.013
90199,2004/08/11,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.250,19.440,19.300,46300.000,0.000000,19.270,19.300,68614.000,3.000,3.000,19.350,,0.000000,-0.003,-0.004,-0.006,-0.007,-0.003
90199,2004/08/12,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.250,19.500,19.250,93200.000,-0.002591,19.250,19.290,68614.000,3.000,3.000,19.350,,-0.002591,-0.012,-0.012,-0.012,-0.012,-0.012
90199,2004/08/13,,11,1,6531,12497T10,CBG,C B RICHARD ELLIS GROUP INC,A,CBG,531210,N,A,R,45270,0,1,6531,12504L10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,19.120,19.360,19.200,140100.000,-0.002597,19.200,19.240,68614.000,3.000,3.000,19.350,,-0.002597,0.002,0.002,0.001,0.001,0.001
