PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
93429,2010/06/15,2017/10/17,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,39.000,4.000,32.300,33.750,32.490,17421442.000,C,32.490,32.500,13918.000,1.000,1.000,32.800,80742.000,C,0.024,0.024,0.019,0.019,0.023
93429,2010/06/16,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,41.000,4.000,31.970,32.790,32.070,2198893.000,-0.012927,32.100,32.140,15673.000,1.000,1.000,32.370,11689.000,-0.012927,-0.001,-0.001,-0.002,-0.002,-0.001
93429,2010/06/17,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,42.000,4.000,31.250,32.480,31.500,1487522.000,-0.017774,31.500,31.510,15673.000,1.000,1.000,32.350,7515.000,-0.017774,0.001,0.001,-0.000,-0.000,0.001
93429,2010/06/18,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,,62.000,623.000,,,,,,,,,,,,,,,30.760,31.649,31.010,1149387.000,-0.015556,31.010,31.090,15673.000,1.000,1.000,31.450,5733.000,-0.015556,0.002,0.002,0.003,0.003,0.001
93429,2010/06/21,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,,62.000,623.000,,,,,,,,,,,,,,,31.010,33.000,32.040,1084067.000,0.033215,31.880,32.000,15673.000,1.000,1.000,31.660,5467.000,0.033215,-0.004,-0.004,-0.006,-0.006,-0.004
93429,2010/06/22,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,43.000,4.000,31.810,33.150,32.690,1030186.000,0.020287,32.680,32.700,15673.000,1.000,1.000,32.380,5645.000,0.020287,-0.016,-0.016,-0.014,-0.014,-0.016
93429,2010/06/23,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,42.000,4.000,32.000,33.500,33.480,1052397.000,0.024166,33.470,33.480,15673.000,1.000,1.000,33.000,5812.000,0.024166,-0.003,-0.003,-0.002,-0.002,-0.003
93429,2010/06/24,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,43.000,4.000,32.760,34.180,33.290,1624713.000,-0.005675,33.240,33.350,15673.000,1.000,1.000,33.490,8420.000,-0.005675,-0.016,-0.016,-0.012,-0.012,-0.017
93429,2010/06/25,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,42.000,4.000,32.070,33.350,32.070,657745.000,-0.036648,32.070,32.150,15673.000,1.000,1.000,33.300,3658.000,-0.036648,0.006,0.006,0.010,0.010,0.003
93429,2010/06/28,,11,3,9999,12503M10,CBOE,C B O E HOLDINGS INC,,CBOE,523210,Q,A,R,53447,66182,5,6231,12503M10,,,,,,,,0.000,62.000,623.000,,,,,,,,,,,1.000,6.000,44.000,4.000,31.760,33.050,32.780,731088.000,0.022139,32.780,32.850,15673.000,1.000,1.000,32.470,3776.000,0.022139,-0.003,-0.003,-0.005,-0.005,-0.002
