PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
16048,2018/11/07,2018/12/31,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,2.000,20.000,208.000,,,,,,,,,,,,,,,46.690,47.750,47.260,1200960.000,0.011558,47.260,47.300,486108.000,1.000,1.000,47.080,,0.011558,0.019,0.019,0.011,0.011,0.021
16048,2018/11/08,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,2018/10/25,,,,,2018/11/20,2018/11/09,2.000,20.000,208.000,1232.000,0.320,0.000,0.000,,,,,,,,,,,46.480,47.560,47.500,1071981.000,0.011849,47.470,47.490,486108.000,1.000,1.000,46.540,,0.005078,-0.003,-0.003,-0.003,-0.003,-0.003
16048,2018/11/09,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.070,48.000,47.950,1404810.000,0.009474,47.920,47.940,486108.000,1.000,1.000,47.200,,0.009474,-0.010,-0.010,-0.012,-0.013,-0.009
16048,2018/11/12,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.550,48.190,47.930,1441550.000,-0.000417,47.910,47.920,486108.000,1.000,1.000,47.600,,-0.000417,-0.019,-0.019,-0.016,-0.016,-0.020
16048,2018/11/13,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.680,48.200,48.010,1273695.000,0.001669,47.990,48.000,486108.000,1.000,1.000,47.970,,0.001669,-0.001,-0.001,-0.002,-0.002,-0.001
16048,2018/11/14,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.970,48.481,48.330,1691975.000,0.006665,48.310,48.320,486108.000,1.000,1.000,48.100,,0.006665,-0.007,-0.007,-0.006,-0.006,-0.008
16048,2018/11/15,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.990,48.555,48.400,1253945.000,0.001448,48.390,48.400,486108.000,1.000,1.000,47.990,,0.001448,0.011,0.011,0.008,0.008,0.011
16048,2018/11/16,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,48.405,49.430,49.170,1082307.000,0.015909,49.170,49.180,486108.000,1.000,1.000,48.520,,0.015909,0.002,0.002,0.000,0.000,0.002
16048,2018/11/19,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,48.710,49.400,48.850,1380871.000,-0.006508,48.840,48.850,486108.000,1.000,1.000,49.190,,-0.006508,-0.017,-0.017,-0.013,-0.013,-0.017
16048,2018/11/20,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.895,48.670,48.000,1623564.000,-0.017400,47.980,48.000,486108.000,1.000,1.000,48.250,,-0.017400,-0.018,-0.018,-0.016,-0.016,-0.018
16048,2018/11/21,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.810,48.565,48.500,1899862.000,0.010417,48.500,48.510,486108.000,1.000,1.000,47.840,,0.010417,0.006,0.006,0.012,0.011,0.003
16048,2018/11/23,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.960,48.950,48.880,612166.000,0.007835,48.830,48.840,486108.000,1.000,1.000,48.060,,0.007835,-0.006,-0.006,-0.001,-0.001,-0.007
16048,2018/11/26,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,48.450,49.160,48.660,1877380.000,-0.004501,48.590,48.600,486108.000,1.000,1.000,48.840,,-0.004501,0.015,0.015,0.005,0.005,0.016
16048,2018/11/27,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,48.200,48.610,48.440,1690345.000,-0.004521,48.440,48.450,486108.000,1.000,1.000,48.450,,-0.004521,0.001,0.000,-0.005,-0.005,0.003
16048,2018/11/28,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.930,49.110,49.090,1759167.000,0.013419,49.070,49.080,486108.000,1.000,1.000,48.130,,0.013419,0.022,0.022,0.016,0.016,0.023
16048,2018/11/29,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,48.620,49.260,48.730,1206800.000,-0.007333,48.690,48.700,486108.000,1.000,1.000,48.700,,-0.007333,-0.002,-0.002,-0.000,-0.000,-0.002
16048,2018/11/30,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,0.000,20.000,208.000,,,,,,,,,,,,,,,48.100,48.690,48.540,3009158.000,-0.003899,48.530,48.540,486108.000,1.000,1.000,48.690,,-0.003899,0.007,0.007,0.001,0.001,0.008
16048,2018/12/03,,12,1,2086,G2583910,CCEP,COCA COLA EUROPEAN PARTNERS PLC,,CCEP,312111,N,A,R,55559,0,1,2086,G2583910,,,,,,,,,20.000,208.000,,,,,,,,,,,,,,,47.590,48.480,47.620,1851612.000,-0.018953,47.620,47.650,486108.000,1.000,1.000,48.420,,-0.018953,0.011,0.011,0.010,0.010,0.011
