PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86339,2001/04/25,2002/01/01,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,2.000,48.000,481.000,,,,,,,,,,,5.000,2.000,0.000,1.000,20.500,21.500,21.500,234100.000,0.052374,,,213363.000,1.000,1.000,20.500,,0.052374,0.016,0.016,0.012,0.011,0.016
86339,2001/04/26,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,21.400,22.600,22.560,420300.000,0.049302,,,213363.000,1.000,1.000,21.400,,0.049302,0.005,0.005,0.008,0.007,0.005
86339,2001/04/27,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,22.350,23.750,23.560,367000.000,0.044326,,,213363.000,1.000,1.000,22.360,,0.044326,0.014,0.014,0.011,0.011,0.015
86339,2001/04/30,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,48.000,481.000,,,,,,,,,,,5.000,2.000,0.000,1.000,23.650,25.760,24.490,951300.000,0.039474,,,213363.000,1.000,1.000,23.810,,0.039474,0.001,0.001,0.010,0.010,-0.003
86339,2001/05/01,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,23.160,24.500,23.750,659800.000,-0.030216,,,213363.000,1.000,1.000,24.500,,-0.030216,0.013,0.013,0.010,0.010,0.014
86339,2001/05/02,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,23.700,24.070,23.740,826500.000,-0.000421,,,213363.000,1.000,1.000,24.000,,-0.000421,0.003,0.003,0.012,0.012,0.001
86339,2001/05/03,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,22.670,23.600,22.820,395200.000,-0.038753,,,213363.000,1.000,1.000,23.600,,-0.038753,-0.015,-0.015,-0.005,-0.006,-0.015
86339,2001/05/04,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,21.515,22.500,22.400,688400.000,-0.018405,,,213363.000,1.000,1.000,22.400,,-0.018405,0.014,0.014,0.011,0.011,0.014
86339,2001/05/07,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,21.850,22.750,21.850,258900.000,-0.024554,,,213363.000,1.000,1.000,22.650,,-0.024554,-0.003,-0.003,0.001,0.001,-0.002
86339,2001/05/08,,11,1,4899,22822710,CCI,CROWN CASTLE INTERNATIONAL CORP,,,,N,A,R,16268,21751,1,4812,22822V10,,,,,,,,,48.000,481.000,,,,,,,,,,,,,,,19.550,21.410,20.200,1023300.000,-0.075515,,,213363.000,1.000,1.000,21.400,,-0.075515,-0.001,-0.001,0.005,0.005,-0.002
