PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
25487,2001/01/02,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,9.625,10.000,9.625,2903900.000,0.000000,9.500,9.750,728704.000,0.659,0.100,9.750,,0.000000,-0.034,-0.034,-0.001,-0.001,-0.028
25487,2001/01/03,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,9.812,11.562,11.312,10060800.000,0.175325,11.188,11.438,728704.000,0.659,0.100,9.812,,0.175325,0.053,0.053,0.046,0.046,0.050
25487,2001/01/04,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,11.000,11.812,11.312,7668600.000,0.000000,11.188,11.875,728704.000,0.659,0.100,11.250,,0.000000,-0.012,-0.012,0.011,0.011,-0.011
25487,2001/01/05,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,10.875,11.688,11.250,4994200.000,-0.005525,11.125,11.375,728704.000,0.659,0.100,11.625,,-0.005525,-0.029,-0.029,-0.009,-0.009,-0.026
25487,2001/01/08,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,10.875,11.625,11.000,5183500.000,-0.022222,10.875,11.250,728704.000,0.659,0.100,11.312,,-0.022222,-0.003,-0.004,-0.005,-0.005,-0.002
25487,2001/01/09,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,11.000,11.375,11.188,4338600.000,0.017045,11.062,11.312,728704.000,0.659,0.100,11.062,,0.017045,0.005,0.005,0.012,0.012,0.004
25487,2001/01/10,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,11.125,11.688,11.625,3079000.000,0.039106,11.500,11.750,728704.000,0.659,0.100,11.250,,0.039106,0.014,0.014,0.021,0.020,0.010
25487,2001/01/11,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,11.375,11.938,11.875,2861700.000,0.021505,11.750,12.000,728704.000,0.659,0.100,11.438,,0.021505,0.015,0.015,0.027,0.027,0.010
25487,2001/01/12,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,11.750,12.500,12.500,4867000.000,0.052632,12.375,12.625,728704.000,0.659,0.100,11.875,,0.052632,-0.004,-0.004,0.019,0.019,-0.006
25487,2001/01/16,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.062,12.438,12.375,2301800.000,-0.010000,12.250,12.500,728704.000,0.659,0.100,12.312,,-0.010000,0.006,0.006,0.019,0.019,0.006
25487,2001/01/17,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.312,12.938,12.812,4810500.000,0.035354,12.688,12.938,728704.000,0.659,0.100,12.375,,0.035354,0.004,0.004,0.013,0.013,0.002
25487,2001/01/18,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.438,14.000,13.375,8923000.000,0.043902,13.250,13.500,728704.000,0.659,0.100,12.438,,0.043902,0.012,0.012,0.009,0.008,0.014
25487,2001/01/19,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.812,13.375,13.062,4896700.000,-0.023364,12.688,13.188,728704.000,0.659,0.100,13.312,,-0.023364,-0.004,-0.004,0.004,0.004,-0.004
25487,2001/01/22,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.562,13.125,12.875,3125900.000,-0.014354,,,728704.000,0.659,0.100,12.875,,-0.014354,0.000,0.000,0.005,0.005,0.000
25487,2001/01/23,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.812,13.250,13.188,3241100.000,0.024272,13.062,13.312,728704.000,0.659,0.100,12.875,,0.024272,0.016,0.016,0.015,0.015,0.013
25487,2001/01/24,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,13.125,13.625,13.250,4499300.000,0.004739,13.125,13.375,728704.000,0.659,0.100,13.250,,0.004739,0.003,0.003,0.007,0.007,0.003
25487,2001/01/25,,11,1,7299,15131310,CD,CENDANT CORP,,,,N,A,R,6391,53938,3,6531,05377410,,,,,,,,,,,,,,,,,,,,,,,,,12.875,13.688,13.000,4230200.000,-0.018868,12.500,13.125,728704.000,0.659,0.100,13.375,,-0.018868,-0.008,-0.008,-0.003,-0.003,-0.005
