PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
18729,2001/01/02,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,62.420,64.400,62.500,1617000.000,-0.031758,62.000,63.000,574377.000,2.000,2.000,63.350,,-0.031758,-0.034,-0.034,-0.001,-0.001,-0.028
18729,2001/01/03,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,59.400,64.750,60.110,2550000.000,-0.038240,59.610,60.610,574377.000,2.000,2.000,64.750,,-0.038240,0.053,0.053,0.046,0.046,0.050
18729,2001/01/04,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,55.750,60.500,55.920,4349700.000,-0.069706,56.000,56.420,574377.000,2.000,2.000,60.500,,-0.069706,-0.012,-0.012,0.011,0.011,-0.011
18729,2001/01/05,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,56.790,58.450,57.600,2255300.000,0.030043,57.120,58.080,574377.000,2.000,2.000,56.900,,0.030043,-0.029,-0.029,-0.009,-0.009,-0.026
18729,2001/01/08,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,57.610,59.300,58.860,2342000.000,0.021875,58.360,59.360,574377.000,2.000,2.000,57.610,,0.021875,-0.003,-0.004,-0.005,-0.005,-0.002
18729,2001/01/09,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,57.950,60.150,59.950,2455400.000,0.018519,59.450,60.450,574377.000,2.000,2.000,59.250,,0.018519,0.005,0.005,0.012,0.012,0.004
18729,2001/01/10,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,58.550,59.730,59.160,1485200.000,-0.013178,59.000,59.660,574377.000,2.000,2.000,59.600,,-0.013178,0.014,0.014,0.021,0.020,0.010
18729,2001/01/11,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,57.900,59.300,58.160,1711600.000,-0.016903,57.660,58.660,574377.000,2.000,2.000,59.300,,-0.016903,0.015,0.015,0.027,0.027,0.010
18729,2001/01/12,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,57.100,58.850,57.900,1428400.000,-0.004470,57.420,58.380,574377.000,2.000,2.000,58.160,,-0.004470,-0.004,-0.004,0.019,0.019,-0.006
18729,2001/01/16,,11,1,2844,19416210,CL,COLGATE PALMOLIVE CO,,,,N,A,R,20473,0,1,2844,19416210,,,,,,,,,,,,,,,,,,,,,,,,,57.000,58.450,57.900,1515100.000,0.000000,57.550,58.150,574377.000,2.000,2.000,57.900,,0.000000,0.006,0.006,0.019,0.019,0.006
