PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
25081,2001/01/02,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,58.750,60.375,58.750,1102700.000,-0.010526,,,156742.000,1.000,1.000,59.375,,-0.010526,-0.034,-0.034,-0.001,-0.001,-0.028
25081,2001/01/03,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,57.750,60.938,60.750,1252600.000,0.034043,,,156742.000,1.000,1.000,58.750,,0.034043,0.053,0.053,0.046,0.046,0.050
25081,2001/01/04,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,60.688,63.625,62.375,1193000.000,0.026749,,,156742.000,1.000,1.000,60.750,,0.026749,-0.012,-0.012,0.011,0.011,-0.011
25081,2001/01/05,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,60.000,62.375,60.812,1132500.000,-0.025050,,,156742.000,1.000,1.000,62.375,,-0.025050,-0.029,-0.029,-0.009,-0.009,-0.026
25081,2001/01/08,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,58.875,61.312,60.250,767600.000,-0.009250,,,156742.000,1.000,1.000,61.312,,-0.009250,-0.003,-0.004,-0.005,-0.005,-0.002
25081,2001/01/09,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,59.375,60.938,59.438,933700.000,-0.013485,,,156742.000,1.000,1.000,60.375,,-0.013485,0.005,0.005,0.012,0.012,0.004
25081,2001/01/10,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,57.688,60.688,59.688,1408500.000,0.004206,,,156742.000,1.000,1.000,58.000,,0.004206,0.014,0.014,0.021,0.020,0.010
25081,2001/01/11,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,58.938,60.938,59.375,965400.000,-0.005236,,,156742.000,1.000,1.000,59.500,,-0.005236,0.015,0.015,0.027,0.027,0.010
25081,2001/01/12,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,56.875,59.375,57.500,948300.000,-0.031579,,,156742.000,1.000,1.000,59.375,,-0.031579,-0.004,-0.004,0.019,0.019,-0.006
25081,2001/01/16,,11,1,6021,20034010,CMA,COMERICA INC,,,,N,A,R,1261,1617,1,6021,20034010,,,,,,,,,,,,,,,,,,,,,,,,,56.750,59.125,58.312,1169000.000,0.014130,,,156742.000,1.000,1.000,57.500,,0.014130,0.006,0.006,0.019,0.019,0.006
