PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
91068,2006/01/26,2006/02/06,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,2.000,58.000,581.000,,,,,,,,,,,,,,,39.510,48.280,44.000,13219400.000,C,43.650,43.700,7879.000,1.000,1.000,45.000,,C,0.008,0.008,0.009,0.009,0.007
91068,2006/01/27,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,41.750,44.900,42.200,1150800.000,-0.040909,42.000,42.230,7879.000,1.000,1.000,44.880,,-0.040909,0.007,0.007,0.005,0.005,0.008
91068,2006/01/30,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,41.250,45.510,44.800,736200.000,0.061611,45.250,45.400,7879.000,1.000,1.000,42.200,,0.061611,0.002,0.002,0.003,0.003,0.001
91068,2006/01/31,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,0.000,58.000,581.000,,,,,,,,,,,,,,,45.380,49.300,47.520,1111200.000,0.060714,47.510,47.700,7879.000,1.000,1.000,45.500,,0.060714,-0.002,-0.002,0.003,0.003,-0.004
91068,2006/02/01,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,45.250,49.240,46.560,606700.000,-0.020202,46.500,46.560,7879.000,1.000,1.000,48.900,,-0.020202,0.001,0.001,0.002,0.002,0.002
91068,2006/02/02,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,44.260,47.910,44.750,403800.000,-0.038875,44.650,44.830,7879.000,1.000,1.000,47.900,,-0.038875,-0.008,-0.009,-0.006,-0.006,-0.009
91068,2006/02/03,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,44.250,46.560,46.550,245300.000,0.040223,46.250,46.490,7879.000,1.000,1.000,44.850,,0.040223,-0.005,-0.005,-0.002,-0.002,-0.005
91068,2006/02/06,,11,1,5810,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,46.000,48.000,47.710,350000.000,0.024919,47.630,47.710,7879.000,1.000,1.000,47.480,,0.024919,0.002,0.002,0.003,0.003,0.001
91068,2006/02/07,2009/12/21,11,1,5812,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,722110,N,A,R,50184,0,1,5812,16965610,,,,,,,,2.000,58.000,581.000,,,,,,,,,,,,,,,45.250,47.750,46.280,267200.000,-0.029973,46.100,46.200,7879.000,1.000,1.000,47.710,,-0.029973,-0.010,-0.010,-0.009,-0.009,-0.008
91068,2006/02/08,,11,1,5812,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,722110,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,45.040,46.600,45.740,174400.000,-0.011668,45.730,45.740,7879.000,1.000,1.000,45.850,,-0.011668,0.007,0.006,0.004,0.003,0.009
91068,2006/02/09,,11,1,5812,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,722110,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,43.080,46.000,44.050,220300.000,-0.036948,43.980,44.050,7879.000,1.000,1.000,45.780,,-0.036948,-0.002,-0.002,0.000,0.000,-0.001
91068,2006/02/10,,11,1,5812,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,A,CMG,722110,N,A,R,50184,0,1,5812,16965610,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,41.500,43.260,42.310,375500.000,-0.039501,42.200,42.270,7879.000,1.000,1.000,43.250,,-0.039501,0.001,0.001,-0.001,-0.002,0.003
