PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84363,2001/01/02,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,11.875,13.000,12.875,51600.000,0.084211,12.688,13.000,16822.000,1.000,1.000,11.875,,0.084211,-0.034,-0.034,-0.001,-0.001,-0.028
84363,2001/01/03,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,12.938,14.000,13.938,88000.000,0.082524,13.750,14.125,16822.000,1.000,1.000,12.938,,0.082524,0.053,0.053,0.046,0.046,0.050
84363,2001/01/04,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,13.625,14.250,13.688,69700.000,-0.017937,13.438,13.812,16822.000,1.000,1.000,14.000,,-0.017937,-0.012,-0.012,0.011,0.011,-0.011
84363,2001/01/05,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,13.438,14.000,13.750,46100.000,0.004566,13.500,13.875,16822.000,1.000,1.000,13.688,,0.004566,-0.029,-0.029,-0.009,-0.009,-0.026
84363,2001/01/08,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,13.625,14.375,14.125,55600.000,0.027273,13.875,14.250,16822.000,1.000,1.000,13.625,,0.027273,-0.003,-0.004,-0.005,-0.005,-0.002
84363,2001/01/09,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,13.938,14.375,14.250,27300.000,0.008850,14.000,14.438,16822.000,1.000,1.000,14.125,,0.008850,0.005,0.005,0.012,0.012,0.004
84363,2001/01/10,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,14.000,14.500,14.375,52100.000,0.008772,14.375,14.875,16822.000,1.000,1.000,14.125,,0.008772,0.014,0.014,0.021,0.020,0.010
84363,2001/01/11,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,14.375,14.750,14.562,47800.000,0.013043,14.438,14.750,16822.000,1.000,1.000,14.500,,0.013043,0.015,0.015,0.027,0.027,0.010
84363,2001/01/12,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,14.625,14.875,14.750,28900.000,0.012876,14.500,14.875,16822.000,1.000,1.000,14.812,,0.012876,-0.004,-0.004,0.019,0.019,-0.006
84363,2001/01/16,,71,1,1321,21891610,CNO,CORNERSTONE PROPANE PARTNERS LP,,,,N,A,R,31820,0,1,1321,21891610,,,,,,,,,,,,,,,,,,,,,,,,,14.500,14.875,14.750,26400.000,0.000000,14.438,14.875,16822.000,1.000,1.000,14.875,,0.000000,0.006,0.006,0.019,0.019,0.006
