PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
67467,2001/01/02,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,10.375,10.812,10.625,266700.000,0.000000,,,111688.000,1.000,1.000,10.688,,0.000000,-0.034,-0.034,-0.001,-0.001,-0.028
67467,2001/01/03,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,10.562,11.250,11.188,246700.000,0.052941,,,111688.000,1.000,1.000,10.625,,0.052941,0.053,0.053,0.046,0.046,0.050
67467,2001/01/04,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,10.875,11.938,11.812,405100.000,0.055866,,,111688.000,1.000,1.000,11.250,,0.055866,-0.012,-0.012,0.011,0.011,-0.011
67467,2001/01/05,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.875,12.250,11.875,766400.000,0.005291,,,111688.000,1.000,1.000,11.875,,0.005291,-0.029,-0.029,-0.009,-0.009,-0.026
67467,2001/01/08,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.875,12.188,12.062,945400.000,0.015789,,,111688.000,1.000,1.000,11.938,,0.015789,-0.003,-0.004,-0.005,-0.005,-0.002
67467,2001/01/09,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.875,12.062,12.000,312900.000,-0.005181,,,111688.000,1.000,1.000,11.938,,-0.005181,0.005,0.005,0.012,0.012,0.004
67467,2001/01/10,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.625,12.000,11.688,282400.000,-0.026042,,,111688.000,1.000,1.000,12.000,,-0.026042,0.014,0.014,0.021,0.020,0.010
67467,2001/01/11,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.438,11.750,11.438,346600.000,-0.021390,,,111688.000,1.000,1.000,11.625,,-0.021390,0.015,0.015,0.027,0.027,0.010
67467,2001/01/12,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.250,11.562,11.312,293000.000,-0.010929,,,111688.000,1.000,1.000,11.500,,-0.010929,-0.004,-0.004,0.019,0.019,-0.006
67467,2001/01/16,,11,1,5331,21014910,CNS,CONSOLIDATED STORES CORP,,,,N,A,R,20505,0,1,5331,08930210,,,,,,,,,,,,,,,,,,,,,,,,,11.062,11.688,11.688,208600.000,0.033149,,,111688.000,1.000,1.000,11.438,,0.033149,0.006,0.006,0.019,0.019,0.006
