PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86799,2001/01/02,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,25.688,27.812,27.500,284300.000,-0.015660,,,78577.000,2.430,2.000,27.750,,-0.015660,-0.034,-0.034,-0.001,-0.001,-0.028
86799,2001/01/03,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,25.188,27.250,26.312,196500.000,-0.043182,26.125,26.562,78577.000,2.430,2.000,27.250,,-0.043182,0.053,0.053,0.046,0.046,0.050
86799,2001/01/04,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,25.688,27.188,26.750,177100.000,0.016627,26.562,26.938,78577.000,2.430,2.000,26.250,,0.016627,-0.012,-0.012,0.011,0.011,-0.011
86799,2001/01/05,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.500,27.938,26.625,244100.000,-0.004673,26.500,26.875,78577.000,2.430,2.000,26.500,,-0.004673,-0.029,-0.029,-0.009,-0.009,-0.026
86799,2001/01/08,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,25.375,26.062,25.625,231000.000,-0.037559,25.438,25.750,78577.000,2.430,2.000,26.062,,-0.037559,-0.003,-0.004,-0.005,-0.005,-0.002
86799,2001/01/09,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,24.875,27.438,26.562,158100.000,0.036585,26.500,26.688,78577.000,2.430,2.000,25.438,,0.036585,0.005,0.005,0.012,0.012,0.004
86799,2001/01/10,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.000,28.438,28.438,265600.000,0.070588,28.188,28.562,78577.000,2.430,2.000,26.312,,0.070588,0.014,0.014,0.021,0.020,0.010
86799,2001/01/11,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.938,31.125,29.438,497500.000,0.035165,29.188,29.500,78577.000,2.430,2.000,28.438,,0.035165,0.015,0.015,0.027,0.027,0.010
86799,2001/01/12,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.250,29.812,27.250,198800.000,-0.074310,26.938,27.438,78577.000,2.430,2.000,29.438,,-0.074310,-0.004,-0.004,0.019,0.019,-0.006
86799,2001/01/16,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.188,28.000,27.812,378100.000,0.020642,27.562,27.875,78577.000,2.430,2.000,26.875,,0.020642,0.006,0.006,0.019,0.019,0.006
86799,2001/01/17,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.875,29.500,28.688,190800.000,0.031461,28.438,28.812,78577.000,2.430,2.000,27.875,,0.031461,0.004,0.004,0.013,0.013,0.002
86799,2001/01/18,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.125,29.062,27.562,226000.000,-0.039216,,,78577.000,2.430,2.000,28.750,,-0.039216,0.012,0.012,0.009,0.008,0.014
86799,2001/01/19,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.000,27.812,27.188,78500.000,-0.013605,27.125,27.312,78577.000,2.430,2.000,27.562,,-0.013605,-0.004,-0.004,0.004,0.004,-0.004
86799,2001/01/22,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,25.875,27.250,26.938,122000.000,-0.009195,26.750,27.062,78577.000,2.430,2.000,27.250,,-0.009195,0.000,0.000,0.005,0.005,0.000
86799,2001/01/23,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.750,27.500,26.812,165100.000,-0.004640,26.688,26.938,78577.000,2.430,2.000,27.000,,-0.004640,0.016,0.016,0.015,0.015,0.013
86799,2001/01/24,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.812,28.750,28.312,126800.000,0.055944,28.188,28.438,78577.000,2.430,2.000,26.812,,0.055944,0.003,0.003,0.007,0.007,0.003
86799,2001/01/25,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.625,28.438,27.750,80400.000,-0.019868,27.688,27.875,78577.000,2.430,2.000,28.250,,-0.019868,-0.008,-0.008,-0.003,-0.003,-0.005
86799,2001/01/26,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,27.500,28.188,27.500,101500.000,-0.009009,27.312,27.625,78577.000,2.430,2.000,28.000,,-0.009009,-0.001,-0.001,0.002,0.002,-0.002
86799,2001/01/29,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.800,27.500,26.800,74500.000,-0.025455,26.790,26.960,78577.000,2.430,2.000,27.500,,-0.025455,0.009,0.009,0.010,0.010,0.007
86799,2001/01/30,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,25.940,26.800,26.020,108800.000,-0.029104,25.870,27.000,78577.000,2.430,2.000,26.800,,-0.029104,0.007,0.007,0.010,0.009,0.007
86799,2001/01/31,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,0.000,,,,,,,,,,,,,,,,,26.220,27.250,26.810,192200.000,0.030361,,,78577.000,2.430,2.000,26.220,,0.030361,-0.007,-0.007,-0.000,-0.000,-0.006
86799,2001/02/01,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,26.500,31.760,30.790,255900.000,0.148452,29.650,31.800,78577.000,2.430,2.000,26.900,,0.148452,0.004,0.004,0.002,0.002,0.005
86799,2001/02/02,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,30.100,31.250,30.600,262700.000,-0.006171,29.500,31.100,78577.000,2.430,2.000,30.790,,-0.006171,-0.019,-0.019,-0.009,-0.009,-0.017
86799,2001/02/05,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,29.930,30.540,30.060,182700.000,-0.017647,,,78577.000,2.430,2.000,30.500,,-0.017647,0.002,0.002,-0.004,-0.004,0.004
86799,2001/02/06,,11,1,1389,20854P10,CNX,CONSOL ENERGY INC,,,,N,A,R,35026,0,1,1221,12653C10,,,,,,,,,,,,,,,,,,,,,,,,,29.850,30.990,30.050,327300.000,-0.000333,,,78577.000,2.430,2.000,30.310,,-0.000333,0.000,0.000,0.002,0.002,-0.002
