PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
88661,2001/01/02,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,26.000,29.000,26.125,150300.000,-0.091304,25.938,26.250,42406.000,8.000,8.000,28.625,,-0.091304,-0.034,-0.034,-0.001,-0.001,-0.028
88661,2001/01/03,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,25.750,26.250,26.062,60900.000,-0.002392,25.938,26.125,42406.000,8.000,8.000,26.000,,-0.002392,0.053,0.053,0.046,0.046,0.050
88661,2001/01/04,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,24.938,26.000,25.000,129000.000,-0.040767,24.812,25.062,42406.000,8.000,8.000,26.000,,-0.040767,-0.012,-0.012,0.011,0.011,-0.011
88661,2001/01/05,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,24.375,25.000,24.375,34300.000,-0.025000,24.312,24.500,42406.000,8.000,8.000,24.875,,-0.025000,-0.029,-0.029,-0.009,-0.009,-0.026
88661,2001/01/08,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,22.000,24.250,22.438,60000.000,-0.079487,22.188,22.500,42406.000,8.000,8.000,24.250,,-0.079487,-0.003,-0.004,-0.005,-0.005,-0.002
88661,2001/01/09,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,22.812,23.625,23.250,88700.000,0.036212,23.062,23.688,42406.000,8.000,8.000,23.000,,0.036212,0.005,0.005,0.012,0.012,0.004
88661,2001/01/10,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,24.875,26.375,25.125,251800.000,0.080645,24.938,25.188,42406.000,8.000,8.000,25.250,,0.080645,0.014,0.014,0.021,0.020,0.010
88661,2001/01/11,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,25.250,27.375,27.250,95000.000,0.084577,26.938,27.438,42406.000,8.000,8.000,25.250,,0.084577,0.015,0.015,0.027,0.027,0.010
88661,2001/01/12,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,26.625,27.500,26.625,72300.000,-0.022936,26.312,27.312,42406.000,8.000,8.000,27.000,,-0.022936,-0.004,-0.004,0.019,0.019,-0.006
88661,2001/01/16,,11,1,3171,18975410,COH,COACH INC,,,,N,A,R,40143,0,1,3199,87603010,,,,,,,,,,,,,,,,,,,,,,,,,26.375,28.750,28.438,33700.000,0.068075,28.188,28.500,42406.000,8.000,8.000,26.375,,0.068075,0.006,0.006,0.019,0.019,0.006
