PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
34841,2001/03/14,2002/01/01,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,2.000,45.000,458.000,,,,,,,,,,,,,,,17.100,17.490,17.410,184100.000,0.012209,,,49640.000,1.000,1.000,17.200,,0.012209,-0.025,-0.025,-0.018,-0.018,-0.026
34841,2001/03/15,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,17.080,17.530,17.300,460100.000,-0.006318,,,49640.000,1.000,1.000,17.300,,-0.006318,0.003,0.003,-0.000,-0.000,0.006
34841,2001/03/16,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.640,17.250,16.740,495600.000,-0.032370,,,49640.000,1.000,1.000,17.200,,-0.032370,-0.021,-0.021,-0.018,-0.018,-0.020
34841,2001/03/19,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.070,16.750,16.500,146100.000,-0.014337,,,49640.000,1.000,1.000,16.740,,-0.014337,0.019,0.019,0.009,0.009,0.018
34841,2001/03/20,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.110,16.730,16.520,149300.000,0.001212,,,49640.000,1.000,1.000,16.670,,0.001212,-0.023,-0.023,-0.008,-0.009,-0.024
34841,2001/03/21,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.260,16.580,16.450,103100.000,-0.004237,,,49640.000,1.000,1.000,16.520,,-0.004237,-0.019,-0.019,-0.016,-0.016,-0.018
34841,2001/03/22,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,15.750,16.600,16.110,212100.000,-0.020669,,,49640.000,1.000,1.000,16.600,,-0.020669,-0.004,-0.005,-0.011,-0.011,-0.004
34841,2001/03/23,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,15.900,16.350,16.290,93500.000,0.011173,,,49640.000,1.000,1.000,16.200,,0.011173,0.020,0.020,0.021,0.021,0.020
34841,2001/03/26,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.290,16.740,16.520,104700.000,0.014119,,,49640.000,1.000,1.000,16.290,,0.014119,0.011,0.011,0.007,0.007,0.011
34841,2001/03/27,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.300,16.750,16.610,207000.000,0.005448,,,49640.000,1.000,1.000,16.570,,0.005448,0.023,0.023,0.009,0.009,0.026
34841,2001/03/28,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.430,16.860,16.520,258300.000,-0.005418,,,49640.000,1.000,1.000,16.750,,-0.005418,-0.026,-0.026,-0.018,-0.018,-0.024
34841,2001/03/29,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.000,16.820,16.140,74000.000,-0.023002,,,49640.000,1.000,1.000,16.520,,-0.023002,-0.005,-0.005,-0.007,-0.007,-0.005
34841,2001/03/30,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,0.000,45.000,458.000,,,,,,,,,,,,,,,16.040,16.800,16.800,251000.000,0.040892,,,49640.000,1.000,1.000,16.040,,0.040892,0.012,0.012,0.016,0.016,0.011
34841,2001/04/02,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.780,17.400,17.010,191400.000,0.012500,,,49640.000,1.000,1.000,16.800,,0.012500,-0.016,-0.016,-0.021,-0.021,-0.012
34841,2001/04/03,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.510,17.150,16.650,248700.000,-0.021164,,,49640.000,1.000,1.000,17.100,,-0.021164,-0.036,-0.036,-0.034,-0.034,-0.034
34841,2001/04/04,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.300,16.650,16.400,205400.000,-0.015015,,,49640.000,1.000,1.000,16.650,,-0.015015,-0.003,-0.003,-0.008,-0.008,-0.003
34841,2001/04/05,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.360,17.090,16.990,132900.000,0.035976,,,49640.000,1.000,1.000,16.450,,0.035976,0.046,0.046,0.039,0.039,0.044
34841,2001/04/06,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.160,16.900,16.300,140700.000,-0.040612,,,49640.000,1.000,1.000,16.900,,-0.040612,-0.020,-0.020,-0.013,-0.013,-0.020
34841,2001/04/09,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.100,16.940,16.590,100800.000,0.017791,,,49640.000,1.000,1.000,16.400,,0.017791,0.009,0.009,0.006,0.006,0.008
34841,2001/04/10,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.300,16.990,16.970,127900.000,0.022905,,,49640.000,1.000,1.000,16.740,,0.022905,0.029,0.029,0.023,0.023,0.027
34841,2001/04/11,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.050,17.000,16.420,226700.000,-0.032410,,,49640.000,1.000,1.000,16.750,,-0.032410,-0.001,-0.001,0.007,0.007,-0.002
34841,2001/04/12,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.400,16.600,16.560,63600.000,0.008526,,,49640.000,1.000,1.000,16.400,,0.008526,0.016,0.016,0.015,0.015,0.015
34841,2001/04/16,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,16.600,17.590,17.590,260100.000,0.062198,,,49640.000,1.000,1.000,16.660,,0.062198,-0.005,-0.005,-0.004,-0.004,-0.003
34841,2001/04/17,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,17.640,18.160,17.900,292300.000,0.017624,,,49640.000,1.000,1.000,17.650,,0.017624,0.010,0.010,0.005,0.005,0.010
34841,2001/04/18,,11,1,4581,22281N10,COV,COVANTA ENERGY CORP,,,,N,A,R,21324,0,1,4581,22281N10,,,,,,,,,45.000,458.000,,,,,,,,,,,,,,,17.550,18.220,17.630,183100.000,-0.015084,,,49640.000,1.000,1.000,18.000,,-0.015084,0.040,0.040,0.029,0.029,0.039
