PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
41080,2001/01/02,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,37.438,38.562,37.750,474000.000,-0.004942,,,41500.000,4.000,4.000,38.188,,-0.004942,-0.034,-0.034,-0.001,-0.001,-0.028
41080,2001/01/03,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,36.875,38.375,38.375,402000.000,0.016556,,,41500.000,4.000,4.000,37.750,,0.016556,0.053,0.053,0.046,0.046,0.050
41080,2001/01/04,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,38.375,40.438,39.812,354300.000,0.037459,,,41500.000,4.000,4.000,38.375,,0.037459,-0.012,-0.012,0.011,0.011,-0.011
41080,2001/01/05,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,38.500,40.062,38.688,299500.000,-0.028257,,,41500.000,4.000,4.000,40.062,,-0.028257,-0.029,-0.029,-0.009,-0.009,-0.026
41080,2001/01/08,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,37.438,38.688,37.750,196000.000,-0.024233,,,41500.000,4.000,4.000,38.250,,-0.024233,-0.003,-0.004,-0.005,-0.005,-0.002
41080,2001/01/09,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,37.312,38.312,37.875,200700.000,0.003311,,,41500.000,4.000,4.000,38.312,,0.003311,0.005,0.005,0.012,0.012,0.004
41080,2001/01/10,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,35.688,37.938,37.562,293200.000,-0.008251,,,41500.000,4.000,4.000,37.938,,-0.008251,0.014,0.014,0.021,0.020,0.010
41080,2001/01/11,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,36.875,38.062,37.250,178900.000,-0.008319,,,41500.000,4.000,4.000,38.062,,-0.008319,0.015,0.015,0.027,0.027,0.010
41080,2001/01/12,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,37.062,37.875,37.812,243900.000,0.015101,,,41500.000,4.000,4.000,37.500,,0.015101,-0.004,-0.004,0.019,0.019,-0.006
41080,2001/01/16,,11,1,3519,23102110,CUM,CUMMINS ENGINE INC,,,,N,A,R,20543,0,1,3519,23102110,,,,,,,,,,,,,,,,,,,,,,,,,37.125,38.688,38.562,211200.000,0.019835,,,41500.000,4.000,4.000,37.812,,0.019835,0.006,0.006,0.019,0.019,0.006
