PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
13267,2012/02/08,2018/12/31,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,30.000,2.000,9.000,17.900,15.390,11441592.000,C,15.260,15.370,125026.000,1.000,1.000,9.060,50663.000,C,0.002,0.002,0.003,0.003,0.002
13267,2012/02/09,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,31.000,2.000,14.120,17.300,14.650,3189002.000,-0.048083,14.640,14.650,125026.000,1.000,1.000,15.180,12116.000,-0.048083,0.001,0.001,0.000,0.000,0.001
13267,2012/02/10,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,14.140,15.350,14.240,901854.000,-0.027986,14.140,14.240,125026.000,1.000,1.000,14.430,3117.000,-0.027986,-0.008,-0.008,-0.010,-0.010,-0.007
13267,2012/02/13,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,32.000,2.000,13.130,14.800,13.160,862202.000,-0.075843,13.160,13.180,125026.000,1.000,1.000,14.510,2653.000,-0.075843,0.007,0.007,0.009,0.009,0.007
13267,2012/02/14,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,33.000,2.000,11.820,13.480,12.590,915746.000,-0.043313,12.590,12.600,125026.000,1.000,1.000,13.230,3366.000,-0.043313,-0.002,-0.002,-0.004,-0.004,-0.001
13267,2012/02/15,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.280,13.190,12.480,410177.000,-0.008737,12.480,12.540,125026.000,1.000,1.000,12.780,1736.000,-0.008737,-0.004,-0.004,-0.003,-0.003,-0.005
13267,2012/02/16,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.320,13.480,12.660,1063071.000,0.014423,12.650,12.750,125026.000,1.000,1.000,12.390,1252.000,0.014423,0.012,0.012,0.011,0.011,0.011
13267,2012/02/17,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.560,13.239,12.560,278311.000,-0.007899,12.600,12.670,125026.000,1.000,1.000,13.000,878.000,-0.007899,0.001,0.001,0.003,0.003,0.002
13267,2012/02/21,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,2.000,12.300,12.760,12.500,343934.000,-0.004777,12.500,12.570,125026.000,1.000,1.000,12.600,1806.000,-0.004777,0.000,0.000,-0.002,-0.002,0.001
13267,2012/02/22,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.000,12.820,12.000,210134.000,-0.040000,12.000,12.050,125026.000,1.000,1.000,12.820,898.000,-0.040000,-0.003,-0.003,-0.004,-0.004,-0.003
13267,2012/02/23,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,35.000,2.000,10.950,12.230,11.400,660329.000,-0.050000,11.370,11.400,125026.000,1.000,1.000,12.050,2290.000,-0.050000,0.006,0.006,0.008,0.008,0.004
13267,2012/02/24,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,2.000,10.770,11.500,10.870,544025.000,-0.046491,10.810,10.870,125026.000,1.000,1.000,11.500,1611.000,-0.046491,0.001,0.001,0.000,0.000,0.002
13267,2012/02/27,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,10.360,10.620,10.360,384608.000,-0.046918,10.360,10.390,125026.000,1.000,1.000,10.420,1427.000,-0.046918,0.001,0.001,-0.001,-0.001,0.001
13267,2012/02/28,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,33.000,2.000,10.360,11.000,10.860,453328.000,0.048263,10.830,10.860,125026.000,1.000,1.000,10.800,1702.000,0.048263,0.003,0.003,0.001,0.000,0.003
13267,2012/02/29,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,2.000,10.900,11.870,11.320,643163.000,0.042357,11.280,11.320,125026.000,1.000,1.000,11.080,2508.000,0.042357,-0.006,-0.006,-0.009,-0.009,-0.005
13267,2012/03/01,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,35.000,2.000,10.930,11.570,11.220,392727.000,-0.008834,11.180,11.220,125026.000,1.000,1.000,11.480,1636.000,-0.008834,0.007,0.007,0.005,0.005,0.006
13267,2012/03/02,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,2.000,10.950,11.330,11.000,199007.000,-0.019608,10.970,11.000,125026.000,1.000,1.000,11.200,725.000,-0.019608,-0.005,-0.005,-0.008,-0.008,-0.003
13267,2012/03/05,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,35.000,2.000,11.000,11.500,11.280,550924.000,0.025455,11.160,11.280,125026.000,1.000,1.000,11.300,2225.000,0.025455,-0.005,-0.005,-0.004,-0.004,-0.004
13267,2012/03/06,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,11.000,11.250,11.190,159542.000,-0.007979,11.170,11.200,125026.000,1.000,1.000,11.100,520.000,-0.007979,-0.017,-0.017,-0.017,-0.017,-0.015
13267,2012/03/07,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,2.000,10.900,11.266,11.180,105976.000,-0.000894,11.140,11.190,125026.000,1.000,1.000,11.240,433.000,-0.000894,0.008,0.008,0.009,0.009,0.007
13267,2012/03/08,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,10.951,11.280,11.010,79795.000,-0.015206,11.010,11.030,125026.000,1.000,1.000,11.240,279.000,-0.015206,0.011,0.011,0.011,0.011,0.010
13267,2012/03/09,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,34.000,2.000,10.990,11.150,11.040,67970.000,0.002725,11.020,11.040,125297.000,1.000,1.000,11.080,304.000,0.002725,0.004,0.004,0.008,0.008,0.004
13267,2012/03/12,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,10.960,11.050,11.050,85618.000,0.000906,11.040,11.050,125297.000,1.000,1.000,11.020,281.000,0.000906,-0.001,-0.001,-0.002,-0.002,0.000
13267,2012/03/13,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,10.970,11.150,11.010,141600.000,-0.003620,10.990,11.000,125297.000,1.000,1.000,11.090,637.000,-0.003620,0.018,0.017,0.014,0.014,0.018
13267,2012/03/14,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,35.000,2.000,11.000,12.880,12.880,1559409.000,0.169846,12.810,12.850,125297.000,1.000,1.000,11.000,5826.000,0.169846,-0.004,-0.004,-0.007,-0.007,-0.001
13267,2012/03/15,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,36.000,2.000,11.880,13.479,12.520,1491011.000,-0.027950,12.510,12.550,125297.000,1.000,1.000,13.120,5711.000,-0.027950,0.007,0.006,0.005,0.005,0.006
13267,2012/03/16,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.280,13.290,12.990,418684.000,0.037540,12.930,12.980,125297.000,1.000,1.000,12.560,1643.000,0.037540,0.001,0.001,0.001,0.001,0.001
13267,2012/03/19,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,0.000,99.000,999.000,,,,,,,,,,,1.000,6.000,35.000,2.000,12.510,13.340,12.930,333853.000,-0.004619,12.890,12.940,125297.000,1.000,1.000,12.890,1576.000,-0.004619,0.004,0.004,0.005,0.005,0.004
13267,2012/03/20,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.611,13.200,12.990,210803.000,0.004640,12.980,12.990,125297.000,1.000,1.000,13.170,996.000,0.004640,-0.005,-0.005,-0.005,-0.005,-0.003
13267,2012/03/21,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.627,13.250,12.700,305069.000,-0.022325,12.700,12.730,125297.000,1.000,1.000,13.250,1263.000,-0.022325,-0.001,-0.001,0.001,0.001,-0.002
13267,2012/03/22,,11,3,9999,12768610,CZR,CAESARS ENTERTAINMENT CORP,,CZR,721120,Q,A,R,53998,69859,3,9999,12768610,,,,,,,,,99.000,999.000,,,,,,,,,,,,,,,12.380,12.610,12.550,163544.000,-0.011811,12.520,12.550,125297.000,1.000,1.000,12.590,578.000,-0.011811,-0.008,-0.008,-0.008,-0.008,-0.007
