PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
78927,2001/01/02,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.312,13.562,13.312,98400.000,0.000000,,,54879.000,0.615,0.500,13.375,,0.000000,-0.034,-0.034,-0.001,-0.001,-0.028
78927,2001/01/03,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.312,13.688,13.625,230000.000,0.023474,,,54879.000,0.615,0.500,13.312,,0.023474,0.053,0.053,0.046,0.046,0.050
78927,2001/01/04,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.500,13.625,13.562,230700.000,-0.004587,,,54879.000,0.615,0.500,13.625,,-0.004587,-0.012,-0.012,0.011,0.011,-0.011
78927,2001/01/05,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.375,13.625,13.375,269400.000,-0.013825,,,54879.000,0.615,0.500,13.625,,-0.013825,-0.029,-0.029,-0.009,-0.009,-0.026
78927,2001/01/08,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.188,13.438,13.375,114600.000,0.000000,,,54879.000,0.615,0.500,13.250,,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
78927,2001/01/09,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.312,13.562,13.438,286700.000,0.004673,,,54879.000,0.615,0.500,13.375,,0.004673,0.005,0.005,0.012,0.012,0.004
78927,2001/01/10,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.375,13.562,13.500,185900.000,0.004651,,,54879.000,0.615,0.500,13.500,,0.004651,0.014,0.014,0.021,0.020,0.010
78927,2001/01/11,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.250,13.500,13.438,140600.000,-0.004630,,,54879.000,0.615,0.500,13.500,,-0.004630,0.015,0.015,0.027,0.027,0.010
78927,2001/01/12,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.250,13.438,13.375,102900.000,-0.004651,,,54879.000,0.615,0.500,13.312,,-0.004651,-0.004,-0.004,0.019,0.019,-0.006
78927,2001/01/16,,18,1,6798,25159110,DDR,DEVELOPERS DIVERSIFIED RLTY CORP,,,,N,A,R,29753,0,1,6798,82981J10,,,,,,,,,,,,,,,,,,,,,,,,,13.250,13.438,13.375,175600.000,0.000000,,,54879.000,0.615,0.500,13.375,,0.000000,0.006,0.006,0.019,0.019,0.006
