PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84373,2001/01/02,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,131.000,139.000,134.938,602800.000,-0.049736,,,46202.000,4.000,4.000,139.000,,-0.049736,-0.034,-0.034,-0.001,-0.001,-0.028
84373,2001/01/03,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,128.562,140.938,139.625,703200.000,0.034738,,,46202.000,4.000,4.000,132.438,,0.034738,0.053,0.053,0.046,0.046,0.050
84373,2001/01/04,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,111.375,137.188,114.000,1118900.000,-0.183527,,,46202.000,4.000,4.000,137.125,,-0.183527,-0.012,-0.012,0.011,0.011,-0.011
84373,2001/01/05,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,104.625,116.875,111.438,987300.000,-0.022478,,,46202.000,4.000,4.000,112.500,,-0.022478,-0.029,-0.029,-0.009,-0.009,-0.026
84373,2001/01/08,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,110.750,117.812,115.750,565400.000,0.038699,,,46202.000,4.000,4.000,110.750,,0.038699,-0.003,-0.004,-0.005,-0.005,-0.002
84373,2001/01/09,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,108.125,120.750,111.000,726800.000,-0.041037,,,46202.000,4.000,4.000,115.812,,-0.041037,0.005,0.005,0.012,0.012,0.004
84373,2001/01/10,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,109.500,117.938,115.125,448100.000,0.037162,,,46202.000,4.000,4.000,109.500,,0.037162,0.014,0.014,0.021,0.020,0.010
84373,2001/01/11,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,109.000,117.500,110.000,572900.000,-0.044517,,,46202.000,4.000,4.000,115.625,,-0.044517,0.015,0.015,0.027,0.027,0.010
84373,2001/01/12,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,102.875,111.750,103.312,567700.000,-0.060795,,,46202.000,4.000,4.000,110.000,,-0.060795,-0.004,-0.004,0.019,0.019,-0.006
84373,2001/01/16,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,100.750,105.000,103.500,963500.000,0.001815,,,46202.000,4.000,4.000,101.125,,0.001815,0.006,0.006,0.019,0.019,0.006
84373,2001/01/17,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,95.688,110.125,96.875,1248700.000,-0.064010,99.000,104.000,46202.000,4.000,4.000,105.000,,-0.064010,0.004,0.004,0.013,0.013,0.002
84373,2001/01/18,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,86.062,97.375,96.750,1608600.000,-0.001290,,,46202.000,4.000,4.000,89.000,,-0.001290,0.012,0.012,0.009,0.008,0.014
84373,2001/01/19,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,94.750,99.750,98.188,577600.000,0.014858,,,46202.000,4.000,4.000,96.812,,0.014858,-0.004,-0.004,0.004,0.004,-0.004
84373,2001/01/22,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,97.438,105.875,102.125,577100.000,0.040102,,,46202.000,4.000,4.000,97.438,,0.040102,0.000,0.000,0.005,0.005,0.000
84373,2001/01/23,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,102.000,107.250,106.125,316100.000,0.039168,,,46202.000,4.000,4.000,104.375,,0.039168,0.016,0.016,0.015,0.015,0.013
84373,2001/01/24,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,105.062,112.250,110.188,514800.000,0.038280,,,46202.000,4.000,4.000,106.375,,0.038280,0.003,0.003,0.007,0.007,0.003
84373,2001/01/25,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,106.938,111.500,109.812,290200.000,-0.003403,,,46202.000,4.000,4.000,110.000,,-0.003403,-0.008,-0.008,-0.003,-0.003,-0.005
84373,2001/01/26,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,105.625,110.938,110.375,476700.000,0.005122,,,46202.000,4.000,4.000,110.500,,0.005122,-0.001,-0.001,0.002,0.002,-0.002
84373,2001/01/29,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,106.500,109.500,108.000,243200.000,-0.021518,,,46202.000,4.000,4.000,109.050,,-0.021518,0.009,0.009,0.010,0.010,0.007
84373,2001/01/30,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,106.750,113.640,109.830,434500.000,0.016944,,,46202.000,4.000,4.000,108.000,,0.016944,0.007,0.007,0.010,0.009,0.007
84373,2001/01/31,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,0.000,,,,,,,,,,,,,,,,,102.750,109.830,103.500,656100.000,-0.057635,,,46202.000,4.000,4.000,109.830,,-0.057635,-0.007,-0.007,-0.000,-0.000,-0.006
84373,2001/02/01,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,98.750,107.650,98.870,570200.000,-0.044734,,,46202.000,4.000,4.000,103.510,,-0.044734,0.004,0.004,0.002,0.002,0.005
84373,2001/02/02,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,97.000,101.750,99.480,490800.000,0.006170,,,46202.000,4.000,4.000,98.800,,0.006170,-0.019,-0.019,-0.009,-0.009,-0.017
84373,2001/02/05,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,97.570,103.700,101.910,366100.000,0.024427,,,46202.000,4.000,4.000,97.600,,0.024427,0.002,0.002,-0.004,-0.004,0.004
84373,2001/02/06,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,101.250,112.250,111.500,487600.000,0.094103,,,46202.000,4.000,4.000,101.250,,0.094103,0.000,0.000,0.002,0.002,-0.002
84373,2001/02/07,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,108.750,114.500,112.960,282800.000,0.013094,,,46202.000,4.000,4.000,109.750,,0.013094,-0.009,-0.009,-0.004,-0.004,-0.008
84373,2001/02/08,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,108.310,112.750,108.310,221800.000,-0.041165,,,46202.000,4.000,4.000,111.750,,-0.041165,-0.006,-0.007,-0.003,-0.003,-0.006
84373,2001/02/09,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,106.300,110.000,109.100,223600.000,0.007294,,,46202.000,4.000,4.000,108.320,,0.007294,-0.014,-0.014,-0.009,-0.009,-0.013
84373,2001/02/12,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,108.450,112.250,111.900,210900.000,0.025665,,,46202.000,4.000,4.000,109.000,,0.025665,0.010,0.010,0.005,0.005,0.012
84373,2001/02/13,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,110.050,113.700,110.250,327400.000,-0.014745,,,46202.000,4.000,4.000,112.000,,-0.014745,-0.009,-0.009,-0.003,-0.004,-0.009
84373,2001/02/14,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,105.100,111.500,108.400,330700.000,-0.016780,,,46202.000,4.000,4.000,111.000,,-0.016780,-0.000,-0.000,-0.000,-0.001,-0.002
84373,2001/02/15,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,106.860,112.100,107.650,414000.000,-0.006919,,,46202.000,4.000,4.000,112.000,,-0.006919,0.009,0.009,0.009,0.009,0.008
84373,2001/02/16,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,106.200,109.470,107.350,163100.000,-0.002787,,,46202.000,4.000,4.000,107.000,,-0.002787,-0.021,-0.021,-0.014,-0.014,-0.019
84373,2001/02/20,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,105.200,108.000,107.400,278600.000,0.000466,,,46202.000,4.000,4.000,107.100,,0.000466,-0.019,-0.019,-0.012,-0.012,-0.017
84373,2001/02/21,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,101.000,107.600,101.390,310800.000,-0.055959,,,46202.000,4.000,4.000,107.600,,-0.055959,-0.018,-0.018,-0.016,-0.016,-0.019
84373,2001/02/22,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,96.870,102.750,99.000,433800.000,-0.023572,,,46202.000,4.000,4.000,102.250,,-0.023572,-0.005,-0.005,-0.011,-0.011,-0.002
84373,2001/02/23,,11,1,8071,74834L10,DGX,QUEST DIAGNOSTICS INC,,,,N,A,R,31838,0,1,8071,74834L10,,,,,,,,,,,,,,,,,,,,,,,,,95.620,102.500,101.000,327300.000,0.020202,,,46202.000,4.000,4.000,97.500,,0.020202,-0.004,-0.004,-0.003,-0.003,-0.006
